seq,名称EN,名称CN,当前Tier,Core,完备度,Tier可信度,潜在区间,研究优先级,需复核,复核原因,去推断后仍成立,最关键缺失证据,建议研究问题,缺失证据全部,12项判定
11,"Bronze Owl Zun, Shang Dynasty",商代青铜鸮尊,S,9.351,50.0,low,C–S,5.00,是,真伪、断代、器形和稀见性均未经权威确认，任何一项不同都可能显著改变当前层级。,否,缺权威青铜器目录对真伪、商代断年及鸮尊器形的确认。,哈佛对象页与权威商周青铜器目录是否确认该器为商代鸮尊，其铭文、铸造技术及可靠同类存世例有哪些？,缺哈佛官方记录中的登录号、尺寸、重量、具体断代、铭文及材质分析。；缺权威商周青铜器目录对真伪、器形名称、年代和礼仪功能的著录。；缺鸮形尊存世数量、可靠出土例及国内外馆藏比较。；缺入藏前来源、Winthrop购藏过程及遗赠记录。；缺哈佛将该件列为Winthrop中国青铜代表作或馆藏视觉标志的官方说明。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
12,"Botticelli, Madonna and Child with Angels",波提切利：圣母子与天使,A,8.511,44.8,low,C–A,4.14,是,亲笔归属是当前A级的核心依据但尚无权威支撑；工作室或后世归属会直接影响层级。,否,缺权威作品目录对波提切利亲笔或工作室参与的确认。,哈佛对象页和波提切利权威作品目录如何归属《圣母子与天使》，是否确认亲笔，还是记录有工作室参与？,缺哈佛官方记录中的登录号、标准题名、具体年代、媒材结构及Sandro Botticelli归属意见。；缺波提切利权威作品目录对亲笔、工作室参与及具体目录条目的确认。；缺与波提切利及其工作室其他圣母子木板画的质量、年代和图式比较。；缺完整来源链、入藏方式及历次归属意见变化记录。；缺哈佛对本作在意大利文艺复兴收藏中地位的官方说明。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
13,"Fra Angelico, Christ on the Cross with Saints",安杰利科：十字架上的基督与诸圣,A,8.306,44.8,low,C–A,4.14,是,亲笔归属和“北美最佳”均是当前定级的核心依据，但都没有可靠来源支撑。,否,缺哈佛官方藏品记录确认登录号、规范题名、年代及安杰利科归属,哈佛藏品库与安杰利科权威作品目录是否著录此题名木板画，其登录号、年代、亲笔归属、原祭坛位置及“北美最佳”的跨馆比较依据分别是什么？,缺哈佛官方藏品记录确认登录号、规范题名、年代及安杰利科归属；缺权威作品目录对该板画及其原祭坛位置的著录；缺北美各馆安杰利科祭坛画的数量、归属与质量比较，以验证“北美最佳”；缺历次所有权、交易及哈佛入藏文件,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
14,"Rembrandt, Bust of an Old Man",伦勃朗：老者胸像,A,7.823,44.8,low,C–A,4.14,是,亲笔归属是当前A的主要前提，而现有资料无法排除工作室或其他归属。,否,缺哈佛官方记录及伦勃朗权威目录对亲笔、工作室或其他归属的结论,哈佛官方记录与伦勃朗权威作品目录如何归属《老者胸像》，其橡木板年轮、红外和X射线检测是否支持早期伦勃朗亲笔？,缺哈佛官方记录及伦勃朗权威目录对亲笔、工作室或其他归属的结论；缺橡木板年轮、颜料、红外与X射线检测结果，以检验年代和归属；缺该作在伦勃朗早期人物画中的位置及质量评价；缺完整所有权、展览、交易及哈佛入藏记录,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
15,"Rubens, Neptune Calming the Tempest",鲁本斯：尼普顿平息风暴,A,7.909,44.8,low,C–A,4.14,是,亲笔性及与最终项目的关系直接支撑当前定级，但两项均未得到可靠资料确认。,否,缺哈佛官方记录及鲁本斯权威全集对该草稿亲笔性的确认,哈佛藏品记录和鲁本斯权威全集是否将《尼普顿平息风暴》列为亲笔油画草稿，它对应哪件成画或委托项目，并有哪些可比草稿？,缺哈佛官方记录及鲁本斯权威全集对该草稿亲笔性的确认；缺该草稿与最终绘画、委托项目及其他版本关系的研究；缺鲁本斯同类油画草稿的存世数量与质量比较；缺完整来源、展览史及哈佛入藏文件,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
16,"Winslow Homer, Pitching Quoits",温斯洛·霍默：投环游戏,A,7.888,50.0,medium,B–A,2.62,是,对象身份较稳定，但内战语境和作品生涯位置仍可能改变A与相邻层级的判断。,否,缺霍默权威作品目录对该作在其内战题材与创作转型中的定位,霍默权威作品目录和哈佛研究资料如何定位登录号1940.298，它是否被确认与1865年联邦军生活相关，并被视为霍默内战题材或创作转型的重要作品？,缺霍默权威作品目录对该作在其内战题材与创作转型中的定位；缺档案资料确认画中人物、地点及与1865年军事背景的具体关系；缺来源、早期展览、出版及哈佛入藏记录；缺哈佛与馆内其他美国历史题材绘画的馆藏角色比较,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
17,"John Singer Sargent, Mrs. Fiske Warren and her Daughter",萨金特：菲斯克·沃伦夫人与女儿,A,8.576,50.0,low,C–A,3.75,是,对象可能与波士顿美术馆藏同名成画混淆，连哈佛对象的性质和归属都未确定。,否,缺资料确认哈佛对象是原作、习作、相关版本、复制品还是误录,哈佛和波士顿美术馆的官方记录及萨金特权威目录分别著录了哪些《菲斯克·沃伦夫人与女儿》对象，哈佛所涉对象究竟是成画、习作、相关版本、复制品还是误录？,缺哈佛与波士顿美术馆官方记录对同名对象的登录号、尺寸、年代及现藏归属核对；缺资料确认哈佛对象是原作、习作、相关版本、复制品还是误录；缺萨金特权威作品目录对哈佛对象的独立著录；缺温思罗普遗赠清单及对应入藏文件,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
18,"Kandinsky, Improvisation 30 (Cannons)",康定斯基：即兴30（大炮）,A,9.334,44.8,low,C–S,5.52,是,原作通常被指向芝加哥，哈佛是否存在对应对象及其类型尚未确认，可能导致潜在等级大幅变化。,否,缺资料确认哈佛是否收藏原作、相关习作、版画、复制品或无此对象,哈佛与芝加哥艺术学院的官方藏品库及康定斯基权威目录如何著录《即兴30（大炮）》，哈佛究竟收藏原作、相关习作、版画、复制品，还是没有对应对象？,缺哈佛与芝加哥艺术学院官方记录对《即兴30》原作的登录号、尺寸、媒材及现藏归属核对；缺资料确认哈佛是否收藏原作、相关习作、版画、复制品或无此对象；缺康定斯基权威作品目录对具体对象、年代、媒材和系列位置的著录；缺学术文献验证其作为战前抽象及战争主题关键节点的地位,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
19,"Paul Klee, Twittering Machine",保罗·克利：啾啾鸣叫的机器,A,9.247,44.8,low,C–S,5.52,是,名作通常归属纽约现代艺术博物馆，哈佛对象的存在和性质尚未确认。,否,缺资料确认哈佛对象为原作、相关纸本、复制品、出版物图像或误录,哈佛与纽约现代艺术博物馆的官方藏品库及克利权威目录如何著录《啾啾鸣叫的机器》，哈佛相关条目究竟指原作、相关纸本、复制品、出版物图像还是误录？,缺哈佛与纽约现代艺术博物馆官方记录对原作登录号、尺寸、媒材及现藏归属的核对；缺资料确认哈佛对象为原作、相关纸本、复制品、出版物图像或误录；缺克利权威作品目录对具体对象、年代和媒材的著录；缺展览、出版与传播史资料验证其全球图像知名度,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
20,"Munch, Two Human Beings (The Lonely Ones)",蒙克：两个人（孤独者）,A,8.889,50.0,low,C–A,3.75,是,具体版本及其相对重要性未确定，而这直接影响该对象能否支撑当前等级。,否,缺哈佛官方记录确认登录号2023.551对应对象的题名、年代、尺寸、媒材和具体版本,哈佛官方登录号2023.551对应的是《两个人（孤独者）》的哪一版本，蒙克权威目录如何确定其年代、媒材及其与油画和版画其他版本的相对地位？,缺哈佛官方记录确认登录号2023.551对应对象的题名、年代、尺寸、媒材和具体版本；缺蒙克权威作品目录对该油画与版画及其他绘画版本关系的著录；缺各版本年代先后、存世数量及相对重要性的比较；缺施特劳斯遗赠清单及该作进入哈佛的具体文件,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
21,"Ingres, Jupiter and Thetis",安格尔：朱庇特与忒提斯,A,8.999,50.0,low,C–A,3.75,是,哈佛对象的类型和归属未确定，可能与格拉内博物馆原作发生混淆。,否,缺资料确认哈佛对象为原作、习作、复制品或其他关联版本,哈佛、格拉内博物馆官方记录和安格尔权威目录分别著录了哪些《朱庇特与忒提斯》，哈佛对象究竟是原作、油画习作、复制品还是其他关联版本？,缺哈佛与格拉内博物馆官方记录对同题对象的登录号、尺寸、媒材及现藏归属核对；缺资料确认哈佛对象为原作、习作、复制品或其他关联版本；缺安格尔权威作品目录对哈佛对象年代、媒材和性质的独立著录；缺温思罗普遗赠清单、历次来源及哈佛入藏文件,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
22,"Degas, Little Dancer Aged Fourteen (bronze cast)",德加：十四岁小舞者（青铜铸）,A,8.453,50.0,low,C–A,3.75,是,具体铸件的版次、授权与铸造品质未知，而这些事实直接决定单件的重要性。,否,缺该件在身后青铜版次中的编号、授权状态及铸造历史,哈佛这件《十四岁小舞者》的登录号、铸造年代、铸造厂、版次编号与授权依据是什么，它在其他博物馆身后铸件及原始蜡像的比较中处于何种位置？,缺哈佛官方记录中的登录号、铸造日期、尺寸、铸造厂、版次与铸印；缺该件在身后青铜版次中的编号、授权状态及铸造历史；缺与其他馆藏铸件及原始蜡像的年代、品质和稀缺性比较；缺该件历次来源、韦特海姆关联及哈佛入藏文件；缺实物全图、铸印细节、表面状况及配件完整性资料,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
23,"Cézanne, Still‑Life with Apples",塞尚：苹果静物,A,8.827,50.0,low,C–A,3.75,是,通用题名尚未对应到具体馆藏对象，作者归属和作品生涯位置也未获确认。,否,缺哈佛官方记录确认登录号、规范题名、年代、尺寸及塞尚归属,哈佛藏品库中哪一件登录对象对应《塞尚：苹果静物》，其登录号、年代、尺寸和权威作品目录编号是什么，该作在塞尚静物画中被如何评价？,缺哈佛官方记录确认登录号、规范题名、年代、尺寸及塞尚归属；缺塞尚权威作品目录对这件具体苹果静物的对应条目；缺该作在塞尚静物画生涯中的位置及与同题作品的质量比较；缺哈佛将该作列为核心、代表作或重点教学对象的官方证据；缺韦特海姆收藏来源、遗赠清单及哈佛入藏文件,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
24,"Maruyama Ōkyo, Peacock and Peonies",圆山应举：孔雀牡丹图,A,8.765,50.0,low,C–A,3.75,是,圆山应举归属及该作在同题作品中的地位直接支撑当前等级，但均缺可靠证据。,否,缺款识、印章、箱书及权威鉴定资料确认圆山应举归属,哈佛官方记录和日本绘画权威图录如何著录《孔雀牡丹图》，其款识、印章、箱书与鉴定意见是否确认圆山应举亲笔，并如何评价它与其他同题作品的关系？,缺哈佛官方记录确认登录号、日文题名、年代、尺寸、格式、材质及作者归属；缺款识、印章、箱书及权威鉴定资料确认圆山应举归属；缺学术图录对该作写生方法、西方影响及圆山派地位的论证；缺与应举其他孔雀牡丹题材作品及哈佛江户绘画的质量比较；缺范伯格收藏来源、历次所有权及哈佛入藏记录；缺完整图像、装裱状态、保存状况及轮换展出信息,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
25,Folding Screen: Portuguese Trading Ship Arrives in Japan,葡萄牙商船抵日六曲屏风,A,8.343,37.0,low,C–S,6.30,是,年代、作坊和版本地位均未获权威确认，答案不同可能显著改变其等级依据。,否,缺HAM官方登录记录确认本件的登录号、标准题名、年代及作者或作坊。,请核对HAM藏品库与范伯格收藏图录：该六曲屏的登录号、年代、作者或作坊为何，在南蛮屏风现存版本中处于什么位置？,缺HAM官方登录记录确认本件的登录号、标准题名、年代及作者或作坊。；缺南蛮屏风存世版本、谱系分组及本件质量比较。；缺馆方将本件列为日本艺术代表作或实际教学对象的记录。；缺可靠的来源、入藏经过及其与范伯格收藏的具体关系。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
26,"Gauguin, Where Do We Come From sketch study",高更：我们从何处来 习作,A,8.124,35.4,low,C–S,6.46,是,作为直接准备稿的身份是现有等级核心，却没有外部权威资料支撑。,否,缺HAM登录记录及高更作品总目录确认作者、年代，并确认其为《我们从何处来》的直接油彩准备稿。,HAM登录记录和高更作品总目录是否把本件认定为《我们从何处来》的直接油彩准备稿，其编号、年代及与其他构图稿的先后关系为何？,缺HAM登录记录及高更作品总目录确认作者、年代，并确认其为《我们从何处来》的直接油彩准备稿。；缺终作相关油画稿、素描与构图变体的完整清单及版本比较。；缺红外、X射线或颜料研究对本件与终作制作关系的检验。；缺可靠来源、韦特海姆收藏归属及具体入藏经过。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
27,"Calder, Little Blue under Red",考尔德：红下之小蓝,A,7.234,29.2,low,C–A,5.31,是,早期性、类型和创作史地位均未确认，而这些是当前等级的主要依据。,否,缺HAM登录记录与考尔德作品总目录确认登录号、准确年代、作者及立式稳定雕塑分类。,请核对HAM藏品库和考尔德作品总目录：《红下之小蓝》的准确年代、目录编号及类型是什么，是否被学术文献视为立式稳定雕塑发展的关键早期作品？,缺HAM登录记录与考尔德作品总目录确认登录号、准确年代、作者及立式稳定雕塑分类。；缺本件在考尔德创作生涯及稳定雕塑发展史中的具体位置和比较。；缺尺寸、连接结构、活动机制及多角度图像，以核实其视觉与空间表现。；缺可靠来源、入藏经过及历次所有权记录。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=none category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
28,Shang‑Zhou Ritual Bronze Gui Vessel,商周青铜簋,A,8.418,37.0,low,C–S,6.30,是,连具体器物身份、真伪和断代都未确认，现有资料无法稳定支撑当前等级。,否,缺真伪意见、铭文释读、铸造技术、合金分析及保存状况记录。,请查HAM藏品库、温斯罗普遗赠图录及中国青铜器研究资料：这件簋的登录号、精确断代、铭文和真伪意见为何，在同型器中质量与稀缺性如何？,缺HAM官方登录记录确认登录号、精确断代、地域、尺寸及具体簋型。；缺真伪意见、铭文释读、铸造技术、合金分析及保存状况记录。；缺同型青铜簋的存世数量及与哈佛其他商周礼器的质量比较。；缺其确属温斯罗普遗赠的直接记录及相关入藏文件。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
29,"Manet, The Street Singer",马奈：街头歌女,S,8.749,35.4,low,C–S,6.46,是,馆藏归属和标准对象身份本身尚未获权威确认，可能直接推翻当前最高等级的依据。,否,缺HAM官方记录确认《街头歌女》是否为本馆藏品，并给出登录号、年代、媒材、尺寸及作者著录。,HAM藏品库与马奈作品总目录是否著录一件本馆收藏的《街头歌女》；若是，其登录号、标准题名、年代和馆方代表作地位为何？,缺HAM官方记录确认《街头歌女》是否为本馆藏品，并给出登录号、年代、媒材、尺寸及作者著录。；缺马奈作品总目录及对象级研究对其创作生涯位置、展览史和批评接受的确认。；缺HAM将本件列为代表作、必看作品或韦特海姆展陈核心的公开记录。；缺可靠来源、韦特海姆收藏归属及具体入藏经过。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
