seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,V3旧tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
11,"Bronze Owl Zun, Shang Dynasty",商代青铜鸮尊,2600 East Asian Art,Bronze,object,中国古代礼仪青铜器,2,9.3,9.4,9.2,9.3,9.4,0,9.6,9.6,9.4,9.560,9.351,S,S,,Core 9.351，峰值 9.4，S-ness 3/3,medium,鸮形酒尊把商代礼制青铜的铸造技术、动物神性与祭祀功能结合为极具辨识度的立体形象，是本馆中国古代青铜收藏中足以承担门面作用的精品。,组内排名第一，商代鸮形酒尊兼具卓越铸造品质、标志性动物造型与稀见性，是两件中最具代表性且最不可替代的核心礼器。,三项均成立，保留S：鸮形造型兼具极强辨识度与商代礼器代表性，是Winthrop中国青铜收藏的视觉馆标，不能仅视为又一件优质青铜器。
12,"Botticelli, Madonna and Child with Angels",波提切利：圣母子与天使,2550 Renaissance Italy,Tempera on Panel,object,意大利文艺复兴宗教绘画,1,8.7,8.1,8.5,8.6,8.8,0,8.7,8.8,8.1,8.610,8.511,A,A,,Core 8.511 达标但无维度 ≥9（最高 8.8），降 A,medium,波提切利亲笔圣母子木板画以流畅线条、柔和情感和天使环绕构图体现佛罗伦萨早期文艺复兴的抒情宗教风格，虽非本馆首要身份板块仍属重要名家作品。,组内仅此一件，作为波提切利亲笔的佛罗伦萨早期文艺复兴圣母子木板蛋彩画，品质突出且独占本组代表位，虽题材较常见仍对意大利文艺复兴宗教叙事有重要补位。,
13,"Fra Angelico, Christ on the Cross with Saints",安杰利科：十字架上的基督与诸圣,2550 Renaissance Italy,Tempera on Panel,object,意大利文艺复兴木板画,3,8.7,7.8,8.1,7.8,8.8,0,9.3,9.0,8.8,9.110,8.306,A,A,,Core 8.306 落在 7.2–8.49,medium,作为题面所称北美顶级安杰利科祭坛画板，它兼具早期文艺复兴蛋彩、祭坛功能和虔敬图像的高教学价值，但意大利早期绘画并非哈佛最具排他性的深藏板块。,组内品质与典范性居首，是宗教祭坛画的核心代表，因而相较题材相近的基尔兰达约获得最高独特性。,
14,"Rembrandt, Bust of an Old Man",伦勃朗：老者胸像,2540 Dutch Baroque,Oil on Oak Panel,object,荷兰黄金时代油画,7,8.1,7.2,7.7,7.6,8.1,0,9.0,9.1,8.5,8.930,7.823,A,A,,Core 7.823 落在 7.2–8.49,medium,早期伦勃朗以老者面容和明暗法集中展示其人物塑造，现场表现强而适合教学，但荷兰巴洛克并非本馆身份支柱。,组内品质与历史地位居首，是肖像类及明暗法叙事的核心代表，明显压过哈尔斯摹本。,
15,"Rubens, Neptune Calming the Tempest",鲁本斯：尼普顿平息风暴,2300 Flemish Baroque,Oil Sketch,object,佛兰德巴洛克油画,1,8,7.3,7.8,7.7,8.5,0,8.8,9.2,8.4,8.840,7.909,A,A,,Core 7.909 落在 7.2–8.49,medium,亲笔油画草稿以奔涌构图呈现鲁本斯的巴洛克创作过程，研究与教学价值高于其小尺幅带来的空间震撼，且该板块非本馆核心。,作为组内唯一对象，这件鲁本斯亲笔油画草稿以典型的动态巴洛克构图居于首位，并为馆内佛兰德绘画及创作过程研究提供了较强补位。,
16,"Winslow Homer, Pitching Quoits",温斯洛·霍默：投环游戏,2700 American Art,Oil Painting,object,美国近代油画（19世纪至20世纪初）,2,8,7.5,7.4,7.4,8.8,0,8.8,8.5,8.9,8.730,7.888,A,A,,Core 7.888 落在 7.2–8.49,high,1865年的联邦军士兵休闲场景兼具霍默艺术发展与内战社会史价值，叙事教学突出但视觉与本馆不可替代性略低于其明星收藏。,组内列第二，但其内战结束之年的军人闲暇题材与萨金特的上流社会肖像明显错位，低重复地补足了战争时代的美国叙事。,
17,"John Singer Sargent, Mrs. Fiske Warren and her Daughter",萨金特：菲斯克·沃伦夫人与女儿,2700 American Art,Oil Painting,object,美国近代油画（19世纪至20世纪初）,2,8.6,8.4,8.7,8.5,8.3,0,9.3,9.4,9.2,9.310,8.576,A,A,,Core 8.576 达标但无维度 ≥9（最高 8.7），降 A,low,成熟期双人社交肖像的尺度、笔触和阶层叙事足以强化哈佛的萨金特板块，但广为人知的同名成画编目于波士顿美术馆，故本馆对象归属需复核。,组内列第一，巅峰期社会双人肖像在典范性、技法辨识度及对哈佛萨金特收藏特色的代表性上均压过霍默作品。,
18,"Kandinsky, Improvisation 30 (Cannons)",康定斯基：即兴30（大炮）,Busch‑Reisinger 2100,Oil Painting,object,德语区现代主义绘画,2,9.5,9.4,9.1,8.9,9.5,0,9.8,9.1,9.8,9.590,9.334,A,A,,Core 9.334，峰值 9.5，S-ness 3/3；但证据可信度 low，按第十二节不得直接定 S,low,若确为题面所述馆藏，这件把炮火意象融入早期抽象的战前名作会成为Busch-Reisinger核心，但《即兴30》通常编目于芝加哥艺术学院，故本馆归属置信度低。,组内品质与历史典范性居首，是战前抽象探索的核心代表，但独特性相较意象和媒材更异质的克利略居第二。,三项均成立，保留S：这是Busch-Reisinger早期抽象艺术叙事的旗舰作品；短访必看，失去也会明显削弱该馆德语区现代主义收藏的国际辨识度。
19,"Paul Klee, Twittering Machine",保罗·克利：啾啾鸣叫的机器,Busch‑Reisinger 2100,Watercolor‑Ink on Paper,object,德语区现代主义绘画,2,9.4,9.4,8.4,9.2,9.4,0,9.7,9.6,9.7,9.670,9.247,A,A,,Core 9.247，峰值 9.4，S-ness 3/3；但证据可信度 low，按第十二节不得直接定 S,low,其机械与鸟鸣结合的怪诞诗意使之兼具全球图像辨识度和包豪斯叙事价值，若在Busch-Reisinger将极具身份性，但该名作通常编目于纽约现代艺术博物馆。,组内独特性居首，其纸本水彩水墨的机械幻想意象与康定斯基的战争性抽象明显错位，并补足克利式诗性现代主义一环。,三项均成立，保留S：作品本身具有世界级图像知名度，并是Busch-Reisinger中克利与包豪斯文化脉络的核心锚点；缺看和失藏均构成明显遗憾。
20,"Munch, Two Human Beings (The Lonely Ones)",蒙克：两个人（孤独者）,Busch‑Reisinger 2120,Oil Painting,object,北欧象征主义与早期现代绘画,1,8.9,8.9,8.6,8.8,9,0,9.2,9.4,9.1,9.240,8.889,A,A,,Core 8.889 达标但 S-ness 仅 0/3 通过，降 A,high,海边两道背影将现代孤独凝成高度易感的象征主义图像，又由Straus遗赠进入Busch-Reisinger叙事，兼具情感冲击和馆藏身份价值。,作为组内唯一对象，它以蒙克成熟期代表性孤独主题居于首位且无重复，并为本馆德语区现代主义主轴补上北欧象征主义关键一环。,三项均不成立，降为A：虽是重要的蒙克作品，但在两小时的Busch-Reisinger取舍中仍居于康定斯基、克利和贝克曼之后；它增强收藏，却不单独定义本馆身份。
21,"Ingres, Jupiter and Thetis",安格尔：朱庇特与忒提斯,2210 European 19thC,Oil Painting,object,法国新古典主义与学院派油画,1,9,9.2,9,8.6,8.9,0,9.2,9.4,9.1,9.240,8.999,A,A,,Core 8.999 达标但 S-ness 仅 0/3 通过，降 A,low,安格尔的神话构图、严整线性和古典主义争议性与Winthrop核心收藏高度契合，但著名巨幅原作在艾克斯格拉内博物馆，题面哈佛油画版本性质未获核实。,作为组内唯一的法国新古典主义与学院派油画，它以安格尔式精确线条和宏大神话题材居于无可替代的首位，并补足本馆19世纪法国学院传统的叙事环节。,三项均不成立，降为A：本馆的安格尔深度很重要，但在已有《宫女与奴隶》这一强锚点时，此作更接近深度收藏中的第二选择，短访与馆格均不依赖这一单件。
22,"Degas, Little Dancer Aged Fourteen (bronze cast)",德加：十四岁小舞者（青铜铸）,1220 Maurice Wertheim Room,Bronze Sculpture,object,法国19世纪雕塑,1,8.4,8.2,8.2,8.7,9,0,8.6,8.0,8.4,8.380,8.453,A,A,,Core 8.453 落在 7.2–8.49,medium,《十四岁小舞者》的现代雕塑观念、芭蕾劳动与阶层议题极具吸引力和教学性，不过死后青铜铸本的多版本性削弱了单件不可替代性。,作为组内唯一的法国19世纪雕塑，它以德加突破传统的舞者题材补足本馆印象派叙事，D居组内首位，但因属身后青铜铸本而非原始蜡像，独特性略有折减。,
23,"Cézanne, Still‑Life with Apples",塞尚：苹果静物,1220 Maurice Wertheim Room,Oil Painting,object,法国后印象派油画,1,9.1,8.8,8.3,8.1,9.4,0,9.4,9.3,9.4,9.370,8.827,S,A,变,Core 8.827 达标但 S-ness 仅 0/3 通过，降 A,medium,塞尚以苹果、桌面和倾斜视角重组体积与空间，是通向立体主义的关键教学案例，并能显著支撑Wertheim现代艺术叙事。,组内唯一且是塞尚苹果静物这一典范题材，以结构性造型衔接印象派与立体主义，在馆内法国现代绘画叙事中具有不可替代的补位作用。,三项均不成立，降为A：它是有价值的塞尚教学范例，但静物题材在艺术史与收藏中可替代性相对较高；在本馆密集的法国现代绘画名作间，并非两小时内不可略过的馆标。
24,"Maruyama Ōkyo, Peacock and Peonies",圆山应举：孔雀牡丹图,2600 Japanese Feinberg Collection,Ink‑color on Silk,object,江户时代日本绘画,1,8.6,8.4,9,9,8.9,0,9.1,9.3,8.8,9.100,8.765,A,A,,Core 8.765 达标但 S-ness 仅 0/3 通过，降 A,medium,孔雀与牡丹的华丽尺度、细密写生和西方写实因素使其现场极为醒目，也能有效讲述圆山派与江户绘画革新并强化Feinberg亚洲收藏。,组内唯一的江户绘画，以圆山应举融合写生主义与传统绢本设色的典范性居首且无重复，并补足哈佛亚洲艺术叙事中的江户绘画关键一环。,三项均不成立，降为A：作品视觉效果突出，也能代表圆山应举的风格革新，但在本馆整体语境中仍是一件优秀的日本绘画代表作，而非决定馆格的不可替代单件。
25,Folding Screen: Portuguese Trading Ship Arrives in Japan,葡萄牙商船抵日六曲屏风,2600 Japanese Feinberg Collection,Screen Painting,object,日本近世屏风画,2,8.2,7.5,8.7,8.4,9.1,0,8.8,9.2,9.1,8.980,8.343,A,A,,Core 8.343 落在 7.2–8.49,medium,六曲南蛮屏风以大幅连续画面记录近世日本与葡萄牙商贸接触，兼具强烈现场观感和跨文化史教学价值，但尚非哈佛馆最不可替代的标志物。,组内居首，其南蛮贸易题材比常见江户花鸟屏风更具历史典范性与非重复性，并补足日本—欧洲早期交流叙事。,
26,"Gauguin, Where Do We Come From sketch study",高更：我们从何处来 习作,1220 Maurice Wertheim Room,Oil Sketch,object,印象派、后印象派与早期现代主义油画,9,8.4,7.8,7.2,7.6,9.0,0,8.8,9.6,9.8,9.240,8.124,A,A,,Core 8.124 落在 7.2–8.49,medium,作为高更代表作《我们从何处来》的油画习作，它对研究构图形成、塔希提题材与创作过程极有价值，独立视觉完整性则通常不及最终大作。,组内Q第三而D、G均居首，作为唯一的油画草稿，它既关联高更代表作又最能体现哈佛教学研究型收藏对创作过程的重视。,
27,"Calder, Little Blue under Red",考尔德：红下之小蓝,2110 Modern Art,Painted Metal Sculpture,object,20世纪现代主义雕塑,1,7.4,5.8,7.9,7.8,7.3,0,8.4,9.0,8.2,8.540,7.234,A,A,,Core 7.234 落在 7.2–8.49,medium,考尔德的早期立式构成能以鲜明色块和空间平衡直观呈现现代雕塑革新，但哈佛艺术博物馆的核心身份并不主要建立在考尔德收藏上。,作为组内唯一对象，这件考尔德早期立式稳定雕塑以彩绘金属和现代主义空间构成独占类别代表位，并为偏重绘画的现代艺术叙事补入关键的雕塑一环。,
28,Shang‑Zhou Ritual Bronze Gui Vessel,商周青铜簋,2600 East Asian Art,Bronze,object,中国古代礼仪青铜器,2,8.7,8.3,8.2,7.8,9.2,0,8.8,6.9,8.8,8.230,8.418,A,A,,Core 8.418 落在 7.2–8.49,medium,商周青铜簋集中体现宗法礼制、铸造技术与纹饰体系，又与Winthrop遗赠的中国古玉及青铜核心板块直接相连，研究和文明叙事价值突出。,组内排名第二，其深浮雕纹饰体现较高品质并以食器补全酒器之外的礼制叙事，但簋属较常见的礼器类型，独特性明显低于鸮尊。,
29,"Manet, The Street Singer",马奈：街头歌女,1220 Maurice Wertheim Room,Oil Painting,object,印象派、后印象派与早期现代主义油画,9,9.0,8.4,8.7,8.6,8.9,0,9.3,8.8,9.5,9.190,8.749,S,S,,Core 8.749，峰值 9.0，S-ness 2/3,medium,《街头歌女》以近乎真人尺度的都市人物连接马奈的现实主义突破、现代巴黎生活与印象派前史，若所给作品身份无误，属于Wertheim语境中的一流核心画作。,组内Q第一、D第二，以巴黎街头人物题材承接现实主义与印象派现代生活叙事，是本组最具典范性的成品油画。,两项成立，保留S：这类马奈早期都市人物画具有关键的现代绘画转折意义，短访值得安排且漏看可惜；不过本馆Wertheim与法国现代绘画板块锚点众多，失去此单件尚不至于明显改变身份。
30,"Renoir, Portrait of Victor Chocquet",雷诺阿：维克多·肖凯肖像,1220 Maurice Wertheim Room,Oil Painting,object,印象派、后印象派与早期现代主义油画,9,8.2,8.1,8.3,8.1,8.7,0,8.3,6.4,8.4,7.750,8.205,A,A,,Core 8.205 落在 7.2–8.49,medium,这幅肖像兼有雷诺阿成熟的明亮笔触和肖凯作为塞尚重要赞助人的历史关联，能够有效讲述印象派社群、收藏赞助与艺术市场。,组内品质居中上而D处中下游，其赞助人肖像可补充艺术社交网络叙事，但人物画功能与马奈、德加及另一件雷诺阿有所重叠。,
31,"Van Gogh, Snow‑Covered Field with a Harrow",梵高：带耙的雪地,1220 Maurice Wertheim Room,Oil Painting,object,印象派、后印象派与早期现代主义油画,9,8.1,7.9,7.7,8.0,8.3,0,8.4,6.9,8.1,7.890,7.984,A,A,,Core 7.984 落在 7.2–8.49,medium,梵高晚期雪景以克制阴郁的色调展现其风景画语言和生命末期创作状态，在Wertheim收藏中重要，但馆内另有更具标志性的梵高自画像。,组内Q第四、D第五，晚期雪景虽凭梵高的个人风格区别于其他风景画，但本馆已有更具身份标志性的梵高作品，补位价值因而不居前列。,
32,"Monet, Charing‑Cross Bridge, Fog",莫奈：查令十字桥，雾中,1220 Maurice Wertheim Room,Oil Painting,object,印象派、后印象派与早期现代主义油画,9,8.6,8.2,8.7,8.6,8.7,0,9.0,8.1,9.3,8.790,8.549,A,A,,Core 8.549 达标但无维度 ≥9（最高 8.7），降 A,medium,1903年的查令十字桥作品属于莫奈重要的伦敦系列，以雾、蒸汽和连续光色研究兼具高度美感与现代视觉教育价值，但馆内圣拉扎尔车站仍更具身份标志性。,组内Q第二、D第三，雾中伦敦系列高度典范化地呈现光色与连续观察，是本组印象主义风景叙事的首要代表。,
33,"Cézanne, Small Houses at Pontoise",塞尚：蓬图瓦兹小屋,1220 Maurice Wertheim Room,Oil Painting,object,印象派、后印象派与早期现代主义油画,9,7.8,7.4,7.5,7.3,8.2,0,8.0,5.3,9.0,7.390,7.599,A,A,,Core 7.599 落在 7.2–8.49,medium,蓬图瓦兹景观中的屋舍体块可清楚说明塞尚如何由印象派观察走向结构化空间，教学意义较强，但题材和视觉辨识度不及其顶级代表作。,组内Q第七、D倒数第二，作为三件风景题材中较不醒目的一件虽重复度较高，却以体积建构补上印象主义通向现代主义的关键环节。,
34,"Matisse, Still‑Life with Oranges",马蒂斯：橙子静物,1220 Maurice Wertheim Room,Oil Painting,object,印象派、后印象派与早期现代主义油画,9,7.4,7.1,8.0,7.8,7.8,0,7.7,7.5,8.8,7.860,7.581,A,A,,Core 7.581 落在 7.2–8.49,medium,橙子静物以强烈色彩和平面装饰组织体现马蒂斯早期现代主义语言，现场亲和力较好，但从现有信息看并非该馆或艺术家最不可替代的杰作。,组内Q最低但D第四，唯一的静物及其平面化色彩语言使它有效区别于其余人物和风景画，并承担通向早期现代主义的补位角色。,
35,"Degas, Woman Combing her Hair",德加：梳发女子,1220 Maurice Wertheim Room,Oil Painting,object,印象派、后印象派与早期现代主义油画,9,7.7,7.8,7.6,7.6,8.0,0,7.9,5.9,7.9,7.300,7.700,A,A,,Core 7.700 落在 7.2–8.49,medium,梳发这一私密日常动作体现德加对非正式姿态、室内生活和现代观看方式的持续研究，并补强Wertheim收藏的重要德加板块。,组内Q第八、D第七，私密梳发动作具有德加特色，但女性日常人物题材与两件雷诺阿及马奈作品形成较明显重复。,
36,"Renoir, Bather (Baigneuse)",雷诺阿：浴女（洗澡的女孩）,1220 Maurice Wertheim Room,Oil Painting,object,印象派、后印象派与早期现代主义油画,9,8.0,8.2,8.2,8.1,7.9,0,8.1,4.2,6.8,6.670,7.947,A,A,,Core 7.947 落在 7.2–8.49,medium,浴女是雷诺阿最具辨识度的母题之一，柔和肉色和明亮笔触具有直接吸引力，且作为Fogg高价值印象派人物画，对Wertheim收藏身份具有较强支撑。,组内Q居中而D、G均最低，虽是雷诺阿典型浴女题材，但同组已有更具人物身份与收藏网络信息的雷诺阿肖像，且与德加的私密女性形象重复。,
37,"Whistler, Nocturne in Blue and Silver",惠斯勒：蓝银夜曲,2700 American Art,Oil Painting,object,19世纪美国油画,4,8.2,6.8,7.8,7.5,7.9,0,8.9,9.4,9.0,9.070,7.727,A,A,,Core 7.727 落在 7.2–8.49,high,惠斯勒的夜曲系列是英美唯美主义及现代城市夜景的重要范式，本作色调氛围鲜明，但美国绘画并非哈佛馆最不可替代的核心板块。,组内唯一的非肖像题材，以蓝银调性的泰晤士夜景代表美国唯美主义与跨大西洋现代性，独特性居组内首位。,
38,"Thomas Eakins, Portrait of Professor Benjamin Rand",伊金斯：本杰明·兰德教授肖像,2700 American Art,Oil Painting,object,19世纪美国油画,4,8.3,7,7.8,7.6,8.3,0,9.1,7.6,8.8,8.590,7.824,A,A,,Core 7.824 落在 7.2–8.49,medium,此作是伊金斯写实肖像的重要范例，以教授形象串联美国现实主义、专业教育与大学文化，但尚非本馆身份级镇馆作。,作为组内艺术品质最高的现实主义肖像，它有力补足美国学院传统，但题材上与另外两件人物画形成一定重复。,
39,"Gilbert Stuart, George Washington (Athenaeum type copy)",吉尔伯特·斯图尔特：华盛顿肖像（雅典娜版本摹本）,2700 American Art,Oil Painting,object,19世纪美国油画,4,6.3,5.8,6.2,6.8,7.5,0,6.4,4.2,6.8,5.820,6.367,B,B,,Core 6.367 落在 5.5–7.19,medium,华盛顿“雅典娜型”肖像具有很高的国家图像史和教学价值，但摹本的原创性、稀缺性与绘画冲击力明显低于斯图尔特原型。,华盛顿图像具有国家叙事价值，但摹本身份且与组内早期美国肖像重复，使其品质与独特性均居末位。,
40,"Charles Willson Peale, Self‑Portrait",查尔斯·威尔森·皮尔：自画像,2700 American Art,Oil Painting,object,19世纪美国油画,4,7.5,6.5,6.8,7,8.1,0,8.0,8.4,8.7,8.260,7.236,A,A,,Core 7.236 落在 7.2–8.49,medium,皮尔作为画家、博物学家和建国时期知识人的自我呈现，能有效讲述美国启蒙文化，但视觉与本馆身份权重较为中等。,其艺术家兼科学文化人物的自我塑造在三件肖像中最为特殊，独特性仅次于惠斯勒并补足早期美国启蒙叙事。,
41,"Jacob Lawrence, Migration Panel",雅各布·劳伦斯：大迁徙组画单幅,2700 American Art,Gouache on Board,object,20世纪美国叙事与社会史绘画,1,8.7,6.4,7.9,8.2,9.4,0,9.5,9.7,9.6,9.580,8.123,A,A,,Core 8.123 落在 7.2–8.49,medium,《迁徙系列》以高度凝练的现代视觉语言记录非裔美国人大迁徙，是美国社会史叙事的经典，但该板块并非哈佛馆核心身份所在。,本组唯一且居首，作为劳伦斯经典《大迁徙》系列的代表单幅，既高度典范又为馆内20世纪美国艺术补入不可替代的黑人迁徙与社会史叙事。,
42,"Max Beckmann, Self‑Portrait in Tuxedo",马克斯·贝克曼：礼服自画像,Busch‑Reisinger 2120,Oil Painting,object,德国现代主义油画,2,9.3,9.7,9,8.9,9.2,0,9.7,9.4,9.7,9.610,9.311,S,S,,Core 9.311，峰值 9.7，S-ness 3/3,high,这件1927年自画像是贝克曼与魏玛时代艺术的标志性杰作，同时也是最能代表Busch-Reisinger德国现代主义收藏身份的核心作品之一。,组内居首，作为魏玛时期贝克曼的标志性自画像，比科林斯作品更典范且更能代表本馆德国表现主义核心。,三项均成立，保留S：这是贝克曼及魏玛时期德国艺术极具辨识度的代表作，也是Busch-Reisinger公共形象的核心单件；缺看或失藏都会明显削弱该馆特色。
