seq,名称EN,名称CN,当前Tier,Core,完备度,Tier可信度,潜在区间,研究优先级,需复核,复核原因,去推断后仍成立,最关键缺失证据,建议研究问题,缺失证据全部,12项判定
11,"Josh Simpson, Mega‑Megaplanet Glass Sphere",乔希·辛普森：巨型星球艺术玻璃球,A,7.710,39.6,low,C–A,4.53,是,缺馆号、官方题名、创作年份、材质、尺寸、入藏记录和系列版本信息，当前A级主要依赖未经证实的视觉冲击与机构标志物判断。,否,缺PEM馆号、官方对象记录、创作年份、材质和精确尺寸,PEM与Josh Simpson作品目录是否著录Mega-Megaplanet，其馆号、年份、尺寸、入藏方式及在星球系列中的唯一性分别是什么？,缺PEM馆号、官方对象记录、创作年份、材质和精确尺寸；缺购藏或捐赠年份、经手人与入藏文件；缺本件是否唯一作品、版本作品或星球系列常规变体的说明；缺艺术家作品目录、重要展览和学术出版记录；缺PEM官方宣传、陈列史或观众研究证明其机构标志地位；缺现场安装图像、观看距离和灯光条件资料,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=none provenance_acquisition=none visual_experiential=partial relational_spatial=na
12,Korean Joseon Governor Welcoming Banquet Screen,朝鲜朝鲜时代 平壤道牧使欢迎宴会屏风,S,8.885,44.8,low,C–S,5.52,是,缺PEM馆号、官方题名、确切年代、事件与人物辨识、材质尺寸、题跋印章、递藏及跨馆比较，当前S级的全部关键论据尚无权威来源。,否,缺确切创作年代、所绘牧使姓名及欢迎宴会事件年份,PEM及韩国纪事画数据库是否著录这件平壤牧使欢迎宴会屏风，其馆号、牧使姓名、事件年份、曲数和入藏来源是什么？,缺PEM馆号、官方题名、藏品页面或权威图录记录；缺确切创作年代、所绘牧使姓名及欢迎宴会事件年份；缺曲数、材质、尺寸、题跋印章、保存状况及修复记录；缺原收藏者、离开朝鲜半岛的经过及PEM入藏记录；缺与韩国及美国主要官署纪事屏风的数量和质量比较；缺PEM官方对韩国艺术强项及本件代表地位的明确说明,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
13,Maori War Treasure Jade Mere,毛利玉质战争权杖,S,8.547,50.0,low,C–S,5.00,是,当前S级的核心依据几乎全部取决于未核实的年代、等级、圣物属性和早期航海来源链，须取得PEM馆藏记录及权威鉴定后复核。,否,缺采集者、航次、采集年份及此后各任所有者构成的完整来源链。,PEM档案能否确认这件mere pounamu由哪位新英格兰航海者在何次航行、何年取得，并有无毛利专家或图录将其鉴定为前接触期酋长taonga？,缺PEM官方馆藏记录，包括馆号、规范名称、年代、尺寸与材质鉴定。；缺采集者、航次、采集年份及此后各任所有者构成的完整来源链。；缺毛利方面或权威学术资料对其前接触年代、酋长等级、taonga属性及玉料产地的鉴定。；缺同类mere pounamu存世数量、可比馆藏及PEM对其馆藏地位的说明。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
14,"Childe Hassam, New England Autumn Landscape",柴尔德·哈萨姆：新英格兰秋景,A,7.400,18.2,low,C–A,6.13,是,当前A级依赖“成熟期高质量代表作”等未经外部资料证实的评价，且缺少最基本的官方对象记录与作品总目核验。,否,缺哈萨姆作品总目对该画的收录编号及真伪、年代认定。,PEM所藏哪一件哈萨姆作品对应“New England Autumn Landscape”，其馆号、确切题名与年份是什么，是否收入哈萨姆作品总目并有展览或出版记录？,缺PEM官方馆号、规范题名、创作年份、尺寸、材质和入藏记录。；缺哈萨姆作品总目对该画的收录编号及真伪、年代认定。；缺该画在哈萨姆创作生涯中的位置、展览史、出版史及评论评价。；缺与PEM其他哈萨姆作品及同馆美国印象派风景画的比较。；缺可核实的作品图像、保存状况和现场陈列尺度。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=none artistic_significance=partial rarity_uniqueness=none institutional_identity=none category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=none relational_spatial=na
15,"Robert Feke, Portrait of Judge Richard Saltonstall",罗伯特·费克：理查德·索尔顿斯托尔法官肖像,A,7.360,44.8,low,C–S,5.52,是,对象身份有官方基础，但当前A级的决定性评价仍来自未经学术文献验证的“传世最佳之一”和馆内代表性判断，且两个编号的性质尚待馆方核对。,否,缺费克作品总目或学术出版对该画质量、真伪及创作生涯位置的评价。,PEM与费克作品总目如何标识这幅索尔顿斯托尔肖像，100183和M11043分别是什么编号，该画是否被学术文献列为费克的重要传世作品？,缺对100183与M11043各自编号性质的馆方核对。；缺肖像委托人、原始悬挂地点、历任所有者及入藏经过。；缺费克作品总目或学术出版对该画质量、真伪及创作生涯位置的评价。；缺理查德·索尔顿斯托尔的生平背景及该肖像的历史作用。；缺与PEM及其他机构费克肖像的质量和稀缺性比较。,basic_identification=partial date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=none relational_spatial=na
16,"Fidelia Bridges, Pastures by the Sea",菲德莉娅·布里奇斯：海边牧场,B,7.100,52.6,medium,C–A,3.55,是,基础身份与入藏证据可靠，但决定当前B是否稳固的创作生涯位置和同类比较缺失，新资料可能导致跨Tier。,,缺该画在布里奇斯创作生涯中的位置及权威作品目录记录。,PEM档案或布里奇斯作品目录是否记录《海边牧场》的展览与出版经历，并将这件1880年代、1918年由艺术家捐赠的作品视为其重要油画？,缺该画在布里奇斯创作生涯中的位置及权威作品目录记录。；缺该画的展览史、出版史和专业评论评价。；缺与PEM其他自然题材绘画及布里奇斯作品的比较。；缺确切尺寸、保存状况及当前陈列方式。；缺可靠资料确认鸟类与野花题材的具体内容及文化阐释。,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=full visual_experiential=partial relational_spatial=na
17,"Samuel McIntire, carved fireplace surround",塞缪尔·麦金太尔雕刻壁炉围板,A,7.257,34.5,low,C–S,6.55,是,当前A级建立在未核实的麦金太尔工作室归属、原构件身份和质量判断之上，应以建筑档案、构件调查及馆方清单复核。,否,缺该围板是否为加德纳-平格里宅原构件、原属哪个房间及后期改动情况的证据。,PEM建筑与修复档案能否确认这件壁炉围板是否原装于加德纳-平格里宅、位于哪个房间，并依据何种档案或形式特征归于麦金太尔本人或工作室？,缺PEM建筑清单中的对象编号、确切年代、材质、尺寸及保存记录。；缺该围板是否为加德纳-平格里宅原构件、原属哪个房间及后期改动情况的证据。；缺将其归于塞缪尔·麦金太尔本人或其工作室的档案与形式学依据。；缺与其他完整麦金太尔壁炉围板的质量、稀缺性和完整性比较。；缺PEM对该构件在历史宅邸展示和机构身份中作用的说明。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=none relational_spatial=partial
18,"John Singer Sargent, Portrait of Sarah Lawrence Brooks",萨金特：萨拉·劳伦斯·布鲁克斯肖像,A,7.475,43.8,low,C–A,4.22,是,当前A级主要依赖未获PEM记录、作品总目或学术出版支持的作者归属、笔触质量和生涯定位判断。,否,缺萨金特作品总目对该画的编号、年代、真伪及创作生涯位置。,萨金特作品总目是否收录1890年的《萨拉·劳伦斯·布鲁克斯肖像》，其编号、来源、展览史和现藏PEM的记录分别是什么？,缺PEM官方馆号、规范题名及作者归属记录。；缺萨金特作品总目对该画的编号、年代、真伪及创作生涯位置。；缺萨拉·劳伦斯·布鲁克斯的身份、委托背景及肖像原始用途。；缺2002年以前的完整来源链、展览史和出版史。；缺作品图像、保存状况、现场陈列及与PEM其他肖像的比较。,basic_identification=partial date_period=full maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
19,"Josh Simpson, smaller planet glass orb",乔希·辛普森 中小型星球玻璃球,B,6.505,27.6,low,C–A,5.43,是,当前B的核心依据是“同母题且仅缩小”的冗余判断，但这一关系没有对象记录或作品目录支撑，核实后可能跨Tier。,,缺该球与Mega-Megaplanet的确切关系，包括是否为独件、版次、系列成员或习作。,PEM记录能否给出这件辛普森玻璃球的馆号、年份和尺寸，并说明它与Mega-Megaplanet是独件、版次、系列关系还是前期习作？,缺PEM官方馆号、规范题名、创作年份、尺寸、材质和入藏记录。；缺该球与Mega-Megaplanet的确切关系，包括是否为独件、版次、系列成员或习作。；缺该作在乔希·辛普森创作生涯中的位置及展览、出版记录。；缺与PEM其他辛普森作品和美国艺术玻璃藏品的比较。；缺可核实图像、制作技法、保存状况及现场展示方式。,basic_identification=partial date_period=none maker_culture=partial historical_significance=none artistic_significance=none rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=none provenance_acquisition=none visual_experiential=partial relational_spatial=na
20,Chinese Export porcelain dinner service partial set,中国外销瓷餐具套件残套,A,7.610,43.5,low,C–S,5.65,是,对象虽属于PEM的核心收藏类别，但当前A级依赖未经核实的广彩粉彩鉴定、美国市场用途、套件规模及订制机制判断。,否,缺原订购者、美国使用家族、贸易路径、历任所有者及入藏经过。,PEM馆藏清单能否确认这套餐具的馆号、年代、现存件数、纹样与款识，并查明其原美国订购者、贸易路径和入藏来源？,缺PEM馆号、每件器形清单、总件数、尺寸、款识、确切年代及保存状况。；缺原订购者、美国使用家族、贸易路径、历任所有者及入藏经过。；缺对“广东制作”“粉彩”及目标美国市场的图录或技术鉴定。；缺残存比例、原套规模及同类外销餐具存世完整度比较。；缺PEM官方对该套餐具在亚洲外销艺术收藏中地位的说明。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=partial
21,Japanese Arita blue‑and‑white charger plate,日本有田烧青花大盘,A,7.690,43.2,low,C–S,5.68,是,当前A层级主要依赖未经验证的贸易用途、尺度、质量与组内代表性判断，需取得PEM对象记录或权威图录后复核。,否,缺PEM馆号、规范题名、制作年代、精确直径、材质及款识记录。,PEM所藏哪件有田青花大盘对应此对象，其馆号、年代、直径、款识和人物纹样是什么，馆方图录是否确认它专为欧洲贸易制作？,缺PEM馆号、规范题名、制作年代、精确直径、材质及款识记录。；缺具体窑口、制作地区及有田归属的技术或图录依据。；缺人物纹样的图像、图像学解释及其面向欧洲市场的直接证据。；缺历任所有者、贸易路线和PEM入藏经过。；缺与PEM及其他馆藏大型有田外销盘的尺寸、稀缺性和质量比较。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
22,Japanese netsuke rabbit by Naito Toyomasa,内藤丰正 兔子根付,A,7.285,40.6,low,B–S,5.94,是,基本编目有官网依据，但当前A层级所需的卓越性、稀缺性与代表性仍依赖推断，并存在作者中文名差异。,否,缺根付图录或学术出版对该作真伪、质量及在内藤丰昌生涯中位置的评价。,PEM E26721的署名原文如何释读，馆方为何记作内藤丰昌，权威根付图录是否将这件兔子列为其代表作并记录尺寸与1947年前来源？,缺对Toyomasa署名原文、读法及“丰正／丰昌”名称差异的权威核对。；缺作品尺寸、各面图像、签名位置、保存状况及修复记录。；缺根付图录或学术出版对该作真伪、质量及在内藤丰昌生涯中位置的评价。；缺1947年以前的历任所有者和流传记录。；缺同作者兔形根付的存世数量、质量比较及PEM馆藏地位。,basic_identification=partial date_period=full maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=none relational_spatial=na
23,Edo period medicine‑shop kanban signboard,江户药铺漆绘看板,A,7.500,57.3,low,B–S,4.27,是,对象身份已有较可靠的官网记录，但支撑当前A层级的稀缺性、文化重要性和馆藏代表性均未获权威资料验证。,否,缺日本公私收藏中同类江户药铺看板的存世数量与稀缺性比较。,PEM E15898上的文字具体宣传何种药品、哪家店铺和哪个城市，日本主要公立收藏中保存了多少件可比的江户药铺看板？,缺看板全部文字的释读、药品名称、店铺名称及原使用城市。；缺日本公私收藏中同类江户药铺看板的存世数量与稀缺性比较。；缺尺寸、正反面图像、保存状况、修复史及现场展示信息。；缺1914年购藏时的卖方、此前所有者及日本流出经过。；缺PEM或学术出版对其在江户商业文化及馆藏中的地位评价。,basic_identification=full date_period=full maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=full provenance_acquisition=partial visual_experiential=partial relational_spatial=na
24,"Katsumata Chieko, Pumpkin ceramic sculpture",胜田千惠子：南瓜陶塑,B,6.973,35.9,medium,C–A,4.80,是,中文作者名存在明显不一致，且当前B所依据的国际知名度和作品地位未经作品目录或展览史核实，新资料可能导致跨Tier。,,缺艺术家作品目录对该南瓜陶塑所属系列、独件性质及生涯位置的记录。,PEM 2015.42.5与胜间田千惠子作品目录如何记载其正式题名、尺寸和系列归属，这件2008年《南瓜》是否为独件并有具体国际展览记录？,缺对Katsumata Chieko规范姓名、中文译名及作品正式题名的馆方核对。；缺作品尺寸、各面图像、制作技法、保存状况及现场展示记录。；缺艺术家作品目录对该南瓜陶塑所属系列、独件性质及生涯位置的记录。；缺支持“国际展出艺术家”及该作知名度的具体展览和出版记录。；缺确切捐赠年份、捐赠前来源及与PEM其他日本陶艺的比较。,basic_identification=partial date_period=full maker_culture=partial historical_significance=none artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
25,Joseon folding screen landscape painting,朝鲜时代山水六曲屏风,A,7.575,21.4,low,C–A,5.90,是,当前A层级几乎完全建立在未核实的断代、工坊归属和质量评价之上，需先确认具体对象身份。,否,缺PEM馆藏号及馆方对象记录，包括尺寸、材质和正式定年,PEM馆藏档案中这件六曲屏风的藏号、正式定年和工坊归属是什么，相关图录如何将其与其他朝鲜山水屏风比较？,缺PEM馆藏号及馆方对象记录，包括尺寸、材质和正式定年；缺“地方官署工坊”归属的图录或学术依据；缺该屏风在朝鲜山水屏风中的艺术水准与类型位置比较；缺可靠的来源、入藏与展览记录；缺全景及细部图像、保存状况和修复资料,basic_identification=partial date_period=partial maker_culture=partial historical_significance=none artistic_significance=partial rarity_uniqueness=none institutional_identity=none category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
26,"Hank Willis Thomas, Rich Black Specimen #460",汉克·威利斯·托马斯：黑色标本#460,A,7.525,52.6,low,B–A,2.63,是,官网可确认基本对象信息，但当前A层级依赖尚未验证的系列地位、批评影响、独特性及PEM馆藏重要性。,否,缺该作在汉克·威利斯·托马斯创作生涯及《Rich Black Specimen》系列中的位置,PEM及艺术家出版物如何界定《Rich Black Specimen #460》在该系列和托马斯创作生涯中的地位，其版次与展览记录是什么？,缺该作在汉克·威利斯·托马斯创作生涯及《Rich Black Specimen》系列中的位置；缺该系列的版次、作品数量及本件独特性资料；缺该作的展览、出版与学术评论记录；缺PEM对其是否为重要当代购藏或代表作的明确说明；缺尺寸、安装方式及展厅视觉资料,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=full visual_experiential=partial relational_spatial=na
27,Salem ship portrait: “Friendship of Salem”,塞勒姆商船《友谊号》船舶肖像,A,7.860,39.1,low,C–S,6.09,是,当前A层级依赖尚未核实的作品身份、船只辨识、历史关联及馆藏代表性，必须先取得PEM记录或可靠海事史来源。,否,缺PEM藏号、正式题名、作者、年代及尺寸记录,PEM馆藏与塞勒姆航海档案中哪件作品对应这幅《友谊号》船像，其作者、年代、所绘具体船只及委托来源是什么？,缺PEM藏号、正式题名、作者、年代及尺寸记录；缺画中船只确为哪一艘“Friendship”及其辨识依据；缺作品与该船航行、船主或委托背景的历史关联资料；缺可靠的来源、入藏及早期收藏记录；缺与PEM其他船舶肖像的比较及馆方代表性说明,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=none rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
28,Brass Pakistani Astrolabe,巴基斯坦黄铜星盘,A,7.790,40.6,low,C–S,5.94,是,当前等级高度依赖未经核实的船长来源、文化归属和科学史价值，且“美国”文化语境与巴基斯坦或伊斯兰归属之间存在待查的元数据冲突。,否,缺PEM藏号及馆方对年代、产地、制造者和铭文的记录,PEM档案能否通过藏号、铭文释读和船长航海记录确认这件星盘的制作年代、具体产地、制造者及采集航次？,缺PEM藏号及馆方对年代、产地、制造者和铭文的记录；缺对星盘铭文、刻度及实际功能的专业释读；缺塞勒姆船长姓名、航次、取得地点及入藏时间；缺真实性、完整性及是否后期仿制的技术研究；缺与已发表伊斯兰星盘及PEM航海仪器的比较,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
