seq,名称EN,名称CN,当前Tier,Core,完备度,Tier可信度,潜在区间,研究优先级,需复核,复核原因,去推断后仍成立,最关键缺失证据,建议研究问题,缺失证据全部,12项判定
11,"Josh Simpson, Mega‑Megaplanet Glass Sphere",乔希·辛普森：巨型星球艺术玻璃球,A,7.414,24.0,low,C–A,5.70,是,对象身份、尺度及系列稀缺性均未核实，而这些是当前Tier的主要支撑。,否,缺PEM馆号、官方题名、创作年份、材质、精确尺寸及藏品图像,PEM登记簿或Josh Simpson作品目录是否著录Mega-Megaplanet，其馆号、年份、尺寸及在Planet系列中的版本性质是什么？,缺PEM馆号、官方题名、创作年份、材质、精确尺寸及藏品图像；缺本件在Mega-Planet或Planet系列中是唯一作、版本作还是常规变体的说明；缺艺术家作品目录及本件的重要展览与出版记录；缺PEM陈列史或宣传档案对其机构标志地位的证明,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=none category_representativeness=partial cultural_educational=none provenance_acquisition=none visual_experiential=partial relational_spatial=na
12,Korean Joseon Governor Welcoming Banquet Screen,朝鲜朝鲜时代 平壤道牧使欢迎宴会屏风,A,8.937,29.2,low,C–S,7.08,是,对象身份、所绘事件及“美国重要馆藏”地位均未核实，答案不同可能使Tier大幅变化。,否,缺PEM馆号、官方题名、藏品图像或权威图录记录,PEM韩国艺术目录或相关展览图录中是否有与该平壤欢迎宴会屏风图像相符的对象，其馆号、题跋释读、年代和所绘事件是什么？,缺PEM馆号、官方题名、藏品图像或权威图录记录；缺题跋印章释读及所绘牧使姓名、宴会地点和事件年份；缺与韩国及美国主要官署纪事屏风的数量和质量比较；缺原收藏者、离开朝鲜半岛的经过及PEM入藏记录,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=none category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
13,Maori War Treasure Jade Mere,毛利玉质战争权杖,A,8.041,42.2,low,C–S,5.78,是,对象身份及支撑A层级的前接触、高阶和早期航海来源均未核实。,否,缺PEM馆藏记录以确认本件身份及核心编目信息。,PEM登记档案中是否有一件与该展品匹配的毛利软玉mere，其馆号、采集者、航次和采集年代分别是什么？,缺PEM馆藏记录以确认馆号、规范题名、年代、尺寸及软玉材质鉴定。；缺采集者姓名、航次、采集年份及后续所有者构成的来源链。；缺毛利或相关专业学者对其前接触年代、高阶身份、taonga属性及玉料来源的鉴定。；缺同类mere pounamu存世数量、可比馆藏与质量等级资料。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
14,"Childe Hassam, New England Autumn Landscape",柴尔德·哈萨姆：新英格兰秋景,A,7.309,15.1,low,C–A,6.37,是,具体作品身份、作者归属及成熟期地位均未获外部资料确认。,否,缺能将该描述性题名对应到具体哈萨姆作品的馆方或总目记录。,PEM登记系统或哈萨姆作品总目中是否存在一幅新英格兰秋景，并可用图像、尺寸和来源与本件对应？,缺PEM馆号、规范题名、创作年份、尺寸和材质记录，以确认对象身份。；缺哈萨姆作品总目条目以确认作者归属、真伪和年代。；缺权威资料说明该画是否属于哈萨姆成熟期的重要作品。；缺可核实图像、保存状况及现场陈列尺度。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=none rarity_uniqueness=none institutional_identity=none category_representativeness=none cultural_educational=partial provenance_acquisition=none visual_experiential=none relational_spatial=na
15,"Robert Feke, Portrait of Judge Richard Saltonstall",罗伯特·费克：理查德·索尔顿斯托尔法官肖像,A,7.787,39.1,high,A,2.42,,,否,缺费克权威文献对该画质量和创作生涯位置的评价。,费克作品总目如何著录《理查德·索尔顿斯托尔法官肖像》，并如何评价其相对于其他现存费克肖像的质量？,缺馆方说明100183与Wikidata所载M11043分别属于何种编号。；缺费克作品总目或学术出版对该画质量及生涯位置的评价。；缺原始委托、悬挂地点、历任所有者及入藏经过。；缺理查德·索尔顿斯托尔生平及肖像历史用途资料。,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=none relational_spatial=na
16,"Fidelia Bridges, Pastures by the Sea",菲德莉娅·布里奇斯：海边牧场,A,7.252,52.6,high,A,3.41,,,否,缺权威目录对该画在布里奇斯生涯中位置的说明。,布里奇斯作品目录及PEM档案如何著录《海边牧场》，该画是否曾被列为其重要海岸自然题材作品？,缺权威作品目录对该画在布里奇斯创作生涯中位置的说明。；缺展览史、出版史及专业评论记录。；缺确切尺寸、保存状况和当前陈列方式。；缺对画中鸟类、野花及地点的可靠识别。,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=full visual_experiential=partial relational_spatial=na
17,"Samuel McIntire, carved fireplace surround",塞缪尔·麦金太尔雕刻壁炉围板,A,8.530,37.5,low,C–A,4.69,是,原构件身份和麦金太尔归属均不确定，足以显著改变当前层级依据。,否,缺证据确认其为宅邸原构件并确定麦金太尔归属。,加德纳-平格里宅的建筑调查、修复报告或历史照片能否确认该围板的原房间、安装年代及麦金太尔归属？,缺建筑调查或构件清单确认围板是否为加德纳-平格里宅原构件及其原房间。；缺档案或形式学研究确认塞缪尔·麦金太尔本人、工作室或后世仿作的归属。；缺后期改动、拆装、修复及现存完整性记录。；缺与其他完整麦金太尔壁炉围板的质量和稀缺性比较。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=partial
18,"John Singer Sargent, Portrait of Sarah Lawrence Brooks",萨金特：萨拉·劳伦斯·布鲁克斯肖像,A,7.750,43.8,low,C–A,4.22,是,萨金特归属及作品生涯位置尚未由馆方或作品总目确认。,否,缺PEM正式记录或萨金特作品总目确认作者归属与对象身份。,萨金特作品总目是否收录《萨拉·劳伦斯·布鲁克斯肖像》，其编号、日期、尺寸、来源及现藏机构如何著录？,缺PEM馆号、规范题名及正式作者归属记录。；缺萨金特作品总目条目确认真伪、年代及作品编号。；缺权威评价说明该画在萨金特肖像创作中的质量与位置。；缺萨拉·劳伦斯·布鲁克斯身份、委托背景及原始用途资料。；缺2002年以前的来源链、展览史和出版史。,basic_identification=partial date_period=full maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
19,"Josh Simpson, smaller planet glass orb",乔希·辛普森 中小型星球玻璃球,B,6.052,14.6,low,C–A,6.41,是,对象身份及决定可替代性的系列关系均未知，可能使当前层级上下变化。,,缺具体馆藏身份及其与Mega-Megaplanet的系列关系。,PEM登记档案中哪件乔希·辛普森玻璃球与该描述匹配，其尺寸、馆号及与Mega-Megaplanet的系列或版次关系是什么？,缺PEM馆号、规范题名、年份、尺寸、材质和入藏记录，以确认具体对象。；缺该球与Mega-Megaplanet的确切关系，包括独件、版次、系列或习作性质。；缺该作在乔希·辛普森创作生涯及星球系列中的位置。；缺可核实图像、制作技法、保存状况和现场展示信息。,basic_identification=partial date_period=none maker_culture=partial historical_significance=none artistic_significance=partial rarity_uniqueness=none institutional_identity=none category_representativeness=none cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
20,Chinese Export porcelain dinner service partial set,中国外销瓷餐具套件残套,A,7.405,35.4,low,C–S,6.46,是,对象身份、美国市场属性和残套完整度均属当前A层级的核心依据，却尚未核实。,否,缺能确认整套餐具身份、构成及美国市场来源的PEM编目记录。,PEM登记档案中是否有与该残套匹配的外销瓷餐具，其馆号、总件数、订购家族、制作地点和原套规模是什么？,缺PEM馆号、逐件清单、总件数、年代、尺寸、款识和保存状况。；缺技术或图录资料确认广东制作、粉彩装饰及面向美国市场。；缺原订购者、美国使用家族、贸易路径及入藏经过。；缺原套规模、残存比例及与其他外销餐具完整度的比较。；缺PEM对该套在亚洲外销艺术收藏中地位的说明。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
21,Japanese Arita blue‑and‑white charger plate,日本有田烧青花大盘,A,7.989,35.4,low,C–S,6.46,是,具体对象、有田归属、巨大尺度及欧洲市场属性均未核实，可能大幅改变当前层级。,否,缺PEM编目与技术证据确认本件身份及有田外销归属。,PEM登记档案中是否有直径和纹样与本件匹配的大型青花盘，其款识、产地鉴定及欧洲贸易依据是什么？,缺PEM馆号、规范题名、制作年代、精确直径、材质和款识记录。；缺技术分析或权威图录确认有田产地、具体窑口和制作时期。；缺可核图像及图像学资料确认人物纹样和欧洲市场用途。；缺与PEM及其他机构大型有田外销盘的尺寸、质量和稀缺性比较。；缺历任所有者、贸易路线和PEM入藏经过。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
22,Japanese netsuke rabbit by Naito Toyomasa,内藤丰正 兔子根付,A,8.192,45.8,high,A,3.06,是,对象层级证据稳定，但输入中文名“内藤丰正”与馆方来源所载“内藤丰昌”明显不一致。,否,缺核对Toyomasa署名及“内藤丰正／内藤丰昌”的名称冲突。,PEM原始编目和根付署名照片如何记录Toyomasa的日文汉字，规范中文名应为“内藤丰昌”还是“内藤丰正”？,缺对Toyomasa日文写法、署名原文及“丰正／丰昌”差异的权威核对。；缺作品尺寸、各面图像、签名位置、保存状况和修复记录。；缺根付图录对作品质量及内藤丰昌生涯位置的评价。；缺1947年以前的来源链及同作者兔形根付比较。,basic_identification=full date_period=full maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
23,Edo period medicine‑shop kanban signboard,江户药铺漆绘看板,A,8.031,47.4,high,A,2.47,,,否,缺看板文字、药品与店铺名称的完整释读。,PEM藏品E15898的全部题字如何释读，广告的是何种药品、哪家店铺，并能否确定其原使用城市？,缺看板全部文字、药品名称、店铺名称及原使用城市的释读。；缺日本公私收藏中同类药铺看板的存世数量与比较。；缺尺寸、正反面图像、保存状况、修复史和现场展示资料。；缺1914年卖方、此前所有者及从日本流出的经过。,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
24,"Katsumata Chieko, Pumpkin ceramic sculpture",胜田千惠子：南瓜陶塑,A,7.650,45.8,high,A,2.60,是,层级证据基本稳定，但输入“胜田千惠子”与馆方来源所载“胜间田千惠子”存在明显姓名冲突。,否,缺核对“胜田千惠子”与馆方记录“胜间田千惠子”的姓名冲突。,PEM原始英文及日文编目如何记录Katsumata Chieko，其规范中文译名与《南瓜》正式题名分别是什么？,缺馆方核对Katsumata Chieko的规范中文姓名及作品正式题名。；缺艺术家作品目录说明该作所属系列、独件性质及生涯位置。；缺支持“国际展出艺术家”说法的具体展览及出版记录。；缺作品尺寸、各面图像、制作技法、保存状况及现场展示资料。；缺确切捐赠年份及捐赠前来源记录。,basic_identification=full date_period=full maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
25,Joseon folding screen landscape painting,朝鲜时代山水六曲屏风,A,7.276,29.2,low,C–A,5.31,是,对象身份及支撑当前等级的工坊和质量判断均未核实，答案不同可能显著改变Tier。,否,缺能将该描述名对应到PEM具体馆藏的藏号、正式题名与对象记录。,PEM的韩国艺术展签、馆藏登记或出版物中是否有一件朝鲜山水六曲屏；其藏号、正式题名、年代与工坊归属是什么？,缺能将该描述名对应到PEM具体馆藏的藏号、正式题名与对象记录。；缺馆方或学术来源确认制作年代、朝鲜地区或工坊归属，尤其是“地方官署工坊”说法。；缺可核验图像及与已发表朝鲜山水屏风的质量比较，以验证其艺术水准。；缺PEM对该屏风在韩国艺术收藏或陈列中代表地位的说明。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=none artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
26,"Hank Willis Thomas, Rich Black Specimen #460",汉克·威利斯·托马斯：黑色标本#460,A,7.488,47.4,medium,B–A,3.04,是,身份虽已确认，但系列地位与馆方代表性可能决定其处于A或B边界。,否,缺PEM或学术出版物对该作在汉克·威利斯·托马斯创作生涯及《Rich Black Specimen》系列中位置的说明。,PEM关于馆号2019.23.1ab的购藏说明及托马斯的展览或作品目录，如何界定#460在《Rich Black Specimen》系列中的版次、独特性与生涯位置？,缺PEM或学术出版物对该作在汉克·威利斯·托马斯创作生涯及《Rich Black Specimen》系列中位置的说明。；缺该系列及本件的作品数量、版次或独件性质资料。；缺PEM是否将其明确称为重大购藏、代表作或优先展示对象的资料。；缺作品尺寸、安装方式与展厅现场图像。,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
27,Salem ship portrait: “Friendship of Salem”,塞勒姆商船《友谊号》船舶肖像,A,8.236,31.2,low,C–S,6.88,是,对象与船只身份均未核实；若并非所称塞勒姆名船，当前等级的核心历史依据将失效。,否,缺能对应到PEM具体馆藏的藏号、正式题名、作者、年代与对象记录。,PEM海事艺术展签、登记册或图录中有哪些题名含“Friendship”的船舶肖像，其藏号、作者、年代及船只辨识依据分别是什么？,缺能对应到PEM具体馆藏的藏号、正式题名、作者、年代与对象记录。；缺画中船只确为哪一艘“Friendship”及其图像或铭文辨识依据。；缺作品与该船航行、船主、委托者或塞勒姆贸易史存在直接关系的档案。；缺PEM将该画列为重要船舶肖像的说明及与馆内同类作品的比较。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=none rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
28,Brass Pakistani Astrolabe,巴基斯坦黄铜星盘,A,7.544,40.6,low,C–A,4.45,是,产地资料自相矛盾，且真实性、功能与船长来源均会直接影响其当前Tier依据。,否,缺PEM藏号及馆方对正式题名、年代、产地、制造者和铭文的记录，并需解决“巴基斯坦”与“美国”字段冲突。,PEM登记册或海事仪器图录中是否有一件由塞勒姆船长带回的黄铜星盘；其藏号、铭文释读、制作地、年代和真实性鉴定是什么？,缺PEM藏号及馆方对正式题名、年代、产地、制造者和铭文的记录，并需解决“巴基斯坦”与“美国”字段冲突。；缺专业释读确认铭文、刻度、天文功能、完整性与是否后期仿制。；缺所称塞勒姆船长的姓名、航次、取得地点、时间及入藏档案。；缺与已发表伊斯兰星盘及PEM航海仪器在年代、质量和稀缺性上的比较。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
29,"Valerie Hagerty, Shipwrecked Armoire with Barnacles",瓦莱丽·哈格蒂：附藤壶沉船主题立柜,A,7.899,43.2,low,C–S,5.68,是,对象身份与“PEM标志性当代作品”这一主要定级论断均无外部证据。,否,缺PEM馆藏号及馆方对正式题名、年代、材料、尺寸和购藏信息的对象记录。,PEM馆藏登记、展览档案或瓦莱丽·哈格蒂的作品清单中是否收录《Shipwrecked Armoire with Barnacles》；其藏号、年代、尺寸、展览史及艺术家定位是什么？,缺PEM馆藏号及馆方对正式题名、年代、材料、尺寸和购藏信息的对象记录。；缺艺术家资料、作品目录或学术出版物对该作真实性及其在哈格蒂创作生涯中位置的确认。；缺PEM将其称为标志性当代作品或重要海事主题购藏的直接说明。；缺尺寸、安装方式和展厅图像，以核验其被赋予的高视觉与体验价值。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
30,1803 ship‑wreck calendar stick,1803海难记事刻木杖,A,7.611,40.6,low,C–S,5.94,是,若刻痕并非海难生还记事，当前等级所依赖的历史意义、教育价值与稀缺性将同时失去依据。,否,缺同期档案或专业释读证明刻痕确用于记录海难生还日数。,PEM登记册或海事档案中是否记录一件1803年海难刻痕木杖；刻痕如何释读，又能否对应到具体船只、航次和幸存者？,缺PEM藏号、正式名称、尺寸、材质、刻痕内容与馆方对象记录。；缺同期档案或专业释读证明刻痕确用于记录海难生还日数。；缺对应海难的船名、地点、航次、幸存者及该木杖与事件的直接联系。；缺同类海难记事器物的存世数量及比较研究，以验证其独特性。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=none rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
31,Tahitian carved war club,塔希提雕花战棒,B,7.026,48.4,low,C–A,3.87,是,未核实的文化归属、航行来源和身份等级判断均可能使当前B级上下变动。,,缺PEM藏号、正式题名、定年、当地器名、材质、尺寸与对象记录。,PEM大洋洲登记册中哪件战棒可对应此描述，其藏号、塔希提归属、当地器名与塞勒姆航次来源是什么；专家比较是否支持“非王室级”？,缺PEM藏号、正式题名、定年、当地器名、材质、尺寸与对象记录。；缺大洋洲武器专家对塔希提文化归属、用途及礼仪或身份等级的鉴定。；缺所称塞勒姆时代航次、船长或采集者、取得地点及入藏档案。；缺与已发表塔希提战棒在年代、雕工和身份等级上的比较，以验证“非王室级”判断。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
32,Fiji carved spirit figure,斐济祖先神灵木雕,A,7.905,42.2,low,C–S,5.78,是,对象功能、年代和早期航行来源均属当前等级的核心依据，且尚未核实。,否,缺斐济艺术专家确认该像究竟表现祖先、神灵或其他存在及其原有功能。,PEM大洋洲登记册或图录中是否有可对应的斐济木雕人像；其藏号、当地名称、所表现存在、十九世纪初航次来源及同类比较结果是什么？,缺PEM藏号、正式题名、定年、斐济具体社群、当地名称及对象记录。；缺斐济艺术专家确认该像究竟表现祖先、神灵或其他存在及其原有功能。；缺所称十九世纪初新英格兰航次、采集者、取得地点和入藏记录。；缺与已发表斐济人像在年代、稀缺性、雕工和文化地位上的比较及PEM馆藏定位。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
