seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,V3旧tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
16,"Fidelia Bridges, Pastures by the Sea",菲德莉娅·布里奇斯：海边牧场,American Art Gallery,Oil Painting,object,美国风景油画,2,7.2,6.9,7.3,7.3,7.3,0,7.7,8.5,8.1,8.020,7.252,B,A,变,Core 7.252 落在 7.2–8.49,high,细腻的海岸牧场、鸟类和野花题材兼具新英格兰地域感与女性艺术史价值，且艺术家本人早期捐赠增强了馆藏关联，但其艺术史地位并非国家级顶点。,组内品质略居次席，但海滨牧场结合鸟类、野花与女性艺术家视角，且由艺术家本人捐赠，因而独特性与PEM沿海叙事补位均居首。,
17,"Samuel McIntire, carved fireplace surround",塞缪尔·麦金太尔雕刻壁炉围板,Gardner‑Pingree House,Wood Architectural Carving,node,塞勒姆历史宅邸室内构件,1,8.3,9.1,8,7.7,8.7,9.2,8.8,9.1,8.6,8.850,8.530,A,A,,Core 8.530 达标但 S-ness 仅 0/3 通过，降 A,medium,麦金太尔式新古典木雕围板是 Gardner-Pingree House 联邦时期室内整体的关键建筑节点，在塞勒姆原生宅邸语境中具有很高的不可替代性和环境关联度。,作为组内唯一对象，它以精细的新古典主义雕刻和麦金太尔式联邦时期风格占据最高且不可替代的位置，并补足PEM对塞勒姆本地宅邸与工艺史的叙事。,三项均不成立，降为A。壁炉围板是精良的联邦时期室内雕刻，但在两小时路线中不是必须单独安排的对象，漏看也不构成明显遗憾。它主要加强Gardner-Pingree House的历史室内语境，而美国主流装饰艺术并非PEM最不可替代的身份核心，单件构件消失不会明显损害全馆身份。
18,"John Singer Sargent, Portrait of Sarah Lawrence Brooks",萨金特：萨拉·劳伦斯·布鲁克斯肖像,American Art Gallery,Oil Painting,object,美国肖像油画,2,8.2,7,8.4,8.1,7.4,0,8.4,7.3,6.8,7.750,7.750,A,A,,Core 7.750 落在 7.2–8.49,medium,这幅大尺幅晚期社会肖像展现了萨金特的一流笔触与人物塑造能力，现场观赏性很强，但作为次于其绝对名作的作品，对 PEM 核心身份的支撑有限。,组内居次：其画家地位与笔触品质突出，并填补19世纪末美国社会肖像一环，但并非萨金特最高等级代表作，且对PEM核心身份的贡献弱于费克肖像。,
19,"Josh Simpson, smaller planet glass orb",乔希·辛普森 中小型星球玻璃球,Art & Nature Center,Art Glass,object,当代艺术玻璃,2,5.8,5,6.8,7.2,5.8,0,6.8,7.2,5.8,6.720,6.052,B,B,,Core 6.052 落在 5.5–7.19,medium,星球般的内部纹理使玻璃球直观而讨喜，但较小尺度且与同馆更具标志性的 Mega-Megaplanet 出自同一创作体系，单件可替代性较高。,组内两件同作者、同星球母题作品中，此件尺度与完整性更具代表性，居组内首位，但仍与小型弹珠及大型同系列作品存在重复。,
20,Chinese Export porcelain dinner service partial set,中国外销瓷餐具套件残套,Asian Export Art Gallery,Porcelain,object,东亚外销瓷,2,6.8,7.5,7.2,7.1,8.2,0,7.9,7.2,9.2,7.950,7.405,A,A,,Core 7.405 落在 7.2–8.49,medium,这组面向美国市场的广彩餐具能清楚呈现中美贸易、消费和餐桌文化，契合 PEM 的外销艺术核心身份，但残套状态和常见器类降低了单件不可替代性。,组内品质居次且残套使典范性略逊，但其面向美国市场的广彩餐具最直接衔接塞勒姆远洋贸易与PEM外销艺术主线。,
21,Japanese Arita blue‑and‑white charger plate,日本有田烧青花大盘,Asian Export Art Gallery,Porcelain,object,东亚外销瓷,2,7.5,7.8,8.3,8.1,8.1,0,8.6,8.8,8.5,8.640,7.989,A,A,,Core 7.989 落在 7.2–8.49,medium,巨型有田青花盘以醒目尺度和繁密人物纹饰体现日本为欧洲市场生产瓷器的适应与创新，是 PEM 亚洲外销艺术叙事中较强的视觉锚点。,组内居首，巨型器制、繁密人物青花及日本有田烧面向欧洲贸易的组合，比常见中国外销餐具更具独特性并补足日欧交流一环。,
22,Japanese netsuke rabbit by Naito Toyomasa,内藤丰正 兔子根付,Japanese Art Gallery,Carved Ivory,object,日本根付,3,8.6,8,7.7,8.3,7.9,0,9.1,9.2,7.8,8.870,8.192,A,A,,Core 8.192 落在 7.2–8.49,high,内藤丰昌签名兔子是江户根付名家的高水平微雕，以生动动物造型、精细象牙工艺和名家身份兼具类别代表性与亲和力，唯微小尺度略限视觉冲击。,组内品质与典范性居首，名家署款、年代明确的兔形象牙根付最能代表江户根付艺术，故与其余两件显著拉开。,
23,Edo period medicine‑shop kanban signboard,江户药铺漆绘看板,Japanese Art Gallery,Painted Wood Sign,object,日本商业招牌,1,7.6,7.6,8,8.2,8.8,0,8.3,9.2,8.5,8.610,8.031,A,A,,Core 8.031 落在 7.2–8.49,high,这件十九世纪胃药广告看板以木、漆、金和鲜明图像保存了罕见的江户商业视觉文化，能生动解释城市消费、医药和早期广告制度。,组内唯一的日本商业招牌，以罕见的江户药品广告形态和鲜明漆绘工艺居首，补足日本日常商业文化及物质生活叙事。,
24,"Katsumata Chieko, Pumpkin ceramic sculpture",胜田千惠子：南瓜陶塑,Japanese Art Gallery,Stoneware Ceramic,object,日本当代陶艺,2,7.6,6.9,8.1,8.1,7.6,0,8.3,8.8,7.8,8.350,7.650,B,A,变,Core 7.650 落在 7.2–8.49,high,胜间田千惠子的南瓜陶塑以有机形态和亚光表面体现当代日本陶艺从器皿走向雕塑的趋势，视觉亲和力突出，但并非 PEM 身份不可替代的核心作品。,组内居首，其知名艺术家创作的有机南瓜造型兼具鲜明个人语言与当代日本陶艺的叙事补位价值，显著区别于常规器用陶瓷。,
25,Joseon folding screen landscape painting,朝鲜时代山水六曲屏风,Korean Art Gallery,Screen Painting,object,朝鲜屏风画,1,7.0,7.0,7.7,7.3,7.2,0,7.4,8.8,8.1,7.960,7.276,A,A,,Core 7.276 落在 7.2–8.49,medium,六曲山水屏兼具朝鲜绘画的典型形制与较强空间展开效果，品质高于常规馆藏，但并非王室或名家顶级作品。,作为组内唯一的朝鲜屏风画，其品质属较高水准且独特性居首，并为馆内东亚叙事补入朝鲜山水画与屏风陈设传统。,
26,"Hank Willis Thomas, Rich Black Specimen #460",汉克·威利斯·托马斯：黑色标本#460,American Contemporary Gallery,Metal Cut‑out Sculpture,object,美国当代雕塑与装置,2,7.6,6.9,7.4,7.2,8.4,0,8.3,7.4,7.8,7.930,7.488,A,A,,Core 7.488 落在 7.2–8.49,high,托马斯以醒目的金属剪影探讨美国种族史，艺术家地位与议题价值突出，但美国当代艺术并非PEM最不可替代的收藏核心。,组内品质与当代社会议题代表性居首，但金属剪影形式相较沉船立柜较常见，故独特性列第二，并补入PEM较弱的当代种族叙事。,
27,Salem ship portrait: “Friendship of Salem”,塞勒姆商船《友谊号》船舶肖像,Maritime Gallery,Oil Painting,object,美国船舶肖像画,1,7.8,8.9,7.2,7.8,8.7,0,8.5,9.3,9.6,8.960,8.236,A,A,,Core 8.236 落在 7.2–8.49,medium,《友谊号》直接连接塞勒姆远洋贸易史与PEM的创馆根源，是兼具地方象征性和航海史文献价值的核心船舶肖像。,作为组内唯一的美国船舶肖像，它以塞勒姆著名商船“友谊号”直接承载本地远洋贸易史，在同组独特性居首并为PEM核心海事叙事提供关键补位。,
28,Brass Pakistani Astrolabe,巴基斯坦黄铜星盘,Maritime Gallery,Engraved Brass Scientific Instrument,object,航海与天文仪器,1,7.2,7.6,6.8,7.3,8.3,0,7.8,9.0,9.2,8.440,7.544,A,A,,Core 7.544 落在 7.2–8.49,medium,精刻黄铜星盘能够串联伊斯兰天文学、海上定位技术及塞勒姆船长的跨文化收藏活动，教育价值尤强。,作为组内唯一的航海与天文仪器，它以精刻伊斯兰星盘连接天文导航、塞勒姆船长收藏与跨洋贸易叙事，独特性和补位价值均居本组首位。,
29,"Valerie Hagerty, Shipwrecked Armoire with Barnacles",瓦莱丽·哈格蒂：附藤壶沉船主题立柜,Maritime Gallery,Mixed‑Media Furniture‑Sculpture,object,美国当代雕塑与装置,2,6.8,8.0,8.4,8.5,7.7,0,7.7,9.2,9.4,8.490,7.899,A,A,,Core 7.899 落在 7.2–8.49,medium,被藤壶侵蚀的立柜以强烈而易懂的视觉幻象重述沉船与物质衰败，并与PEM的海事身份形成鲜明当代对话。,组内以家具、沉船意象和综合材质的罕见结合独特性居首，且最能把当代装置与PEM核心海事叙事衔接起来。,
30,1803 ship‑wreck calendar stick,1803海难记事刻木杖,Maritime Gallery,Carved Wood Folk Object,object,美国海事民俗器物,1,7.3,8.4,5.2,7.4,8.6,0,8.1,9.4,9.2,8.710,7.611,A,A,,Core 7.611 落在 7.2–8.49,medium,以木杖刻痕记录海难生还日数的方式罕见且叙事直接，虽外观朴素，却是PEM解释普通海员经历的有力实物。,作为组内唯一对象，这件以刻痕记录海难生存日数的1803年民俗木杖形制与功能罕见，独占最高代表位，并为PEM核心海事叙事补入普通船员灾难记忆的一环。,
31,Tahitian carved war club,塔希提雕花战棒,Oceanic Gallery,Carved Wood Weapon,object,大洋洲木雕,3,6.5,7.3,7.0,6.9,7.4,0,7.2,6.2,8.0,7.060,7.026,B,B,,Core 7.026 落在 5.5–7.19,medium,战棒雕工良好并带有塞勒姆时代航行来源，可呈现波利尼西亚武器文化和早期采集史，但明确不是王室级顶尖实例。,组内列第三，雕工与塞勒姆远航渊源具价值，但非顶级王室范例，且木雕战棒相较神灵造像与waka huia更易出现类型重复。,
32,Fiji carved spirit figure,斐济祖先神灵木雕,Oceanic Gallery,Carved Wood Sculpture,object,大洋洲木雕,3,7.4,8.1,8.0,7.8,8.0,0,8.4,7.8,8.8,8.300,7.905,A,A,,Core 7.905 落在 7.2–8.49,medium,造型有力的斐济祖灵木雕兼具宗教表现力与早期新英格兰航行采集背景，在PEM核心大洋洲收藏中具有较强辨识度。,组内列第二，其有力的祖先神灵造型兼具较高品质与仪式文化内涵，并为另外两件偏器用性的木雕补足斐济宗教叙事。,
33,New Zealand Māori carved treasure box (waka huia),毛利雕花珍宝木盒waka huia,Oceanic Gallery,Carved Wood Container,object,大洋洲木雕,3,7.7,8.0,7.8,7.7,8.2,0,8.6,9.0,8.7,8.740,7.969,A,A,,Core 7.969 落在 7.2–8.49,medium,waka huia是毛利保存羽饰与贵重物的经典器类，精细旋纹雕刻能有效说明身份、财富、祖先观念与木雕传统。,组内列第一，waka huia作为辨识度很高的毛利珍宝容器，以经典器形和精细旋纹雕刻构成三件中最独特、最具典范性的对象。,
34,Chinese export gouache painting set of trades,中国外销水粉百工图组画,Asian Export Art Gallery,Gouache on Paper,object,中国外销绘画,2,6.9,7.7,7.2,7.4,8.6,0,7.5,6.3,8.2,7.280,7.513,A,A,,Core 7.513 落在 7.2–8.49,medium,成组百工图虽属流行外销题材，却以丰富细节呈现中国行业、劳动形象及西方市场的观看需求，尤其适合贸易史叙事。,组内列第2，百工题材能典型呈现外销水粉的系列化生产与贸易视角，但相较商人油画肖像更常见、重复性也更高。,
35,Canton painted fan for western lady,广州外销西洋女士彩绘折扇,Asian Export Art Gallery,Ivory‑Paper Fan,object,中国外销扇,2,6.5,7.5,7.5,7.7,8.0,0,8.2,8.5,8.6,8.370,7.492,B,A,变,Core 7.492 落在 7.2–8.49,medium,为美国女性顾客制作的广州彩绘折扇工艺精致，能够直观解释外销生产、跨文化审美和女性消费史，但器类本身并不罕见。,组内排名第一，精细象牙扇骨与面向美国女性顾客的定制属性使其比普通竹骨扇更具典范性，并突出PEM的中美外销艺术叙事。,
36,Spilum portrait of Chinese merchant,斯波伦绘制中国商人肖像,Asian Export Art Gallery,Oil on Canvas,object,中国外销绘画,2,8.0,8.5,7.7,7.7,8.8,0,8.7,9.1,8.8,8.840,8.239,A,A,,Core 8.239 落在 7.2–8.49,medium,由广州外销画家以西式油画描绘中国商人的作品题材少见，集中体现贸易中介者、中国画师能动性与中西视觉交流，十分契合PEM核心身份。,组内列第1，斯波伦所绘中国商人油画肖像兼具罕见题材与中西绘画交汇特征，是两件中更独特且更能强化PEM外销艺术叙事者。,
37,Mughal painted manuscript leaf,莫卧儿细密画册页,Asian Export Art Gallery,Opaque Watercolor on Paper,object,南亚纸本细密画,1,7.2,7.1,6.8,6.8,7.5,0,7.8,8.8,8.3,8.200,7.200,B,A,变,Core 7.200 落在 7.2–8.49,medium,这件高质量莫卧儿宫廷风格册页代表重要细密画传统，其经塞勒姆贸易网络入藏的经历又能连接PEM的亚洲收藏与远洋贸易叙事。,作为组内唯一的南亚纸本细密画，它以较高品质的莫卧儿宫廷风格获得最高且显著的独特性，并补足PEM亚洲贸易叙事中的印度艺术一环。,
38,"Sinhalese ivory combs, export set",斯里兰卡外销象牙梳子套件,Asian Export Art Gallery,Carved Ivory,object,南亚外销象牙器,1,7.0,7.8,7.0,7.1,8.0,0,7.8,9.0,8.5,8.300,7.495,B,A,变,Core 7.495 落在 7.2–8.49,medium,华丽雕刻的斯里兰卡外销梳具兼具工艺吸引力，并可直接阐释南亚生产、欧美消费与殖民贸易，和PEM的亚洲外销艺术核心身份高度契合。,作为组内唯一对象，这套斯里兰卡外销象牙梳兼具较高工艺代表性与显著独特性，并为PEM亚洲外销艺术叙事补入南亚—欧美贸易的一环。,
39,Edo period noblewoman palanquin (onna norimono),江户贵族女子轿舆,Japanese Art Gallery,Lacquered Wood Transport Object,object,日本漆艺仪仗与交通器,1,8.0,8.3,8.7,8.5,8.5,0,8.8,9.4,8.7,8.960,8.426,A,A,,Core 8.426 落在 7.2–8.49,high,保存良好的贵族女性漆轿以大型体量、金箔丝织等复合装饰呈现江户上层社会的性别、等级、出行礼制与工艺，是PEM日本收藏中的突出现场焦点。,作为组内唯一对象，这件保存完好的江户贵族女子漆轿以复合工艺和鲜明的身份礼制特征居组内首位，并补足日本精英女性生活、仪仗与交通叙事。,
40,18‑century Japanese dragonfly‑design kabuto helmet,18世纪蜻蜓纹饰武士兜头盔,Japanese Art Gallery,Metal Helmet Armor,object,日本武具,2,7.5,7.7,8.0,8.2,7.7,0,8.4,8.8,7.9,8.420,7.852,A,A,,Core 7.852 落在 7.2–8.49,high,寺田忠丰制作的蜻蜓纹漆艺武士兜兼具精细工艺、鲜明轮廓和武家象征意义，能为PEM的重要日本收藏提供辨识度很高的代表作。,组内居首，寺田忠丰所作的蜻蜓纹漆与螺钿兜兼具工艺品质、明确作者与鲜明图像特征，是两件中更具代表性且不可替代的日本武具。,
41,Japanese ukiyo‑e complete Hokusai print set partial,葛饰北斋浮世绘组画残套,Japanese Art Gallery,Woodblock Print,object,日本浮世绘版画,5,7.6,6.9,6.7,7.5,7.7,0,8.7,8.4,8.0,8.470,7.377,A,A,,Core 7.377 落在 7.2–8.49,low,北斋版画具有很高的艺术史知名度且良好印况可增强观赏性，但残套、轮换展出及具体系列不明限制了其作为PEM标志性藏品的地位。,组内排名第二，以良好印工和北斋组画形态区别于广重风景系列，仅因残套而略逊首位。,
42,Hiroshige Tokaido set partial,歌川广重东海道五十三次部分版画,Japanese Art Gallery,Woodblock Print,object,日本浮世绘版画,5,7.7,6.9,6.8,7.5,8.0,0,8.8,9.0,8.2,8.740,7.484,A,A,,Core 7.484 落在 7.2–8.49,low,《东海道五十三次》是江户风景版画的经典系列，能够生动讲解旅行文化、名所消费与版画传播，但部分选件且版次印况未明，馆内不可替代性有限。,组内排名第一，广重《东海道五十三次》兼具典范性与系列辨识度，是同组站点风景版画的代表作。,
43,Joseon dynasty brass ritual incense burner,朝鲜王朝黄铜礼式香炉,Korean Art Gallery,Brass Inlaid Metalwork,object,朝鲜传统金工,1,6.9,6.8,7.0,6.9,7.5,0,7.3,8.4,7.7,7.710,7.061,B,B,,Core 7.061 落在 5.5–7.19,medium,黄铜铸造与错银装饰使其成为品质良好的朝鲜王朝礼仪金工，并可解释仪式、宗教实践和传统工艺，但尚不足以构成PEM的独立身份标志。,作为组内唯一对象，这件错银黄铜礼式香炉以较精雅的工艺独占高D，并为PEM东亚叙事补入朝鲜王朝礼仪金工一环。,
44,Nam June Paik small video‑art sculpture,白南准小型影像雕塑,Korean Contemporary Gallery,Mixed‑Media Video Sculpture,object,韩国现当代艺术,1,8.0,6.6,7.4,7.8,8.4,0,8.6,9.2,8.7,8.800,7.670,A,A,,Core 7.670 落在 7.2–8.49,medium,白南准作为影像艺术先驱具有国际艺术史分量，小型动态媒介作品也易于吸引游客并讲述科技、跨文化身份与当代艺术革新，但具体作品并非已知代表性巨作。,作为组内唯一对象，它以白南准这一影像艺术先驱的代表性媒介语言独占最高相对位置，并为PEM的东亚收藏补入韩国现当代艺术与全球媒介艺术的重要一环。,
