seq,tier,core,HS,IU,VI,VA,CE,ER,CR,confidence,object_type,peer_group,名称
76,B,6.852,6.50,7.50,6.50,6.50,7.50,0.00,6.020,high,object,塞勒姆少女刺绣样本,塞勒姆少女刺绣样本
77,A,7.500,7.50,8.00,5.90,7.50,8.00,0.00,7.900,medium,object,夏威夷生活文化遗物,夏威夷古冲浪板残件
78,B,6.985,7.00,7.50,6.50,5.90,7.50,0.00,7.250,high,object,大洋洲编织品,萨摩亚仪式编织席
79,B,6.680,7.00,7.00,6.50,5.90,7.00,0.00,6.200,medium,object,朝鲜金属工艺,朝鲜王朝铜钟残件
80,B,6.775,6.50,7.00,7.00,7.00,6.50,0.00,6.500,high,object,美国民间木雕,美国民间雕刻风向标人像
81,B,6.190,7.00,6.50,5.90,5.90,5.90,0.00,5.100,high,object,美国光亮主义海景绘画,菲茨·亨利·莱恩：海岸小稿
82,B,6.370,7.00,6.50,6.50,5.90,6.50,0.00,5.100,high,object,美国殖民地肖像画,罗伯特·费克：绅士肖像
83,B,6.510,7.50,7.00,5.30,5.90,6.50,0.00,6.050,high,object,美国殖民地肖像画,科普利：微型肖像
84,B,6.445,7.00,5.90,7.00,7.50,5.90,0.00,5.100,high,object,19世纪末美国印象派与肖像绘画,柴尔德·哈萨姆：花园花卉习作
85,B,6.080,6.50,5.90,6.50,7.00,5.30,0.00,4.850,high,object,19世纪美国自然主题绘画,马丁·约翰逊·希德：花鸟小幅习作
86,B,5.855,5.90,5.90,5.90,6.50,5.90,0.00,4.550,high,object,19世纪美国自然主题绘画,菲德莉娅·布里奇斯：花卉水彩
87,B,6.460,5.90,7.00,6.50,7.00,7.00,0.00,4.550,high,object,塞勒姆民间记忆绘画,J.O.J.弗罗斯特：渔夫小屋
88,B,5.660,6.50,5.90,5.30,5.30,5.30,0.00,5.000,high,object,温斯洛·霍默纸本作品,温斯洛·霍默：人物速写
89,B,6.030,6.50,5.90,5.90,5.90,6.50,0.00,5.100,high,object,特朗布尔独立战争题材油画稿,约翰·特朗布尔：人物肖像草稿
90,B,6.205,7.00,5.90,6.50,7.00,5.30,0.00,5.100,high,object,欧姬芙与美国现代主义,乔治亚·欧姬芙：叶片习作
91,B,6.125,6.50,7.00,5.90,5.30,5.90,0.00,5.100,high,object,麦金太尔联邦时期建筑木雕,塞缪尔·麦金太尔：门框木雕残件
92,B,5.515,5.90,6.50,5.30,4.60,5.30,0.00,4.300,high,object,麦金太尔联邦时期建筑木雕,麦金太尔：瓮纹装饰木饰条
93,B,6.367,7.00,7.00,5.30,5.90,6.50,0.00,5.620,high,object,保罗·里维尔银器,保罗·里维尔：银茶匙成套
94,B,6.340,7.00,7.00,5.30,5.90,6.50,0.00,5.350,high,object,保罗·里维尔银器,保罗·里维尔：银盐罐
95,B,6.092,5.90,7.00,6.50,5.30,5.90,0.00,5.070,high,object,塞勒姆联邦时期红木家具,塞勒姆联邦时代桃花心木牌桌
96,B,5.850,5.90,6.50,5.90,5.30,5.90,0.00,4.800,high,object,齐本德尔风格家具,齐本德尔式烛台
97,B,6.254,5.90,6.50,7.00,6.50,5.90,0.00,5.390,high,object,新英格兰彩绘民间家具,彩绘储物箱
98,B,5.915,6.50,5.90,5.90,6.50,5.30,0.00,4.850,high,object,马卢夫工作室家具,萨姆·马卢夫：小型边凳
99,B,6.335,6.50,5.90,7.00,7.00,5.30,0.00,6.650,high,object,美国艺术玻璃,蒂凡尼法夫赖尔玻璃杯
100,C,5.382,5.30,5.90,5.30,4.60,5.90,0.00,4.770,high,object,殖民地个人小件与家用器,美式黄铜铁制壁炉柴架成对
101,B,6.205,5.90,7.00,5.90,5.90,7.00,0.00,4.550,high,object,塞勒姆少女刺绣样本,1792塞勒姆少女刺绣样本
102,B,5.577,5.30,5.90,5.90,5.90,5.30,0.00,4.770,high,object,美国民间木雕,民间木雕鹰顶饰
103,B,6.547,5.90,7.50,6.50,6.50,7.00,0.00,4.920,high,object,中国外销瓷,广彩徽章纹外销盘
104,B,6.190,5.90,7.00,5.90,5.90,7.00,0.00,4.400,high,object,中国外销瓷,广彩茶杯杯托组
105,B,6.510,5.90,7.50,5.90,5.90,7.00,0.00,6.350,high,object,中国外销银器,福布斯藏中国外销银勺套件
106,B,6.182,5.90,7.00,5.90,5.90,6.50,0.00,5.070,high,object,中国外销漆器家具,中国外销漆木针线盒
107,B,6.155,5.90,7.00,5.90,5.90,6.50,0.00,4.800,high,object,中国外销水粉画,外销水粉花鸟册页
108,B,6.155,5.90,7.00,5.90,5.90,6.50,0.00,4.800,high,object,外销玻璃背画,外销玻璃背画商人夫人像
109,B,5.870,5.30,6.50,5.90,5.90,5.90,0.00,5.300,high,object,中国外销象牙雕,外销象牙仕女摆件
110,B,5.905,5.30,6.50,5.90,7.00,5.90,0.00,4.000,high,object,中国外销象牙雕,小型外销象牙套球
111,B,5.745,5.30,6.50,5.90,5.30,5.90,0.00,4.950,high,object,英印嵌象牙家具,英印檀香木首饰盒
112,B,6.220,5.90,7.00,6.50,5.90,6.50,0.00,4.550,high,object,英印嵌象牙家具,印度维扎加帕塔姆嵌象牙小文具盒
113,C,5.450,5.30,5.90,5.30,5.30,5.30,0.00,5.300,medium,object,南亚外销象牙雕,莫卧儿象牙小动物群雕
114,B,5.765,5.90,5.90,5.90,5.90,5.90,0.00,4.550,medium,object,南亚细密画,莫卧儿细密画宫廷侍从
115,B,5.765,5.90,5.90,5.90,5.90,5.90,0.00,4.550,medium,object,南亚细密画,拉杰普特风景细密画
116,B,5.610,5.30,6.50,5.30,5.30,5.90,0.00,4.500,high,object,南亚外销象牙雕,斯里兰卡象牙发饰
117,B,6.005,5.90,6.50,5.90,5.90,6.50,0.00,4.550,high,object,日本外销瓷,有田烧青花小瓶
118,B,6.320,5.90,6.50,6.50,6.50,6.50,0.00,5.900,high,object,日本外销瓷,伊万里烧盖碗
119,B,6.304,5.90,7.00,6.50,5.90,6.50,0.00,5.390,high,object,日本外销漆器,日本外销漆木小斗柜
120,B,6.130,5.90,7.00,5.90,5.90,6.50,0.00,4.550,high,object,日本外销漆器,日本外销漆文具盒
121,B,6.192,6.50,6.50,5.30,7.00,5.90,0.00,5.370,high,object,根付,江户签名根付老鼠
122,B,5.775,5.90,5.90,5.30,7.00,5.30,0.00,4.800,high,object,根付,无款根付龟
123,C,5.460,5.30,5.90,5.30,5.30,5.90,0.00,4.500,high,object,江户商业与生活木器,江户时代木药箱
124,B,5.519,5.30,5.90,5.90,5.30,5.30,0.00,5.090,high,object,日本金属工艺器皿,江户花卉纹青铜香炉
125,B,5.732,5.30,5.90,5.90,5.90,5.90,0.00,5.420,high,object,日本金属工艺器皿,江户铁茶壶铁瓶
126,B,5.510,5.30,5.30,5.90,7.00,5.30,0.00,3.950,high,object,浮世绘版画,二流浮世绘美人版画
127,B,6.050,6.50,5.90,5.90,7.00,5.90,0.00,4.550,high,object,浮世绘版画,葛饰北斋杂画小版画
128,B,6.050,6.50,5.90,5.90,7.00,5.90,0.00,4.550,high,object,浮世绘版画,歌川广重普通站点版画
129,B,6.392,6.50,6.50,6.50,5.90,6.50,0.00,6.320,high,object,朝鲜陶瓷,朝鲜王朝白瓷瓶
130,B,5.882,5.90,5.90,5.90,5.90,5.90,0.00,5.720,high,object,朝鲜陶瓷,朝鲜青瓷小碗
131,C,5.395,5.30,5.90,5.30,4.60,6.50,0.00,4.000,high,object,朝鲜刺绣补子,朝鲜刺绣补子残片
132,C,5.487,5.30,5.90,5.30,5.30,5.90,0.00,4.770,high,object,朝鲜金属工艺,朝鲜青铜手镜
133,B,6.155,6.50,6.50,5.90,6.50,5.90,0.00,4.850,high,object,白南准影像雕塑,白南准小型电视媒介习作
134,B,6.157,5.90,7.00,5.90,5.30,6.50,0.00,5.720,high,object,大洋洲仪式木碗与容器,夏威夷木雕食用碗
135,B,5.600,5.30,6.50,4.60,4.60,6.50,0.00,5.600,high,object,大洋洲石器与工具,夏威夷石制渔坠组
136,B,5.824,5.90,7.00,4.60,4.60,6.50,0.00,5.390,high,object,大洋洲编织品,夏威夷编织席残片
137,B,5.877,5.90,6.50,5.90,5.30,5.90,0.00,5.070,high,object,毛利雕花容器,毛利木质食物储存盒
138,C,5.225,5.30,5.90,4.60,4.60,5.90,0.00,4.250,high,object,大洋洲石器与工具,毛利石锛工具
139,B,6.595,6.50,7.00,6.50,6.50,6.50,0.00,6.200,high,object,大洋洲仪式人像雕刻,马克萨斯小型祖先木雕
140,B,5.850,5.90,6.50,5.90,5.30,5.90,0.00,4.800,high,object,大洋洲仪式木碗与容器,斐济雕花仪式木碗
141,C,5.250,5.30,5.90,4.60,4.60,5.90,0.00,4.500,high,object,大洋洲编织品,汤加编织储物篮
142,B,6.075,5.90,6.50,6.50,5.90,5.90,0.00,5.250,high,object,美拉尼西亚面具,新赫布里底神灵面具残件
143,B,6.089,5.90,6.50,5.90,6.50,5.90,0.00,5.390,medium,object,大洋洲仪式人像雕刻,复活节岛小木雕像
144,B,6.347,5.90,7.00,5.90,7.00,6.50,0.00,5.070,high,object,骨雕scrimshaw,捕鲸骨雕帆船主题鲸牙
145,B,5.790,5.30,6.50,5.30,6.50,5.90,0.00,4.500,high,object,骨雕scrimshaw,小型海象牙骨雕
146,B,5.555,4.60,6.50,4.00,5.30,7.00,0.00,5.650,high,object,捕鲸业日用器物,鲸鱼骨束腰撑片
147,B,6.313,5.90,7.00,5.90,5.90,7.00,0.00,5.630,high,object,航海与天文仪器,黄铜船用罗盘实物
148,C,5.176,4.60,6.50,4.00,4.00,6.50,0.00,4.560,high,object,航海与天文仪器,铅制测水深铅锤
149,C,4.895,4.60,5.90,4.00,4.00,5.90,0.00,4.150,high,object,航海与天文仪器,船木匠折叠木尺
150,B,5.790,5.30,6.50,5.90,5.30,6.50,0.00,4.500,high,object,船舶肖像画,塞勒姆普通双桅船水彩肖像
151,B,6.119,5.30,6.50,6.50,6.50,6.50,0.00,5.090,high,object,船模,沿海小纵帆船船模
152,B,5.685,5.30,6.50,5.30,5.30,6.50,0.00,4.350,high,object,捕鲸业日用器物,19世纪鲸油手提灯
153,B,6.204,6.50,7.50,4.00,4.60,7.50,0.00,6.140,high,object,塞勒姆历史手稿,塞勒姆海关手稿残页
154,B,6.327,6.50,7.50,4.00,5.30,7.50,0.00,6.320,high,object,塞勒姆历史手稿,船长私人航海日志残页
155,B,6.180,6.50,6.50,5.90,5.90,6.50,0.00,5.100,high,object,19世纪中国摄影,费利斯·比托风景原版照片
156,B,6.267,6.50,6.50,5.90,5.90,7.00,0.00,5.220,high,object,19世纪中国摄影,约翰·汤姆森街景原版照片
157,B,5.759,5.30,6.50,5.30,5.30,6.50,0.00,5.090,high,object,19世纪旅行影像与版画,19世纪旅行相册单页
158,B,5.540,5.90,5.30,5.30,5.30,5.90,0.00,5.600,medium,object,伊斯兰陶器与金属器,萨法维波斯陶小碗
159,C,5.085,5.30,4.60,5.90,5.30,5.30,0.00,4.000,medium,object,伊斯兰建筑陶砖,卡扎尔波斯彩绘瓷砖残件
160,B,5.918,6.50,5.30,5.90,5.90,5.90,0.00,6.380,medium,object,伊斯兰陶器与金属器,马穆鲁克嵌饰黄铜小托盘
161,C,5.485,5.90,4.60,5.90,5.30,5.90,0.00,5.900,medium,object,伊斯兰建筑陶砖,奥斯曼书法瓷砖残件
162,C,4.850,5.30,4.60,4.60,4.60,5.30,0.00,4.650,medium,object,伊斯兰织物,奥斯曼刺绣织物残片
163,B,5.647,6.50,4.60,5.30,5.30,6.50,0.00,6.320,medium,object,古希腊彩绘陶器残件,古希腊黑绘浅酒杯残件
164,B,5.635,6.50,4.60,5.30,5.30,6.50,0.00,6.200,medium,object,古希腊彩绘陶器残件,古希腊红绘双耳罐颈部残件
165,C,5.485,5.90,4.60,5.90,5.30,5.90,0.00,5.900,medium,object,古地中海雕塑与金属器,罗马大理石胸像残件
166,C,5.467,5.90,4.60,5.30,5.90,5.90,0.00,5.720,high,object,古地中海小型随葬品,罗马玻璃香水瓶
167,C,5.380,5.90,4.60,4.60,5.90,5.90,0.00,5.900,high,object,古地中海小型随葬品,埃及费昂斯护身符小造像
168,C,4.880,5.30,4.60,4.60,4.60,5.30,0.00,4.950,medium,object,古地中海雕塑与金属器,伊特鲁里亚青铜别针胸针
169,B,5.665,5.90,4.60,6.50,5.90,5.90,0.00,5.900,high,object,欧洲陶瓷,16世纪意大利马约里卡陶盘
170,C,5.260,5.90,4.60,5.30,4.60,5.90,0.00,5.600,medium,object,欧洲金属器,文艺复兴宗教主题青铜小浮雕牌
171,C,4.525,4.60,4.00,4.60,4.60,5.30,0.00,4.300,high,object,欧洲金属器,巴洛克白镴饮酒杯
172,B,5.635,5.90,4.60,6.50,5.90,5.90,0.00,5.600,medium,object,欧洲玻璃器,哥特彩色玻璃花卉残片
173,C,5.395,5.30,4.60,5.90,5.90,5.90,0.00,5.300,high,object,欧洲陶瓷,代尔夫特蓝白瓷砖组
174,C,5.180,5.30,5.30,5.30,5.90,4.60,0.00,4.250,high,object,日本陶艺,日本当代陶艺茶杯
175,C,5.375,4.60,5.30,6.50,7.50,4.60,0.00,3.400,high,object,美国艺术玻璃,乔希·辛普森小型星球玻璃弹珠
176,C,5.291,4.60,5.30,5.90,5.90,5.30,0.00,4.810,medium,object,当代混合媒介作品,当代贝壳混合媒介装置小品
177,B,6.020,5.90,5.90,5.90,6.50,7.00,0.00,4.550,high,object,汉克·威利斯·托马斯当代作品,汉克·威利斯·托马斯小幅版画
178,B,5.580,4.60,5.90,6.50,7.00,5.30,0.00,3.650,high,object,当代混合媒介作品,瓦莱丽·哈格蒂小型柜子习作
179,B,6.245,5.90,7.50,4.00,6.50,6.50,0.00,6.400,medium,object,殖民地个人小件与家用器,塞勒姆猎巫时代黄铜顶针
180,C,4.835,4.60,5.30,4.60,4.60,5.30,0.00,4.150,high,object,殖民地个人小件与家用器,18世纪银鞋扣
181,C,4.720,4.60,5.30,4.60,4.60,4.60,0.00,4.050,high,object,殖民地个人小件与家用器,雕花胡桃木鼻烟盒
182,B,5.727,5.30,6.50,5.30,5.90,5.90,0.00,4.770,high,object,外销扇,外销竹骨折扇
183,C,4.825,4.60,5.30,4.60,4.60,5.30,0.00,4.050,high,object,江户商业与生活木器,日本木制茶罐
184,C,4.966,4.60,5.30,4.60,4.60,5.90,0.00,4.560,high,object,朝鲜金属工艺,朝鲜家用铁锅
185,C,5.261,4.60,5.90,5.30,5.30,5.30,0.00,4.810,high,object,大洋洲个人饰物,波利尼西亚贝壳颈饰
186,C,5.207,4.60,5.90,4.60,5.30,5.90,0.00,4.420,high,object,捕鲸业日用器物,捕鲸船自制木雕餐具
187,B,6.002,5.30,6.50,5.90,5.90,6.50,0.00,5.720,high,object,19世纪旅行影像与版画,手工上色塞勒姆港石版画
188,C,4.910,5.30,4.60,4.60,4.60,5.30,0.00,5.250,medium,object,伊斯兰织物,萨法维花卉织物残片
189,C,4.970,5.30,4.60,4.60,4.60,5.90,0.00,4.950,medium,object,古地中海小型随葬品,伊特鲁里亚陶制还愿小造像
190,B,5.665,5.90,4.60,6.50,5.90,5.90,0.00,5.900,high,object,欧洲玻璃器,17世纪威尼斯玻璃高脚杯
191,C,5.030,4.60,5.30,5.30,5.90,4.60,0.00,4.150,high,object,美国民间木雕,美国民间木雕小动物
192,B,6.095,5.90,6.50,5.90,5.30,6.50,0.00,6.350,medium,object,中国文人清供,清代文人小供石
193,C,5.060,4.60,5.30,5.30,5.30,5.30,0.00,4.300,high,object,江户商业与生活木器,日本竹制花入
194,C,4.960,4.60,5.90,4.60,4.60,5.30,0.00,3.900,high,object,大洋洲编织品,毛利编织储物篮
195,B,5.812,5.30,7.00,4.60,5.30,6.50,0.00,5.420,high,object,塞勒姆航海个人遗物,塞勒姆船长黄铜私章
196,B,5.750,4.60,6.50,5.30,5.30,7.00,0.00,5.650,high,object,建筑记录图稿,荫余堂庭院微型水彩稿
