seq,名称,旧档,新档,旧 Core,新 Core,ΔCR,ΔHS,ΔIU,ΔVI,ΔVA,ΔCE,旧组,新组,新组件数,新组含新增展品,主因推断
86,"Fidelia Bridges, Floral Watercolor",B,C,6.16,4.68,-0.93,-0.7,-2.3,-1.4,-0.9,-2.2,美国花卉与植物题材绘画,美国植物题材纸本水彩,1,,阶段一换了打分者
89,"John Trumbull, Portrait Study",B,C,5.63,5.33,-0.13,-0.1,-0.3,-0.6,-0.2,-0.5,美国人物题材习作,美国历史人物油画习作,1,,阶段一换了打分者
90,"Georgia O’Keeffe, Leaf Study",B,C,6.32,5.43,-1.88,-0.4,-1.0,-1.0,-0.7,-0.8,美国花卉与植物题材绘画,美国自然题材油画,2,,阶段二：重新分组
96,Chippendale candle‑stand,B,C,5.75,5.07,-1.74,-0.3,-0.7,-0.5,-0.7,-0.6,新英格兰历史木家具,塞勒姆联邦时期木家具,2,,阶段一换了打分者
97,Paint‑decorated blanket chest,B,C,5.88,5.47,-0.43,0.2,-0.6,-0.9,-0.7,-0.1,新英格兰民间彩绘木作,新英格兰民间彩绘木家具,1,,阶段二：重新分组
98,"Samuel Maloof, small side stool",B,C,5.95,4.82,1.08,-0.7,-1.5,-1.8,-1.8,-1.2,美国现代工艺家具,美国现代工艺木家具,1,,阶段一换了打分者
107,Chinese export gouache insect‑and‑flower album leaf,B,C,6.35,5.28,-0.78,-1.0,-1.5,-1.3,-1.1,-0.4,中国外销水粉画,中国外销纸本水粉画,1,,阶段一换了打分者
134,Hawaiian carved wooden bowl,B,C,5.58,5.12,-0.97,-0.4,-0.7,-0.3,-0.2,-0.2,大洋洲雕刻木容器,大洋洲雕刻木器,5,,阶段一换了打分者
135,Hawaiian stone fishing sinker set,B,C,5.69,4.61,-1.84,-0.5,-1.7,-0.8,-1.0,-0.7,大洋洲石制工具,大洋洲石制工具与渔具,2,,阶段一换了打分者
137,Māori wooden food storage box,B,C,6.17,5.39,-1.49,0.0,-1.2,-0.9,-0.8,-0.5,大洋洲雕刻木容器,大洋洲雕刻木器,5,,阶段二：重新分组
141,Tongan woven basket,B,C,5.95,5.24,-0.86,-0.8,-0.9,-0.6,-0.6,-0.4,大洋洲植物纤维编织品,大洋洲植物纤维编织物,2,,阶段一换了打分者
142,New Hebrides spirit mask fragment,B,C,5.54,5.43,2.58,0.2,-0.8,-0.7,-0.2,-0.5,大洋洲仪式木雕,大洋洲仪式面具,1,,阶段一换了打分者
145,Scrimshaw walrus tusk small piece,B,C,5.56,5.45,0.16,0.0,0.5,-1.2,-0.8,0.3,海事牙骨雕刻,海事鲸捕与海象牙刻制品,1,,阶段一换了打分者
146,Whalebone bus‑k corset stay,B,C,5.6,4.43,-1.45,-1.4,-0.4,-1.1,-1.5,-1.7,捕鲸材料制日用器,海事鲸捕与鲸骨日用器物,1,,阶段一换了打分者
148,Lead ship’s sounding weight,B,C,5.55,5.46,0.61,-0.3,0.9,-0.8,-0.9,-0.4,航海仪器与船用工具,海事航海测量工具,1,,阶段一换了打分者
157,19th‑century travel album page,B,C,5.69,3.88,-0.18,-0.7,-3.3,-1.5,-2.1,-1.9,塞勒姆旅行摄影与相册,美国旅行纪念蛋白照片,1,,阶段一换了打分者
160,Mamluk brass inlaid small tray,B,C,5.61,5.25,-0.01,-0.2,-0.2,-0.7,-0.5,-0.6,伊斯兰金属器,伊斯兰嵌饰黄铜器,1,,阶段一换了打分者
173,Dutch delft blue‑and‑white tile group,B,C,5.95,4.8,-3.04,-0.3,-1.4,-0.2,-1.1,-1.6,欧洲装饰陶瓷,欧洲陶瓷餐具与装饰陶瓷,2,,阶段一换了打分者
175,Small Josh Simpson planet marble,B,C,6.12,4.78,-0.66,-1.2,-0.7,-1.5,-2.0,-2.2,当代艺术玻璃,当代艺术玻璃,2,,阶段一换了打分者
179,Salem witch‑trial era brass thimble,B,C,6.08,5.08,-0.81,-1.2,-0.8,-1.3,-0.6,-1.3,塞勒姆历史考古器物,塞勒姆殖民时期日用小件,1,,阶段一换了打分者
180,18th‑century shoe buckle silver,B,C,5.5,4.34,-0.18,-0.7,-1.8,-1.3,-1.2,-1.2,美国殖民时期银器,殖民时期银质个人饰品,1,,阶段一换了打分者
182,Chinese export bamboo folding fan,B,C,5.85,5.08,0.66,-0.3,-1.2,-1.7,-0.8,-0.7,中国外销扇,中国外销扇类,1,,阶段一换了打分者
185,Polynesian shell neck ornament,B,C,6.09,5.06,-0.94,-0.6,-1.3,-0.9,-1.1,-1.3,大洋洲贝壳首饰,波利尼西亚贝壳首饰,1,,阶段一换了打分者
189,Etruscan terracotta votive figurine,B,C,5.54,5.42,-0.51,0.8,0.0,-1.0,-0.7,0.2,古代地中海陶制还愿像,伊特鲁里亚陶制祭祀器物,1,,阶段一换了打分者
190,"Venetian glass drinking goblet, 17th‑century",B,C,5.61,5.1,-0.73,-0.2,-1.1,0.0,0.1,-0.9,威尼斯玻璃器皿,十七世纪意大利玻璃器皿,1,,阶段一换了打分者
31,Tahitian carved war club,B,A,7.03,7.46,0.84,1.0,0.2,0.5,0.1,0.1,大洋洲木雕,大洋洲木雕武器,1,,阶段一换了打分者
56,Salem witch‑trial period court document manuscript,B,A,7.02,7.75,0.24,1.6,1.1,-0.8,0.5,1.0,塞勒姆历史手稿文献,塞勒姆地方历史原始文献,1,,阶段一换了打分者
111,Anglo‑Indian sandalwood casket,C,B,5.48,5.62,0.32,0.3,-0.2,0.5,0.3,-0.2,印度外销镶嵌木作,南亚外销镶嵌木作,2,,阶段一换了打分者
128,"Hiroshige, miscellaneous station print",B,A,6.89,7.24,1.72,0.1,-0.1,0.6,0.4,0.2,日本浮世绘版画,日本浮世绘版画,3,,阶段二：重新分组
131,Joseon embroidered floral rank badge fragment,C,B,4.86,5.93,2.93,1.7,0.8,0.2,0.4,1.0,朝鲜王朝服饰刺绣,朝鲜王朝官服织物,1,,阶段一换了打分者
1,"Yin Yu Tang, Chinese Merchant House",S,S,9.55,9.85,0.1,-0.2,0.0,0.6,0.5,0.2,历史宅邸建筑,海外迁建中国历史建筑,1,,
2,"Nanban Byobu, Portuguese Trade Arrival Screen",S,S,9.24,9.06,-0.12,-0.1,-0.3,-0.2,0.1,-0.4,日本屏风画,日本南蛮贸易屏风画,1,,
3,Hawaiian Kū War God Figure,S,S,9.33,9.25,0.22,-0.2,-0.5,-0.3,0.0,0.7,大洋洲仪式木雕,夏威夷仪式木雕人像,1,,
6,"John Singleton Copley, Portrait of Sarah Erving Waldo",A,A,7.88,7.24,-0.74,0.1,-0.9,-0.8,-0.7,-0.9,美国殖民地肖像画,美国殖民地肖像油画,1,,
7,"Rush Figurehead, USS Frigate",S,S,9.08,9.15,-0.05,-0.7,-0.4,0.8,1.1,0.2,美国海事木雕,美国早期海军船首像,1,,
8,Chinese Export Mandarin Punch Bowl,A,A,8.71,8.45,-0.07,-1.2,0.3,-0.5,0.2,-0.3,中国外销瓷,中国外销纹章瓷,1,,
10,"Samuel McIntire, Gardner‑Pingree House architectural carvings",A,A,8.39,7.47,0.34,-1.5,-0.8,-1.2,-1.4,-0.7,塞勒姆联邦风格建筑木雕,塞勒姆联邦风格原位建筑木雕,1,,
12,Korean Joseon Governor Welcoming Banquet Screen,A,A,8.94,8.28,-0.06,-0.8,-1.0,-0.8,-0.4,-0.4,朝鲜王朝屏风画,朝鲜官署纪事屏风画,1,,
13,Maori War Treasure Jade Mere,A,A,8.04,7.65,-0.06,-0.4,-0.5,-0.4,-0.2,-0.6,大洋洲礼仪兵器,大洋洲玉石武器,1,,
17,"Samuel McIntire, carved fireplace surround",A,A,8.53,7.46,-1.25,-1.3,-1.1,-1.0,-0.7,-0.7,塞勒姆历史宅邸室内构件,塞勒姆联邦时期建筑木雕,1,,
19,"Josh Simpson, smaller planet glass orb",B,B,6.05,5.99,0.18,0.2,0.0,0.2,-0.2,-0.8,当代艺术玻璃,当代艺术玻璃,2,,
20,Chinese Export porcelain dinner service partial set,A,A,7.41,7.52,0.2,0.2,0.5,-0.2,-0.1,-0.2,东亚外销瓷,亚洲外销瓷,2,,
21,Japanese Arita blue‑and‑white charger plate,A,A,7.99,7.39,-0.74,-0.5,-0.8,-0.3,-0.1,-1.1,东亚外销瓷,亚洲外销瓷,2,,
22,Japanese netsuke rabbit by Naito Toyomasa,A,A,8.19,7.38,-0.07,-0.6,-1.0,-1.7,-0.3,-0.9,日本根付,日本根付,1,,
23,Edo period medicine‑shop kanban signboard,A,A,8.03,7.58,-0.31,-0.6,-0.6,0.0,-0.2,-0.8,日本商业招牌,江户商业招牌,1,,
26,"Hank Willis Thomas, Rich Black Specimen #460",A,A,7.49,7.61,0.67,0.4,-0.4,0.6,0.3,-0.4,美国当代雕塑与装置,美国当代观念雕塑,1,,
27,Salem ship portrait: “Friendship of Salem”,A,A,8.24,7.96,-0.31,-0.8,0.1,-0.2,-0.3,-0.2,美国船舶肖像画,塞勒姆海事船舶肖像画,2,,
28,Brass Pakistani Astrolabe,A,A,7.54,7.66,0.16,0.8,-0.6,0.2,0.2,0.2,航海与天文仪器,伊斯兰科学与航海仪器,1,,
29,"Valerie Hagerty, Shipwrecked Armoire with Barnacles",A,A,7.9,8.26,0.31,0.7,0.5,0.6,0.0,-0.2,美国当代雕塑与装置,海事主题当代家具雕塑,1,,
30,1803 ship‑wreck calendar stick,A,A,7.61,7.62,0.29,0.2,-0.4,0.3,0.1,-0.1,美国海事民俗器物,美国海事民俗器物,1,,
32,Fiji carved spirit figure,A,A,7.91,8.21,0.35,0.6,-0.1,0.5,0.2,0.5,大洋洲木雕,大洋洲祖灵木雕,1,,
33,New Zealand Māori carved treasure box (waka huia),A,A,7.97,8.41,0.06,0.8,0.0,0.7,0.8,0.3,大洋洲木雕,毛利雕刻珍宝盒,1,,
34,Chinese export gouache painting set of trades,A,A,7.51,8.01,0.57,0.6,0.8,0.3,0.6,-0.1,中国外销绘画,中国外销水粉画,1,,
36,Spilum portrait of Chinese merchant,A,A,8.24,7.73,-1.04,-0.5,-0.5,-0.2,-0.7,-0.3,中国外销绘画,中国外销肖像油画,2,,
39,Edo period noblewoman palanquin (onna norimono),A,A,8.43,8.44,-0.08,0.0,0.2,-0.2,0.0,0.0,日本漆艺仪仗与交通器,日本江户时代贵族生活与漆器器物,1,,
40,18‑century Japanese dragonfly‑design kabuto helmet,A,A,7.85,7.61,-0.62,0.0,-0.2,0.0,-0.7,-0.2,日本武具,日本武家甲胄与武具,1,,
41,Japanese ukiyo‑e complete Hokusai print set partial,A,A,7.38,7.34,-0.61,0.9,-0.4,-0.2,0.0,-0.2,日本浮世绘版画,日本江户时代浮世绘版画,2,,
42,Hiroshige Tokaido set partial,A,A,7.48,7.45,-1.2,0.8,-0.4,0.2,0.0,0.0,日本浮世绘版画,日本江户时代浮世绘版画,2,,
43,Joseon dynasty brass ritual incense burner,B,B,7.06,7.14,-0.01,0.1,0.2,0.0,-0.4,0.5,朝鲜传统金工,朝鲜王朝礼仪金工器,1,,
44,Nam June Paik small video‑art sculpture,A,A,7.67,7.65,0.5,0.0,0.4,-0.9,-0.3,0.1,韩国现当代艺术,韩国现代媒体艺术,1,,
45,American Federal mahogany sideboard,B,B,6.76,7.03,-0.58,0.4,0.4,0.4,0.2,0.4,新英格兰历史家具,塞勒姆与新英格兰联邦时期家具,2,,
46,Chippendale‑style Salem high‑boy chest,A,A,7.37,7.28,-1.08,0.0,0.0,0.1,-0.1,0.1,新英格兰历史家具,塞勒姆与新英格兰联邦时期家具,2,,
47,"Paint‑decorated grandfather clock, New England folk",A,A,7.42,7.36,-0.7,-0.1,0.1,0.3,-0.2,-0.1,新英格兰历史家具,新英格兰民间装饰艺术家具,1,,
48,Paul Revere silver creamer sugar bowl pair,A,A,7.55,7.33,-0.8,-0.1,0.1,-0.4,0.0,-0.6,美国殖民与联邦时期银器,美国殖民与联邦时期银器,1,,
49,Samuel McIntire carved sheaf‑of‑wheat motif fragment,B,B,5.87,6.63,0.51,1.6,0.9,0.4,0.6,0.1,塞勒姆建筑木雕构件,塞勒姆联邦时期建筑雕刻构件,1,,
50,Winslow Homer small watercolor coastal study,B,B,6.77,6.07,-0.07,1.1,-2.3,-0.6,-0.5,-1.2,美国海事水彩画,美国画家海岸题材水彩,1,,
51,John Trumbull preparatory sketch for revolution scene,B,B,6.36,6.24,-0.16,1.3,-1.2,-0.2,-0.4,0.2,美国历史题材油画与习作,美国历史画构图草稿,1,,
52,Martin Johnson Heade hummingbird small study,B,B,6.29,6.0,-0.89,1.1,-1.1,-0.1,-0.4,-0.5,美国花卉与自然题材油画,美国花卉与鸟类题材油画,2,,
53,Georgia O’Keeffe small floral painting,B,B,6.88,6.63,-0.41,1.3,-0.9,-0.6,-0.4,-0.6,美国花卉与自然题材油画,美国花卉与鸟类题材油画,2,,
57,Chinese export lacquer gaming table,A,A,7.73,7.23,-1.71,0.4,-0.7,-0.5,-0.3,-0.7,亚洲外销家具,亚洲外销家具,3,,
58,Japanese export lacquer writing desk,A,A,7.65,7.67,0.59,0.8,-0.5,0.1,-0.3,-0.3,亚洲外销家具,亚洲外销家具,3,,
59,Indian Vizagapatam ivory‑inlaid cabinet,A,A,8.02,7.44,-1.28,0.0,-1.1,0.0,-0.3,-0.9,亚洲外销家具,亚洲外销家具,3,,
60,Korean Joseon textile official rank badge,B,B,7.18,6.98,0.01,0.7,-0.9,-0.7,-0.2,0.1,朝鲜王朝服饰刺绣,东亚官服与身份标识织物,1,,
61,Hawaiian feather cape fragment,B,B,6.29,6.73,0.15,1.5,0.5,-0.5,0.5,0.0,大洋洲羽毛与纤维艺术,夏威夷羽毛礼仪织物,1,,
63,Tonga carved wooden drinking bowl,B,B,6.77,6.33,0.58,-0.5,-1.0,0.0,-0.5,-0.5,大洋洲仪式木雕,大洋洲仪式木雕器皿,1,,
64,"New Britain mask, Melanesia",A,A,8.06,7.66,-0.21,-0.5,-0.5,0.0,0.0,-1.0,大洋洲仪式木雕,美拉尼西亚仪式面具,1,,
67,Edo period samurai yoroi partial armor set,B,B,6.89,6.41,0.98,0.5,-1.5,0.0,-0.5,-1.5,日本武具,日本武士甲胄,1,,
68,Japanese ceramic tea‑ceremony bowl (chawan),B,B,6.62,6.01,-0.5,-0.5,-1.5,0.0,0.0,-0.5,日本茶道陶瓷,日本茶道陶瓷,1,,
69,Rajput hunting miniature,B,B,6.28,5.59,-0.41,-0.5,-1.0,-0.5,-0.5,-1.0,南亚宫廷细密画,印度拉杰普特细密画,1,,
70,Persian Qajar painted tile panel,B,B,6.42,6.03,0.1,-0.5,0.0,0.0,-1.0,-1.0,伊朗釉陶与建筑陶砖,卡扎尔波斯彩绘陶砖,1,,
72,Ship‑model of Salem trading brig “Cleopatra”,A,A,8.17,8.42,-0.53,0.5,0.5,0.0,0.0,0.5,塞勒姆商船船模,塞勒姆海事船模,1,,
73,18th‑century American whale‑oil lamp,B,B,6.26,6.42,0.07,-0.1,0.7,-0.1,0.2,-0.1,新英格兰海事生活器物,美国新英格兰海事生活器物,1,,
76,Salem sampler needlework girl’s schoolwork,B,B,6.38,6.47,0.44,-0.2,0.5,0.2,-0.1,-0.3,新英格兰刺绣样本,新英格兰女性针绣样本,1,,
78,Samoan fine woven ceremonial mat,A,A,7.62,7.93,0.06,0.1,0.4,0.5,1.1,-0.4,大洋洲植物纤维仪式织物,大洋洲仪式编织席,1,,
79,Joseon dynasty brass temple bell fragment,B,B,6.0,6.28,-0.26,1.1,0.1,-0.5,0.5,0.4,韩国佛教金属器,朝鲜王朝佛教金属器,1,,
80,American folk carved weather‑vane figure,B,B,6.56,6.4,-0.29,-0.2,-0.4,0.5,0.1,-0.6,新英格兰民间木雕,新英格兰民俗木雕,1,,
81,"Fitz Henry Lane, Small Coastal Sketch",B,B,6.61,6.63,0.07,0.3,0.3,-0.9,-0.2,0.3,美国海事风景画,美国艺术油画习作,2,,
82,"Robert Feke, Portrait of Gentleman",B,B,6.47,5.69,-0.35,-0.8,-0.8,-0.5,-1.2,-0.9,美国殖民时期油画肖像,美国殖民时期肖像画,1,,
83,"John Singleton Copley, Portrait Miniature",B,B,6.91,6.76,0.02,0.6,-0.3,-1.2,0.2,-0.3,美国肖像细密画,美国早期肖像细密画,1,,
84,"Childe Hassam, Flower Garden Study",B,B,6.59,6.08,-1.62,0.2,-0.7,0.0,-1.0,-0.4,美国印象派油画,美国艺术油画习作,2,,
87,"J.O.J. Frost, Fisherman’s Cottage Scene",B,B,6.65,5.99,-0.63,-0.7,-1.4,-0.3,-0.2,-0.2,新英格兰地方民间绘画,塞勒姆地方生活题材绘画,1,,
88,"Winslow Homer, Figure Sketch",C,C,5.08,5.23,0.92,0.8,0.1,-0.7,0.2,-0.3,美国人物题材习作,美国人物题材纸本速写,1,,
91,"Samuel McIntire, Door‑frame carving fragment",B,B,6.17,6.84,0.14,1.1,0.8,0.8,0.5,0.3,塞勒姆联邦时期建筑木雕构件,塞勒姆新古典主义建筑木雕,2,,
92,"Samuel McIntire, urn‑motif decorative trim",B,B,6.13,5.83,-0.9,0.2,-0.1,-0.1,-0.8,-0.6,塞勒姆联邦时期建筑木雕构件,塞勒姆新古典主义建筑木雕,2,,
93,"Paul Revere, Silver Teaspoon Set",B,B,6.29,6.15,-0.15,0.1,0.2,-0.5,-0.5,-0.3,新英格兰历史银器,保罗·里维尔银器,2,,
94,"Paul Revere, Silver Salt Cellar",B,B,6.25,5.54,-2.04,-0.2,-0.2,-1.3,-0.9,-0.6,新英格兰历史银器,保罗·里维尔银器,2,,
95,Salem Federal‑era mahogany card table,B,B,6.61,6.53,-0.7,0.1,-0.3,0.3,0.0,0.0,新英格兰历史木家具,塞勒姆联邦时期木家具,2,,
99,Tiffany favrile glass tumbler,B,B,6.23,6.02,-0.45,0.4,-0.5,-0.5,-0.4,0.1,美国艺术玻璃,美国艺术玻璃器,1,,
100,American brass and iron andiron pair,C,C,5.23,4.57,0.38,-0.2,-1.0,-1.0,-0.9,-0.8,美国壁炉金工,美国联邦时期黄铜铁制壁炉器具,1,,
101,"Salem girl’s needlework sampler, 1792",B,B,6.54,5.94,-0.51,-0.3,-0.8,-0.8,-1.1,0.0,新英格兰刺绣样本,新英格兰刺绣样本,1,,
102,Folk carved wooden eagle finial,C,C,5.04,3.52,-0.57,-0.9,-1.7,-2.2,-2.2,-1.3,新英格兰民间彩绘木作,新英格兰民间彩绘木装饰件,1,,
103,Chinese Canton export rose medallion plate,B,B,6.24,5.93,-0.41,0.0,-0.5,-0.3,-0.1,-0.6,中国外销瓷,中国广彩外销瓷器,2,,
104,Chinese Canton export porcelain teacup saucer group,B,B,6.47,6.33,-0.41,-0.1,-0.6,-0.4,0.7,0.2,中国外销瓷,中国广彩外销瓷器,2,,
105,"Chinese export silver spoon set, Forbes collection",B,B,6.64,6.07,-1.99,-0.4,-0.1,-1.0,-0.9,0.1,中国外销银器,中国外销银器,2,是,
106,Chinese export lacquer sewing box,B,B,6.78,6.28,-0.59,-0.3,-0.8,-0.7,-0.6,0.1,中国外销漆器,中国外销漆器,1,,
108,Chinese reverse glass portrait of merchant’s wife,B,B,6.7,5.88,-2.49,-0.3,-0.8,-0.7,-0.5,-0.9,中国外销玻璃背画,中国外销玻璃背画,2,,
109,Chinese ivory export figurine of lady,B,B,5.74,5.96,0.31,0.3,0.7,-0.2,-0.4,0.3,亚洲外销象牙雕,亚洲外销象牙雕,4,,
110,Chinese ivory puzzle ball small size,B,B,6.6,6.59,0.16,0.2,0.2,-0.6,-0.1,-0.1,亚洲外销象牙雕,亚洲外销象牙雕,4,,
112,Indian Vizagapatam small writing box,B,B,6.39,6.56,0.03,0.5,0.2,0.0,-0.1,0.2,印度外销镶嵌木作,南亚外销镶嵌木作,2,,
113,Mughal ivory small animal group,C,C,5.41,5.48,-0.92,0.6,0.1,0.3,0.1,-0.3,亚洲外销象牙雕,亚洲外销象牙雕,4,,
114,Mughal miniature portrait of court attendant,B,B,6.09,6.46,-0.6,0.2,0.8,0.7,0.3,0.3,印度纸本细密画,南亚细密画,2,,
115,Rajput landscape miniature,B,B,5.79,6.1,-0.6,0.2,0.7,0.6,0.2,0.3,印度纸本细密画,南亚细密画,2,,
116,Sinhalese carved ivory hair ornament,B,B,6.41,6.27,-0.89,0.3,-0.2,0.1,0.0,-0.5,亚洲外销象牙雕,亚洲外销象牙雕,4,,
117,Japanese Arita blue‑and‑white small vase,B,B,5.91,6.35,-0.48,0.8,0.5,0.8,0.3,0.2,日本外销瓷器,日本外销瓷器,2,,
118,Japanese Imari covered bowl,B,B,6.37,6.69,-0.65,0.5,0.3,0.7,0.7,0.0,日本外销瓷器,日本外销瓷器,2,,
119,Japanese lacquer export small cabinet drawer unit,B,B,6.78,6.58,-0.51,0.1,-0.2,-0.1,-0.6,-0.1,日本外销漆器,日本外销漆器,2,,
120,Japanese export lacquer writing box,B,B,6.25,6.42,-1.02,0.5,0.2,0.5,0.0,0.3,日本外销漆器,日本外销漆器,2,,
121,"Netsuke rat, signed Edo work",B,B,6.16,6.79,1.9,0.9,0.7,0.1,0.2,0.3,日本根付,日本江户根付,2,,
122,"Netsuke tortoise, unsigned",B,B,5.95,5.72,-0.77,-0.2,0.1,-0.1,-0.1,-0.7,日本根付,日本江户根付,2,,
123,Edo period wooden medicine box,B,B,5.63,5.65,-0.35,0.2,0.4,0.1,-0.6,-0.1,日本江户日用木器,日本江户民用木器,1,,
124,Edo bronze censer with floral relief,B,B,5.81,6.02,0.42,0.4,0.2,0.4,0.0,-0.2,日本江户日用金工,日本江户青铜器,1,,
125,Edo period iron tea‑kettle tetsubin,B,B,5.76,5.99,-0.17,0.5,0.3,0.3,0.1,0.1,日本江户日用金工,日本江户饮茶器,1,,
126,"Ukiyo‑e beauty print, minor artist",B,B,6.23,6.22,-1.99,0.5,-0.1,0.5,0.4,-0.1,日本浮世绘版画,日本浮世绘版画,3,,
127,Katsushika Hokusai miscellaneous sketch print,B,B,6.47,6.64,0.71,0.1,-0.3,0.8,0.4,-0.2,日本浮世绘版画,日本浮世绘版画,3,,
129,Joseon dynasty white porcelain bottle,B,B,6.45,6.23,-2.37,0.0,0.0,0.1,0.5,-0.5,朝鲜王朝陶瓷,朝鲜王朝陶瓷,2,,
130,Joseon celadon small bowl,B,B,5.91,6.29,0.61,0.7,0.4,0.2,0.4,-0.1,朝鲜王朝陶瓷,朝鲜王朝陶瓷,2,,
132,Joseon bronze hand‑mirror,B,B,5.68,5.66,-0.26,0.1,0.3,-0.3,-0.2,-0.1,朝鲜王朝青铜器,朝鲜王朝青铜日用器,1,,
133,Nam June Paik small TV‑object study,B,B,5.88,5.68,0.44,0.6,0.1,-1.3,-0.8,-0.5,韩国当代影像与综合媒介艺术,韩国当代媒介艺术,1,,
136,Hawaii woven mat fragment,B,B,5.94,5.55,-0.45,-0.4,-0.1,-1.2,-0.7,0.3,大洋洲植物纤维编织品,大洋洲植物纤维编织物,2,,
138,Māori stone adze implement,B,B,6.16,5.52,-1.0,-0.1,-1.1,-0.3,-0.5,-0.8,大洋洲石制工具,大洋洲石制工具与渔具,2,,
