seq,名称EN,名称CN,当前Tier,Core,完备度,Tier可信度,潜在区间,研究优先级,需复核,复核原因,去推断后仍成立,最关键缺失证据,建议研究问题,缺失证据全部,12项判定
11,La Japonaise,和服女子,A,9.002,35.4,high,A,2.90,是,现有cultural_context=日本把日本主义题材误作作品文化归属，与莫奈作者及印象派展厅语境冲突。,否,MFA对象记录对作者、日期及文化语境字段的核对。,MFA官方对象记录如何著录《和服女子》的作者、日期与文化语境，莫奈专题图录和日本主义研究又如何界定其生涯位置与题材性质？,需以MFA对象记录核对作者、日期和登录号，并区分作品文化归属与日本主义题材标签。；缺莫奈专题图录对该作在其人物画和创作生涯中位置的评价。；缺日本主义研究对和服、扇面背景及文化表演语境的直接引证。；缺与MFA其他莫奈作品在展示频率和馆藏功能上的比较。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
12,Postman Joseph Roulin,邮差约瑟夫·鲁林,A,8.667,50.0,high,A,3.25,,,否,该馆藏本在鲁林肖像系列中的版本与次序。,MFA登录号35.1982对应鲁林肖像系列中的哪一专题目录条目和创作次序，其与其他馆藏版本在日期、构图及保存质量上有何差异？,缺该馆藏本在鲁林肖像系列中的具体版本、次序及关联作品信息。；缺梵高专题图录对该作在阿尔勒肖像及艺术家生涯中的评价。；缺鲁林肖像系列的存世数量、馆藏分布及版本质量比较。；缺完整来源、入藏经过及与MFA其他梵高作品的馆内比较。,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
13,"Lullaby, Madame Augustine Roulin Rocking a Cradle",摇摇篮的鲁林夫人,A,8.329,44.8,high,A,3.57,,,否,缺梵高作品总目录对本件F/JH编号、版本次序及系列位置的说明,MFA藏品号48.548在现行梵高作品目录中的F/JH编号、创作次序和《摇篮曲》各版本比较评价分别是什么？,缺MFA官方记录对藏品号48.548、现行题名、年代、媒材和作者的核实；缺梵高作品总目录对本件F/JH编号、版本次序及系列位置的说明；缺本件完整流传、展览及MFA入藏记录；缺本件与MFA其他梵高及后印象派作品的馆藏地位比较,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
14,Water Lilies,睡莲,A,8.425,44.8,low,B–S,5.52,是,通名尚不能唯一定位对象，而尺寸、序列阶段和馆内地位正是当前Tier的重要依据。,否,缺MFA官方记录中的准确题名、藏品号、年代、尺寸和媒材，以确定具体是哪件《睡莲》,MFA所列这件《睡莲》的藏品号、年代、尺寸和作品总目录编号是什么，它是否被馆方列为莫奈收藏精选或长期重点展品？,缺MFA官方记录中的准确题名、藏品号、年代、尺寸和媒材，以确定具体是哪件《睡莲》；缺莫奈作品总目录编号及本件在《睡莲》序列中的阶段和版本定位；缺作品图像、实测尺寸及展陈记录以核验“沉浸性”论断；缺本件的流传、展览与MFA入藏记录；缺本件与MFA其他莫奈作品在品质、展示频率和馆藏地位上的比较,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
15,Little Dancer of Fourteen Years,十四岁的小舞者,A,7.899,44.8,high,A,2.15,,,否,缺MFA官方记录中的藏品号、铸造年代、尺寸、材质和铸造厂,MFA这件《十四岁的小舞者》的藏品号、铸造厂、铸造批次和授权依据是什么，它在德加青铜版目录中对应哪一条？,缺MFA官方记录中的藏品号、铸造年代、尺寸、材质和铸造厂；缺权威资料对本件与原蜡像及1881年生前展出作品关系的说明；缺青铜铸本总数、批次、序号及授权体系资料；缺本件的流传、入藏及展览记录；缺本件在MFA欧洲雕塑收藏中的馆藏地位说明,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
16,Copy of Zhang Xuan’s Court Ladies Preparing Newly‑Woven Silk,捣练图（宋徽宗摹本）,S,9.306,44.8,low,B–S,5.52,是,宋代断代、宋徽宗归属和摹本性质均直接支撑当前S级，现有资料没有权威来源。,否,缺最新学术研究对宋徽宗归属、宋代断代及与张萱原作关系的判断,MFA现行记录及近二十年权威图录将《捣练图》断为哪个时期，是否仍归宋徽宗，并如何界定它与张萱原作的关系？,缺MFA官方记录中的藏品号、现行断代、作者归属、材质和尺寸；缺最新学术研究对宋徽宗归属、宋代断代及与张萱原作关系的判断；缺印鉴、题跋、装裱和历代著录中可用于检验断代与摹本性质的证据；缺相关摹本和衍生图像的存世清单及比较评价；缺MFA官方或权威图录确认本卷为中国绘画核心馆藏的材料,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
17,Dragon Scroll by Chen Rong,九龙图卷,S,9.586,44.8,high,S,1.10,,,否,缺MFA官方记录中的藏品号、现行断代、作者归属、材质和尺寸,MFA现行记录如何著录《九龙图卷》的藏品号、断代和陈容归属，最新权威图录是否明确将其列为馆藏代表作？,缺MFA官方记录中的藏品号、现行断代、作者归属、材质和尺寸；缺题跋、印鉴、历代著录、流传及MFA入藏链条的完整研究；缺支持陈容归属的款识、笔墨和技术研究汇总；缺公认陈容龙图作品的存世清单及本卷比较评价；缺MFA官方或权威图录对本卷标志性馆藏地位的明确说明,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
18,Ramses II Colossal Statue,拉美西斯二世花岗岩巨像,A,8.974,40.5,low,B–S,5.95,是,具体对象和发掘语境都未被权威记录确认，而二者正是当前Tier的主要依据。,否,缺哈佛—MFA发掘档案中的遗址、探方、出土位置、田野编号和发现日期,MFA所称拉美西斯二世花岗岩巨像的藏品号、实测尺寸和田野编号是什么，哈佛—MFA档案将其定位于哪处遗址及哪座原建筑？,缺MFA官方记录中的藏品号、准确王名、年代、尺寸、完整度及修复情况；缺哈佛—MFA发掘档案中的遗址、探方、出土位置、田野编号和发现日期；缺巨像原属建筑、纪念性布局及重建依据；缺与MFA及其他机构拉美西斯二世巨像的尺度、品质和稀缺性比较；缺发掘品分配、运输及正式入藏记录,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=none
19,Apollo of Mantiklos,曼提克洛斯阿波罗,A,7.886,44.8,high,A,2.11,,,否,缺奉献铭文原文、释读、翻译、字形断代及争议综述,MFA现行记录及最新铭文学研究如何转写和翻译曼提克洛斯铭文，并如何判断人物是否为阿波罗及曼提克洛斯的身份？,缺MFA官方记录中的藏品号、年代、尺寸、材质分析和现行名称；缺奉献铭文原文、释读、翻译、字形断代及争议综述；缺“阿波罗”身份及曼提克洛斯是奉献者还是制作者的权威研究；缺发现地点、早期流传及MFA入藏记录；缺同期有铭文青铜奉献像的存世数量与比较评价,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
20,Parakeets and Gold Fish Bowl,鹦鹉与金鱼缸,A,8.463,35.5,medium,B–A,4.69,是,蒂芙尼设计与制造归属尚未官核，而这一归属及原始建筑语境会直接影响当前Tier。,否,缺MFA官方记录中的藏品号、年代、设计者与制造商归属,MFA官方记录把《鹦鹉与金鱼缸》的设计与制造分别归给谁，其原始委托建筑和安装房间为何，并如何评价它在蒂芙尼窗中的地位？,缺MFA官方记录中的藏品号、年代、设计者与制造商归属；缺原始委托人、安装建筑、房间位置及拆移历史；缺本件在蒂芙尼彩色玻璃作品及MFA美国装饰艺术中的比较地位；缺玻璃种类、制作技术、修复及保存状态资料；缺本件后续流传与MFA正式入藏记录,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=none
21,Portrait of Paul Revere,保罗·里维尔肖像,S,9.193,44.8,high,S,2.46,,,否,缺MFA将本件列入馆藏精选、固定导览或核心教育材料的记录,MFA是否在馆藏精选、常设导览和美国艺术教育材料中持续突出《保罗·里维尔肖像》，其官方作品页如何解释银匠劳动形象？,缺MFA官方记录中的藏品号、创作年代、尺寸、签名和技术资料；缺委托背景、早期所有者、完整流传及MFA入藏记录；缺权威研究对银匠形象、殖民社会及革命记忆的作品级分析；缺本件与MFA其他科普利及殖民时期肖像的比较研究；缺MFA将本件列入馆藏精选、固定导览或核心教育材料的记录,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
22,Haystack at Sunset,干草堆·日落,A,8.834,44.8,high,A,3.03,,,否,缺莫奈作品总目录编号及本件在干草堆系列中的创作顺序、季节和光照定位,MFA这件《干草堆·日落》的藏品号和作品总目录编号是什么，它在干草堆系列的创作顺序、季节与光照组别中处于何处？,缺MFA官方记录中的原文题名、藏品号、年代、尺寸和媒材；缺莫奈作品总目录编号及本件在干草堆系列中的创作顺序、季节和光照定位；缺本件与其他干草堆版本在品质、稀缺性和学术关注度上的比较；缺本件的流传、展览与MFA入藏记录；缺本件与MFA其他莫奈作品在展示频率和馆藏地位上的比较,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
23,Psyche,普赛克,A,7.230,35.5,low,C–A,4.84,是,作品类型、版本关系和实际作者均未确认，而当前Tier接近边界，这些答案可能导致显著变化。,否,缺权威资料说明本件是独立构图、大型作品片段还是既有模型版本,MFA这件《普赛克》的藏品号及罗丹作品目录条目是什么，它究竟是独立构图、较大作品片段还是既有模型版本，实际执刀者是谁？,缺MFA官方记录中的完整题名、藏品号、年代、尺寸及署名方式；缺权威资料说明本件是独立构图、大型作品片段还是既有模型版本；缺大理石实际雕刻者、工作室参与方式及罗丹授权情况；缺其他《普赛克》或相关构图版本的数量、材质和比较评价；缺本件的委托、流传及MFA入藏记录,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=none
24,Head of Tutankhamun,图坦卡蒙头像,A,8.211,35.5,low,C–A,4.84,是,图坦卡蒙身份尚无证据支撑，而这一归属直接决定作品的历史意义与公众吸引力。,否,缺将头像识别为图坦卡蒙的铭文、出土语境、肖像学或风格学依据,MFA用哪些铭文、出土记录、肖像学或风格学证据把这件砂岩头像识别为图坦卡蒙，它与哪些公认肖像进行了比较？,缺MFA官方记录中的藏品号、准确年代、尺寸、完整度及修复信息；缺将头像识别为图坦卡蒙的铭文、出土语境、肖像学或风格学依据；缺发现地点、田野编号、发掘经过、分配及MFA入藏记录；缺头像原属雕像类型、原始尺度及可能建筑语境的重建研究；缺与公认图坦卡蒙肖像及MFA其他王室头像的比较评价,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=none
25,"Aphrodite, “Boston Aphrodite”",波士顿阿芙洛狄忒,A,7.826,44.8,medium,B–A,2.90,是,原型归类、保存质量和同型比较均是当前层级的主要依据，答案不同可能使层级下移。,否,缺古典雕塑图录对其希腊原型、罗马复制类型及保存完整度的论证。,MFA古典雕塑图录如何断代并归类“Boston Aphrodite”，其完整度与雕刻质量在同型罗马摹本中处于何种位置？,缺MFA官方记录确认“Boston Aphrodite”的登录号、断代及馆藏身份。；缺古典雕塑图录对其希腊原型、罗马复制类型及保存完整度的论证。；缺同型阿芙洛狄忒的存世数量及与主要实例的质量比较。；缺可靠的旧藏与MFA入藏经过。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
26,Five‑Coloured Parrot Scroll,五色鹦鹉图卷,S,9.243,44.8,medium,A–S,3.86,是,宋徽宗归属与世界级稀缺性是当前最高层级的核心依据，鉴定结论不同可能使层级下降。,否,缺权威宋画研究对题跋、印鉴、绢本年代及宋徽宗归属层级的结论。,MFA馆藏记录及权威宋画图录将《五色鹦鹉图卷》标为宋徽宗真迹、归属作还是传承作？其在公认徽宗花鸟画存世作品中处于何种位置？,缺MFA官方记录确认登录号、年代、材质及当前作者归属措辞。；缺权威宋画研究对题跋、印鉴、绢本年代及宋徽宗归属层级的结论。；缺公认宋徽宗花鸟画存世清单及本卷与其比较。；缺MFA在代表作、重点出版与展览中如何定位本卷的证据。；缺可靠的旧藏及MFA入藏经过。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
27,Boys in a Pasture,牧场少年,A,8.240,50.0,medium,B–A,2.97,是,作品身份稳定，但其在霍默生涯及MFA馆内的相对地位决定当前层级能否成立。,否,缺其与MFA《雾的警告》等霍默作品在质量、展览频率及馆藏地位上的比较。,霍默作品全集如何定位1874年的《牧场少年》，MFA又是否在代表作、常设展及出版物中将其置于《雾的警告》等馆藏霍默作品之前或同列？,缺霍默作品全集或学术专著对《牧场少年》创作阶段与生涯位置的说明。；缺其与MFA《雾的警告》等霍默作品在质量、展览频率及馆藏地位上的比较。；缺可靠的旧藏及MFA入藏记录。；缺尺寸、保存状态及技术检查资料。,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
28,Madame Monet and Her Son,莫奈夫人与她的儿子,A,8.245,37.0,low,C–A,4.73,是,对象身份、作者与MFA馆藏归属均未确认，并有同名馆藏混淆线索，足以改变当前层级。,否,缺MFA官方记录确认是否收藏该题名对象及其登录号、作者、年代和图像。,MFA藏品库是否存在题为《莫奈夫人与她的儿子》的对象，其作者和登录号为何？该对象与华盛顿所藏同名作品的图像、尺寸及来源是否相同？,缺MFA官方记录确认是否收藏该题名对象及其登录号、作者、年代和图像。；缺与华盛顿所藏同名作品在作者、构图、尺寸、来源及登录信息上的逐项核对。；若MFA确有独立对象，缺作品全集对其身份及创作生涯位置的著录。；缺可靠的旧藏与MFA入藏经过。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=none category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
29,Cupid and Psyche,丘比特与普赛克,A,8.200,37.0,low,C–A,4.73,是,“完整统一组套”是当前层级的主要依据，但该事实尚未得到记录或学术图录确认。,否,缺学术图录确认各陶板是否属于原始、同时制作且完整的统一序列。,MFA欧洲装饰艺术图录是否将这些陶板著录为同一作坊同时制作的原始完整组套？现存可比较的完整《丘比特与普赛克》马约利卡组套还有多少？,缺MFA记录确认登录号、陶板数量、尺寸、年代、作坊及现有装配方式。；缺学术图录确认各陶板是否属于原始、同时制作且完整的统一序列。；缺其他完整《丘比特与普赛克》马约利卡组套的存世数量与质量比较。；缺旧藏、拆分和重组历史，以判断现有序列的真实性与完整性。；缺MFA具体入藏日期与捐赠或购藏信息。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=none category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
30,Appeal to the Great Spirit,向伟大之灵祈祷,S,8.897,48.5,medium,A–S,3.60,是,长期入口地标与机构象征地位是当前最高层级的核心依据，若档案和馆方传播不支持，层级可能下降。,否,缺MFA官方出版物、导览或品牌传播将其作为机构象征的证据。,MFA档案记录该雕塑何时被安置或迁至入口庭院？MFA官网、导览、年报及品牌材料是否持续将其作为博物馆地标或机构象征？,缺MFA档案确认其入口或庭院安装时间、迁移历史及与景观轴线的关系。；缺MFA官方出版物、导览或品牌传播将其作为机构象征的证据。；缺馆方确认13.380的铸造日期、尺寸、铸本序次及入藏经过。；缺其他铸本数量与分布记录。；缺关于其原住民再现问题的学术接受史。,basic_identification=full date_period=partial maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=partial
31,The Seine at Argenteuil,阿让特伊的塞纳河,A,7.902,44.8,low,C–A,4.14,是,具体版本与MFA馆藏身份尚未锁定，而版本质量及馆内重复度直接影响当前层级。,否,缺莫奈作品全集编号，以锁定具体的阿让特伊河景版本。,MFA藏品库中哪一件作品对应《阿让特伊的塞纳河》，其登录号和莫奈作品全集编号为何？它与馆内其他阿让特伊河景相比被如何定位？,缺MFA记录确认登录号、标准题名、作者、日期、尺寸与图像。；缺莫奈作品全集编号，以锁定具体的阿让特伊河景版本。；缺该版本与MFA其他阿让特伊河景及莫奈水景的馆内比较。；缺可靠的旧藏、入藏、展览及出版记录。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
32,The Bridge at Argenteuil,阿让特伊大桥,A,8.544,44.8,low,C–A,4.14,是,同名版本尚未辨明，具体作品身份和馆内定位不同均可能改变当前层级。,否,缺莫奈作品全集编号，以确认MFA所藏是否为题述构图。,MFA所藏《阿让特伊大桥》的登录号与莫奈作品全集编号为何？其构图是否与其他博物馆的同名版本相同，馆方又如何评价该版本？,缺MFA记录确认登录号、创作日期、尺寸、图像及标准作者信息。；缺莫奈作品全集编号，以确认MFA所藏是否为题述构图。；缺各馆同名《阿让特伊大桥》版本的构图、年代与重要性比较。；缺该版本在MFA莫奈收藏中的展览、出版及馆方定位。；缺可靠的旧藏和MFA入藏经过。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
33,The Yellow Christ,黄色基督,A,9.237,24.0,low,C–S,7.60,是,本条将作品列为MFA对象，但既有资料同时指出公认原作属Buffalo AKG，构成明显馆藏归属冲突。,否,缺MFA藏品库确认是否存在高更《黄色基督》及其登录号、状态和图像。,MFA藏品库是否存在高更《黄色基督》或相关习作、复制品、借展品？其图像、尺寸和登录信息与Buffalo AKG的公认原作是否一致？,缺MFA藏品库确认是否存在高更《黄色基督》及其登录号、状态和图像。；缺与Buffalo AKG同名作品的登录号、图像、尺寸及来源逐项核对。；若MFA对象为习作、复制品或借展品，缺其与公认原作的关系说明。；缺任何MFA入藏、借展、展览或出版记录。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=none category_representativeness=none cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
