# mfa_boston_ext 的 metadata 取值译名表
# kind 固定 meta_value_text；key 与 zh 都是抽出来的中文原值
# confidence：官方=通行既定译名 / AI=机器翻译 / 存疑=拿不准，优先人工复核
# **人名一栏是回译不是翻译**：拿不准就留中文并标存疑，
#   造一个不存在的拼写（沙金 -> Shajin）比留着中文更糟。
kind,key,zh,en,confidence,used_by
meta_value_text,Art of Europe 欧洲艺术（后印象派）,Art of Europe 欧洲艺术（后印象派）,Art of Europe (Post-Impressionism),AI,gallery_official
meta_value_text,Art of Europe 欧洲艺术（意大利文艺复兴）,Art of Europe 欧洲艺术（意大利文艺复兴）,Art of Europe (Italian Renaissance),AI,gallery_official
meta_value_text,Art of Europe 欧洲艺术（意大利绘画）,Art of Europe 欧洲艺术（意大利绘画）,Art of Europe (Italian Painting),AI,gallery_official
meta_value_text,Art of Europe 欧洲艺术（欧洲手抄本）,Art of Europe 欧洲艺术（欧洲手抄本）,Art of Europe (European Manuscripts),AI,gallery_official
meta_value_text,Art of Europe 欧洲艺术（欧洲绘画精选）,Art of Europe 欧洲艺术（欧洲绘画精选）,Art of Europe (Highlights of European Painting),AI,gallery_official
meta_value_text,Art of Europe 欧洲艺术（欧洲雕塑）,Art of Europe 欧洲艺术（欧洲雕塑）,Art of Europe (European Sculpture),AI,gallery_official
meta_value_text,Art of Europe 欧洲艺术（法国绘画）,Art of Europe 欧洲艺术（法国绘画）,Art of Europe (French Painting),AI,gallery_official
meta_value_text,Art of Europe 欧洲艺术（英国绘画）,Art of Europe 欧洲艺术（英国绘画）,Art of Europe (British Painting),AI,gallery_official
meta_value_text,Art of Europe 欧洲艺术（荷兰与佛兰德斯绘画）,Art of Europe 欧洲艺术（荷兰与佛兰德斯绘画）,Art of Europe (Dutch and Flemish Painting),AI,gallery_official
meta_value_text,Art of Europe 欧洲艺术（荷兰装饰艺术）,Art of Europe 欧洲艺术（荷兰装饰艺术）,Art of Europe (Dutch Decorative Arts),AI,gallery_official
meta_value_text,Art of Europe 欧洲艺术（西班牙绘画）,Art of Europe 欧洲艺术（西班牙绘画）,Art of Europe (Spanish Painting),AI,gallery_official
meta_value_text,Art of the Americas Wing — Artists of African Descent 非裔艺术家专题,Art of the Americas Wing — Artists of African Descent 非裔艺术家专题,Art of the Americas Wing — Artists of African Descent,官方,gallery_official
meta_value_text,Art of the Americas Wing — Boston Artists 波士顿画家专题,Art of the Americas Wing — Boston Artists 波士顿画家专题,Art of the Americas Wing — Boston Artists,官方,gallery_official
meta_value_text,Art of the Americas Wing — Colonial Latin American Art 殖民地拉美艺术,Art of the Americas Wing — Colonial Latin American Art 殖民地拉美艺术,Art of the Americas Wing — Colonial Latin American Art,官方,gallery_official
meta_value_text,Art of the Americas Wing — Folk Art of the Americas 美洲民间艺术专题,Art of the Americas Wing — Folk Art of the Americas 美洲民间艺术专题,Art of the Americas Wing — Folk Art of the Americas,官方,gallery_official
meta_value_text,Art of the Americas Wing — Sculpture of the Americas 美洲雕塑专题,Art of the Americas Wing — Sculpture of the Americas 美洲雕塑专题,Art of the Americas Wing — Sculpture of the Americas,官方,gallery_official
meta_value_text,Art of the Americas Wing 美洲艺术翼（Colonial Latin American Art）,Art of the Americas Wing 美洲艺术翼（Colonial Latin American Art）,Art of the Americas Wing Art of the Americas Wing (Colonial Latin American Art),AI,gallery_official
meta_value_text,Art of the Americas Wing 美洲艺术翼（Decorative Arts of the Americas）,Art of the Americas Wing 美洲艺术翼（Decorative Arts of the Americas）,Art of the Americas Wing Art of the Americas Wing (Decorative Arts of the Americas),AI,gallery_official
meta_value_text,Art of the Americas Wing 美洲艺术翼（Level 1）,Art of the Americas Wing 美洲艺术翼（Level 1）,Art of the Americas Wing Art of the Americas Wing (Level 1),AI,gallery_official
meta_value_text,Art of the Americas Wing 美洲艺术翼（Level 2）,Art of the Americas Wing 美洲艺术翼（Level 2）,Art of the Americas Wing Art of the Americas Wing (Level 2),AI,gallery_official
meta_value_text,Art of the Americas Wing 美洲艺术翼（Level 3，20 世纪美洲艺术）,Art of the Americas Wing 美洲艺术翼（Level 3，20 世纪美洲艺术）,"Art of the Americas Wing Art of the Americas Wing (Level 3, 20th-Century Art of the Americas)",AI,gallery_official
meta_value_text,Art of the Americas Wing 美洲艺术翼（Level LG，Ancient Americas）,Art of the Americas Wing 美洲艺术翼（Level LG，Ancient Americas）,"Art of the Americas Wing Art of the Americas Wing (Level LG, Ancient Americas)",AI,gallery_official
meta_value_text,Art of the Americas Wing 美洲艺术翼（Paintings of the Americas）,Art of the Americas Wing 美洲艺术翼（Paintings of the Americas）,Art of the Americas Wing Art of the Americas Wing (Paintings of the Americas),AI,gallery_official
meta_value_text,Charles Potter Kling 基金购藏,Charles Potter Kling 基金购藏,Purchased with the Charles Potter Kling Fund,AI,acquisition
meta_value_text,Edward J. 与 Mary S. Holmes 基金购藏,Edward J. 与 Mary S. Holmes 基金购藏,Purchased with the Edward J. and Mary S. Holmes Fund,AI,acquisition
meta_value_text,Everett 基金购藏,Everett 基金购藏,Purchased with the Everett Fund,AI,acquisition
meta_value_text,George Nixon Black 基金购藏,George Nixon Black 基金购藏,Purchased with the George Nixon Black Fund,AI,acquisition
meta_value_text,Henry H. 与 Zoe Oliver Sherman 基金购藏,Henry H. 与 Zoe Oliver Sherman 基金购藏,Purchased with the Henry H. and Zoe Oliver Sherman Fund,AI,acquisition
meta_value_text,Henry Lillie Pierce 基金购藏,Henry Lillie Pierce 基金购藏,Purchased with the Henry Lillie Pierce Fund,AI,acquisition
meta_value_text,Hervey Edward Wetzel 基金购藏,Hervey Edward Wetzel 基金购藏,Purchased with the Hervey Edward Wetzel Fund,AI,acquisition
meta_value_text,John Goelet 捐赠,John Goelet 捐赠,Gift of John Goelet,AI,acquisition
meta_value_text,Landon T. Clay 捐赠,Landon T. Clay 捐赠,Gift of Landon T. Clay,AI,acquisition
meta_value_text,Landon T. 与 Lavinia Clay 捐赠,Landon T. 与 Lavinia Clay 捐赠,Gift of Landon T. and Lavinia Clay,AI,acquisition
meta_value_text,Level 1 — Ancient Egypt 古埃及展厅,Level 1 — Ancient Egypt 古埃及展厅,Level 1 — Ancient Egypt Ancient Egypt Gallery,AI,gallery_official
meta_value_text,Level 1 — Ancient Near Eastern Art 古代近东艺术,Level 1 — Ancient Near Eastern Art 古代近东艺术,Level 1 — Ancient Near Eastern Art Ancient Near Eastern Art,AI,gallery_official
meta_value_text,Level 1 — Arts of the Pacific 太平洋艺术展厅,Level 1 — Arts of the Pacific 太平洋艺术展厅,Level 1 — Arts of the Pacific Pacific Art Gallery,AI,gallery_official
meta_value_text,Level 1 — Egyptian Art 埃及艺术展厅,Level 1 — Egyptian Art 埃及艺术展厅,Level 1 — Egyptian Art Egyptian Art Gallery,AI,gallery_official
meta_value_text,Level 1 — Egyptian Funerary Arts 埃及丧葬艺术,Level 1 — Egyptian Funerary Arts 埃及丧葬艺术,Level 1 — Egyptian Funerary Arts Egyptian Funerary Arts,AI,gallery_official
meta_value_text,Level 1 — Mummies 木乃伊展厅,Level 1 — Mummies 木乃伊展厅,Level 1 — Mummies Mummy Gallery,AI,gallery_official
meta_value_text,Level 1 — Nubian Art 努比亚艺术展厅,Level 1 — Nubian Art 努比亚艺术展厅,Level 1 — Nubian Art Nubian Art Gallery,AI,gallery_official
meta_value_text,"Level 1, Gallery 103 — Musical Instruments 乐器展厅","Level 1, Gallery 103 — Musical Instruments 乐器展厅","Level 1, Gallery 103 — Musical Instruments Musical Instruments Gallery",AI,gallery_official
meta_value_text,"Level 1, Gallery 110 — Ancient Near Eastern Art 古代近东艺术","Level 1, Gallery 110 — Ancient Near Eastern Art 古代近东艺术","Level 1, Gallery 110 — Ancient Near Eastern Art Ancient Near Eastern Art",AI,gallery_official
meta_value_text,"Level 1, Gallery 119 — Egyptian Funerary Arts 埃及丧葬艺术","Level 1, Gallery 119 — Egyptian Funerary Arts 埃及丧葬艺术","Level 1, Gallery 119 — Egyptian Funerary Arts Egyptian Funerary Arts",AI,gallery_official
meta_value_text,"Level 1, Gallery 121 — Period Rooms 时期房间（Oak Hill 等）","Level 1, Gallery 121 — Period Rooms 时期房间（Oak Hill 等）","Level 1, Gallery 121 — Period Rooms Period Rooms (Oak Hill, etc.)",AI,gallery_official
meta_value_text,"Level 1, Gallery 121D — Oak Hill Bedroom 橡树山卧室（时期房间）","Level 1, Gallery 121D — Oak Hill Bedroom 橡树山卧室（时期房间）","Level 1, Gallery 121D — Oak Hill Bedroom Oak Hill Bedroom (Period Room)",AI,gallery_official
meta_value_text,"Level 1, Gallery 165 — Contemporary Art 当代艺术","Level 1, Gallery 165 — Contemporary Art 当代艺术","Level 1, Gallery 165 — Contemporary Art Contemporary Art",AI,gallery_official
meta_value_text,"Level 1, Gallery 171 — African Art 非洲艺术","Level 1, Gallery 171 — African Art 非洲艺术","Level 1, Gallery 171 — African Art African Art",AI,gallery_official
meta_value_text,"Level 1, Gallery 171 — African Art 非洲艺术展厅","Level 1, Gallery 171 — African Art 非洲艺术展厅","Level 1, Gallery 171 — African Art African Art Gallery",AI,gallery_official
meta_value_text,"Level 1, Gallery 172 — Benin Kingdom Art 贝宁王国艺术","Level 1, Gallery 172 — Benin Kingdom Art 贝宁王国艺术","Level 1, Gallery 172 — Benin Kingdom Art Benin Kingdom Art",AI,gallery_official
meta_value_text,"Level 1, Gallery 175 — Arts of Islamic Cultures 伊斯兰艺术展厅","Level 1, Gallery 175 — Arts of Islamic Cultures 伊斯兰艺术展厅","Level 1, Gallery 175 — Arts of Islamic Cultures Islamic Art Gallery",AI,gallery_official
meta_value_text,Level 2 — Arts of Japan 日本艺术展厅,Level 2 — Arts of Japan 日本艺术展厅,Level 2 — Arts of Japan Japanese Art Gallery,AI,gallery_official
meta_value_text,Level 2 — Arts of Japan 日本艺术展厅（含茶室与能剧展区）,Level 2 — Arts of Japan 日本艺术展厅（含茶室与能剧展区）,Level 2 — Arts of Japan Japanese Art Gallery (including the tearoom and Noh theater section),AI,gallery_official
meta_value_text,"Level 2 — Behrakis Wing, Art of the Ancient World 古代世界艺术翼","Level 2 — Behrakis Wing, Art of the Ancient World 古代世界艺术翼","Level 2 — Behrakis Wing, Art of the Ancient World Art of the Ancient World Wing",AI,gallery_official
meta_value_text,Level 2 — Byzantine Art 拜占庭艺术展厅,Level 2 — Byzantine Art 拜占庭艺术展厅,Level 2 — Byzantine Art Byzantine Art Gallery,AI,gallery_official
meta_value_text,Level 2 — Early Greek Art 早期希腊艺术展厅,Level 2 — Early Greek Art 早期希腊艺术展厅,Level 2 — Early Greek Art Early Greek Art Gallery,AI,gallery_official
meta_value_text,Level 2 — Etruscan Art 伊特鲁里亚艺术展区,Level 2 — Etruscan Art 伊特鲁里亚艺术展区,Level 2 — Etruscan Art Etruscan Art Section,AI,gallery_official
meta_value_text,Level 2 — Greek Mythology 希腊神话展区,Level 2 — Greek Mythology 希腊神话展区,Level 2 — Greek Mythology Greek Mythology Section,AI,gallery_official
meta_value_text,Level 2 — Greek Vases 希腊陶瓶展区,Level 2 — Greek Vases 希腊陶瓶展区,Level 2 — Greek Vases Greek Vases Section,AI,gallery_official
meta_value_text,Level 2 — Greek and Roman Sculpture 希腊罗马雕塑,Level 2 — Greek and Roman Sculpture 希腊罗马雕塑,Level 2 — Greek and Roman Sculpture Greek and Roman Sculpture,AI,gallery_official
meta_value_text,Level 2 — Homer and the Epics 荷马与史诗展厅,Level 2 — Homer and the Epics 荷马与史诗展厅,Level 2 — Homer and the Epics Homer and the Epics Gallery,AI,gallery_official
meta_value_text,Level 2 — Ireland Gallery of Gems and Jewelry 古地中海宝石与珠宝展厅,Level 2 — Ireland Gallery of Gems and Jewelry 古地中海宝石与珠宝展厅,Level 2 — Ireland Gallery of Gems and Jewelry Ancient Mediterranean Gems and Jewelry Gallery,AI,gallery_official
meta_value_text,Level 2 — Roman Portraiture 罗马肖像雕塑展厅,Level 2 — Roman Portraiture 罗马肖像雕塑展厅,Level 2 — Roman Portraiture Roman Portrait Sculpture Gallery,AI,gallery_official
meta_value_text,Level 2 — Upper Rotunda / Greek Art 希腊艺术,Level 2 — Upper Rotunda / Greek Art 希腊艺术,Level 2 — Upper Rotunda / Greek Art Greek Art,AI,gallery_official
meta_value_text,Level 2 — Upper Rotunda 上层圆厅,Level 2 — Upper Rotunda 上层圆厅,Level 2 — Upper Rotunda Upper Rotunda,AI,gallery_official
meta_value_text,"Level 2, Gallery 242 — Art of the Netherlands in the 17th Century 17 世纪荷兰艺术","Level 2, Gallery 242 — Art of the Netherlands in the 17th Century 17 世纪荷兰艺术","Level 2, Gallery 242 — Art of the Netherlands in the 17th Century 17th-Century Dutch Art",AI,gallery_official
meta_value_text,"Level 2, Gallery 250 — European Paintings and Hanoverian Silver 欧洲绘画与汉诺威银器","Level 2, Gallery 250 — European Paintings and Hanoverian Silver 欧洲绘画与汉诺威银器","Level 2, Gallery 250 — European Paintings and Hanoverian Silver European Paintings and Hanoverian Silver",AI,gallery_official
meta_value_text,"Level 2, Gallery 252 — Monet Gallery 莫奈展厅","Level 2, Gallery 252 — Monet Gallery 莫奈展厅","Level 2, Gallery 252 — Monet Gallery Monet Gallery",AI,gallery_official
meta_value_text,"Level 2, Gallery 274 — Paul and Helen Bernat Gallery（中国宋代艺术展厅）","Level 2, Gallery 274 — Paul and Helen Bernat Gallery（中国宋代艺术展厅）","Level 2, Gallery 274 — Paul and Helen Bernat Gallery (Gallery of Chinese Art of the Song Dynasty)",AI,gallery_official
meta_value_text,"Level 2, Gallery 275 — Chinese Ceramics 中国陶瓷展厅","Level 2, Gallery 275 — Chinese Ceramics 中国陶瓷展厅","Level 2, Gallery 275 — Chinese Ceramics Chinese Ceramics Gallery",AI,gallery_official
meta_value_text,"Level 2, Gallery 278B — Buddhist Art from Japan 日本佛教艺术","Level 2, Gallery 278B — Buddhist Art from Japan 日本佛教艺术","Level 2, Gallery 278B — Buddhist Art from Japan Japanese Buddhist Art",AI,gallery_official
meta_value_text,"Level 2, Gallery 280 区 — Japanese Buddhist Temple Room 日本佛教寺庙厅","Level 2, Gallery 280 区 — Japanese Buddhist Temple Room 日本佛教寺庙厅","Level 2, Gallery 280 Section — Japanese Buddhist Temple Room Japanese Buddhist Temple Room",AI,gallery_official
meta_value_text,"Level 3, Gallery 327 — 20 世纪美国艺术（曾为 Women Take the Floor 展区）","Level 3, Gallery 327 — 20 世纪美国艺术（曾为 Women Take the Floor 展区）","Level 3, Gallery 327 — 20th-Century American Art (formerly the Women Take the Floor section)",AI,gallery_official
meta_value_text,Level LG — Ancient Americas 古代美洲展厅,Level LG — Ancient Americas 古代美洲展厅,Level LG — Ancient Americas Ancient Americas Gallery,AI,gallery_official
meta_value_text,Level LG — Native North American Art 北美原住民艺术展厅,Level LG — Native North American Art 北美原住民艺术展厅,Level LG — Native North American Art Native North American Art Gallery,AI,gallery_official
meta_value_text,"Level LG, Gallery LG33 — Pre-Columbian Gold and Andean Civilizations 前哥伦布黄金与安第斯文明","Level LG, Gallery LG33 — Pre-Columbian Gold and Andean Civilizations 前哥伦布黄金与安第斯文明","Level LG, Gallery LG33 — Pre-Columbian Gold and Andean Civilizations Pre-Columbian Gold and Andean Civilizations",AI,gallery_official
meta_value_text,MFA 创始理事、首任馆长 Martin Brimmer 于 1877 年捐赠,MFA 创始理事、首任馆长 Martin Brimmer 于 1877 年捐赠,"Gift of MFA founding trustee and first director Martin Brimmer, 1877",AI,acquisition
meta_value_text,Special Chinese and Japanese Fund 购藏,Special Chinese and Japanese Fund 购藏,Purchased with the Special Chinese and Japanese Fund,AI,acquisition
meta_value_text,丁托列托,丁托列托,Tintoretto,官方,artist
meta_value_text,丝绸,丝绸,silk,AI,material
meta_value_text,中国,中国,China,官方,origin_place
meta_value_text,中村不折,中村不折,Nakamura Fusetsu,官方,artist
meta_value_text,主要依靠 William 与 Bertha Teel 等捐赠人,主要依靠 William 与 Bertha Teel 等捐赠人,Primarily through gifts from donors including William and Bertha Teel,AI,acquisition
meta_value_text,乌木、阿勒颇松、阿布拉木、黄杨与象牙／骨,乌木、阿勒颇松、阿布拉木、黄杨与象牙／骨,"ebony, Aleppo pine, abura wood, boxwood, and ivory/bone",AI,material
meta_value_text,乔凡尼·第·保禄,乔凡尼·第·保禄,Giovanni di Paolo,官方,artist
meta_value_text,乔治·卢克斯,乔治·卢克斯,George Luks,官方,artist
meta_value_text,乔治·斯塔布斯,乔治·斯塔布斯,George Stubbs,官方,artist
meta_value_text,乔治·莫兰迪,乔治·莫兰迪,Giorgio Morandi,官方,artist
meta_value_text,乔治·鲁奥,乔治·鲁奥,Georges Rouault,官方,artist
meta_value_text,乔瓦尼·保罗·帕尼尼,乔瓦尼·保罗·帕尼尼,Giovanni Paolo Panini,官方,artist
meta_value_text,乔瓦尼·巴蒂斯塔·提埃坡罗,乔瓦尼·巴蒂斯塔·提埃坡罗,Giovanni Battista Tiepolo,官方,artist
meta_value_text,乔瓦尼·巴蒂斯塔·皮亚泽塔,乔瓦尼·巴蒂斯塔·皮亚泽塔,Giovanni Battista Piazzetta,官方,artist
meta_value_text,乔瓦尼·巴蒂斯塔·莫罗尼,乔瓦尼·巴蒂斯塔·莫罗尼,Giovanni Battista Moroni,官方,artist
meta_value_text,乔纳森·博罗夫斯基,乔纳森·博罗夫斯基,Jonathan Borofsky,官方,artist
meta_value_text,于贝尔·罗贝尔,于贝尔·罗贝尔,Hubert Robert,官方,artist
meta_value_text,亚伯拉罕·瓦尔科维茨,亚伯拉罕·瓦尔科维茨,Abraham Walkowitz,官方,artist
meta_value_text,亚历山德罗·亚洛里,亚历山德罗·亚洛里,Alessandro Allori,官方,artist
meta_value_text,亚历山德罗·隆吉,亚历山德罗·隆吉,Alessandro Longhi,官方,artist
meta_value_text,亚森特·里戈,亚森特·里戈,Hyacinthe Rigaud,官方,artist
meta_value_text,亚瑟·达夫,亚瑟·达夫,Arthur Dove,官方,artist
meta_value_text,亞歷山大·卡拉姆,亞歷山大·卡拉姆,Alexandre Calame,官方,artist
meta_value_text,亞歷山德羅·馬尼亞斯科,亞歷山德羅·馬尼亞斯科,Alessandro Magnasco,官方,artist
meta_value_text,亨利·勒尼奥,亨利·勒尼奥,Henri Regnault,官方,artist
meta_value_text,亨利·因曼,亨利·因曼,Henry Inman,官方,artist
meta_value_text,亨利·奥利弗·沃克,亨利·奥利弗·沃克,Henry Oliver Walker,官方,artist
meta_value_text,亨利·德·土魯斯-羅特列克,亨利·德·土魯斯-羅特列克,Henri de Toulouse-Lautrec,官方,artist
meta_value_text,亨利·摩尔,亨利·摩尔,Henry Moore,官方,artist
meta_value_text,亨利·方丹-拉图尔,亨利·方丹-拉图尔,Henri Fantin-Latour,官方,artist
meta_value_text,亨利·盧梭,亨利·盧梭,Henri Rousseau,官方,artist
meta_value_text,亨利·莫雷,亨利·莫雷,Henry Moret,官方,artist
meta_value_text,亨利·阿皮尼,亨利·阿皮尼,Henri-Joseph Harpignies,官方,artist
meta_value_text,亨利·雷布恩,亨利·雷布恩,Henry Raeburn,官方,artist
meta_value_text,亨利·马蒂斯,亨利·马蒂斯,Henri Matisse,官方,artist
meta_value_text,亨利·高迪-布熱斯卡,亨利·高迪-布熱斯卡,Henri Gaudier-Brzeska,官方,artist
meta_value_text,亨利・泰納,亨利・泰納,Henry Ossawa Tanner,官方,artist
meta_value_text,亨德里克·霍尔奇尼斯,亨德里克·霍尔奇尼斯,Hendrick Goltzius,官方,artist
meta_value_text,代表作,代表作,masterpiece,AI,museum_highlight
meta_value_text,以 George D. 与 Margo Behrakis 捐款购藏,以 George D. 与 Margo Behrakis 捐款购藏,Purchased with funds donated by George D. and Margo Behrakis,AI,acquisition
meta_value_text,以 Landon T. Clay 捐款购藏,以 Landon T. Clay 捐款购藏,Purchased with funds donated by Landon T. Clay,AI,acquisition
meta_value_text,伊万·康斯坦丁诺维奇·艾瓦佐夫斯基,伊万·康斯坦丁诺维奇·艾瓦佐夫斯基,Ivan Konstantinovich Aivazovsky,官方,artist
meta_value_text,伊丽莎白·舒马托夫,伊丽莎白·舒马托夫,Elizabeth Shoumatoff,官方,artist
meta_value_text,伊丽莎白·默里,伊丽莎白·默里,Elizabeth Murray,官方,artist
meta_value_text,伊拉克,伊拉克,Iraq,官方,origin_place
meta_value_text,伊斯门·约翰逊,伊斯门·约翰逊,Eastman Johnson,官方,artist
meta_value_text,伊莉莎白·維傑·勒布倫,伊莉莎白·維傑·勒布倫,Élisabeth Vigée Le Brun,官方,artist
meta_value_text,伊莱休·维德,伊莱休·维德,Elihu Vedder,官方,artist
meta_value_text,伊薩·史托勒,伊薩·史托勒,Ezra Stoller,官方,artist
meta_value_text,伊藤若冲,伊藤若冲,Itō Jakuchū,官方,artist
meta_value_text,伊西多爾·考夫曼,伊西多爾·考夫曼,Isidor Kaufmann,官方,artist
meta_value_text,休伯特·凡·赫克默,休伯特·凡·赫克默,Hubert von Herkomer,官方,artist
meta_value_text,伦勃朗,伦勃朗,Rembrandt,官方,artist
meta_value_text,但丁·加百列·羅塞蒂,但丁·加百列·羅塞蒂,Dante Gabriel Rossetti,官方,artist
meta_value_text,何塞·克萊門特·奧羅斯科,何塞·克萊門特·奧羅斯科,José Clemente Orozco,官方,artist
meta_value_text,保卢斯·莫雷尔瑟,保卢斯·莫雷尔瑟,Paulus Moreelse,官方,artist
meta_value_text,保盧斯·波特,保盧斯·波特,Paulus Potter,官方,artist
meta_value_text,保罗·于埃,保罗·于埃,Paul Huet,官方,artist
meta_value_text,保罗·塞尚,保罗·塞尚,Paul Cézanne,官方,artist
meta_value_text,保罗·委罗内塞,保罗·委罗内塞,Paolo Veronese,官方,artist
meta_value_text,保罗·西涅克,保罗·西涅克,Paul Signac,官方,artist
meta_value_text,保羅·克利,保羅·克利,Paul Klee,官方,artist
meta_value_text,保羅·凱德馬斯,保羅·凱德馬斯,Paul Cadmus,官方,artist
