来源表,来源行,子集,Tier,展品名称,原因码
A,10,ext·官网,A,奥尔梅克肖像面具 Portrait mask（中期形成期，公元前 900–600 年，含黑色包裹体的硬玉）,NO_TRANSLATION
A,11,ext·官网,A,Frida Kahlo《Dos Mujeres (Salvadora y Herminia)》两个女人（1928，布面油画）,NO_MATCH_FOUND
A,13,ext·官网,A,玛雅筒形彩绘陶瓶 Maya cylinder vase,NO_TRANSLATION
A,14,ext·官网,A,Maria Montoya Martinez（Poveka）与 Julian Martinez 黑陶碗 Bowl,NO_TRANSLATION
A,16,ext·官网,A,橡树山卧室 Oak Hill Bedroom（时期房间，含带帐幔的四柱床）,NO_TRANSLATION
A,17,ext·官网,A,高丽鎏银执壶 Ewer（朝鲜，高丽王朝，12 世纪，局部鎏金银器、镌刻装饰）,NO_TRANSLATION
A,18,ext·官网,A,《Maharana Sangram Singh Enjoys the Monsoon》桑格拉姆·辛格享受季风（印度拉贾斯坦，约 1720–25，纸本不透明水彩）,NO_MATCH_FOUND
A,20,ext·官网,A,翁万戈收藏 明清书画四条屏（Wan-go H. C. Weng Collection 代表作）,NO_TRANSLATION
A,21,ext·官网,A,高丽青瓷镶嵌竹鹤纹梅瓶（13 世纪初）,NO_TRANSLATION
A,30,ext·官网,A,哥特式《哀悼基督》群雕 Lamentation over the body of Christ,NO_TRANSLATION
A,31,ext·官网,A,Anthony Nelme 款 银质暖锅 Chafing dish,NO_TRANSLATION
A,34,ext·官网,A,杰胡提纳赫特外棺前侧板 Outer coffin of Djehutynakht（中王国，公元前 2010–1961，雪松木）,NO_TRANSLATION
A,35,ext·官网,A,有翼伊西斯胸饰 Winged Isis pectoral（努比亚纳帕塔时期，公元前 538–519，黄金）,NO_TRANSLATION
A,36,ext·官网,A,拳形银质饮器 Drinking vessel in the shape of a fist（安纳托利亚赫梯新王国，公元前 14 世纪，银）,NO_TRANSLATION
A,37,ext·官网,A,巴比伦釉砖行狮 Striding lion（新巴比伦，釉面砖）,NO_TRANSLATION
A,38,ext·官网,A,《普塔赫赫努维夫妇像》Statues of Ptahkhenuwy and his wife（古王国）,NO_MATCH_FOUND
A,39,ext·官网,A,哈索尔头像水晶垂饰 Hathor-headed crystal pendant（努比亚）,NO_TRANSLATION
A,40,ext·官网,A,阿玛尔纳界碑残片（纳芙蒂蒂与两位公主）Boundary stele fragment,NO_TRANSLATION
A,41,ext·官网,A,图特摩斯一世石棺 Sarcophagus of Thutmose I（新王国，来自帝王谷）,NO_TRANSLATION
A,43,ext·官网,A,"《曼提克洛斯阿波罗》Mantiklos ""Apollo""（希腊几何风格末期，约公元前 700–675，青铜）",NO_MATCH_FOUND
A,44,ext·官网,A,胜利女神双马战车金耳环 Earring with Nike driving a two-horse chariot（希腊，约公元前 350–325，金与珐琅）,NO_TRANSLATION
A,45,ext·官网,A,伊特鲁里亚夫妇石棺 Etruscan sarcophagus（夫妇相拥卧姿）,NO_TRANSLATION
A,48,ext·官网,A,五名赛跑运动员陶瓶 Vase with five athletes running,NO_TRANSLATION
A,49,ext·官网,A,《波吕斐摩斯头像》Head of Polyphemos（希腊或罗马，大理石）,NO_MATCH_FOUND
A,51,ext·官网,A,达恩族面具 Mask (deangle)（象牙海岸／利比里亚达恩族，20 世纪，木、植物纤维、贝壳）,NO_TRANSLATION
A,52,ext·官网,A,贝宁王国青铜器 五件（尼日利亚，16–17 世纪，失蜡法铸铜合金）,NO_TRANSLATION
A,53,ext·官网,A,约鲁巴宫廷雕刻 Yoruba court sculptures（尼日利亚，19 世纪末–20 世纪）,NO_TRANSLATION
A,54,ext·官网,A,婆罗洲守护神像 三尊 Guardian figures（印度尼西亚婆罗洲，木）,NO_TRANSLATION
A,55,ext·官网,A,毛利刺青喂食漏斗 Maori feeding funnel（新西兰，木）,NO_TRANSLATION
A,56,ext·官网,A,Kakaparaga 丧葬面具（巴布亚新几内亚）,NO_TRANSLATION
A,57,ext·官网,A,Fernando Cueto Amorsolo《Man with Rooster》持公鸡的男子（1948，布面油画）,NO_MATCH_FOUND
A,58,ext·官网,A,汝窑天青釉盘 Ru ware dish（中国，北宋，官方御用瓷）,NO_TRANSLATION
A,59,ext·官网,A,周砥《宜兴风景图》Scenery of Yixing（中国，1356 年，手卷）,NO_TRANSLATION
A,61,ext·官网,A,《四天王》二尊 Two of the Four Guardian Kings（日本，9 世纪，木造）,NO_TRANSLATION
A,62,ext·官网,A,《不动明王像》Fudō the Immovable One（日本，12 世纪，木造）,NO_MATCH_FOUND
A,64,ext·官网,A,日本茶室复原空间（榻榻米与床之间）,NO_TRANSLATION
A,71,ext·wikidata,A,Landscape Scenes Along the River（狩野芳崖，1885-01-01）,NO_MATCH_FOUND
A,72,ext·wikidata,A,Three Women Playing Musical Instruments（葛饰应为，1800-01-01）,NO_MATCH_FOUND
A,73,ext·wikidata,A,Anyang funerary bed（http://www.wikidata.org/.well-known/genid/3ed4bb3cd191f8c02b43470f488b,NO_MATCH_FOUND
A,81,ext·wikidata,A,The Sleeping Christ Child（阿尔泰米西娅·真蒂莱斯基，1630-01-01，油彩）,NO_MATCH_FOUND
A,88,ext·wikidata,A,波士頓寶座（0100-01-01，大理岩）,NO_MATCH_FOUND
A,93,ext·wikidata,A,Statue of Senedjemibmehy（木材）,NO_MATCH_FOUND
A,95,ext·wikidata,A,Summer Night's Dream（愛德華·蒙克，1893-01-01，油彩）,NO_MATCH_FOUND
A,99,ext·wikidata,A,Early Snow in Louveciennes（阿尔弗雷德·西斯莱，1870-01-01，油彩）,NO_MATCH_FOUND
A,108,ext·wikidata,A,Interior of a Dutch house with a woman kneeling by a fire conversing with a woman standing,NO_MATCH_FOUND
A,110,ext·wikidata,A,Pictorial Quilt（Harriet Powers，1895-01-01，棉花）,NO_MATCH_FOUND
A,115,ext·wikidata,A,Untitled（安塞姆•基弗，1984-01-01）,TITLE_TOO_GENERIC
A,118,ext·wikidata,A,Mercury and Aglauros（卡爾·法布里蒂烏斯，1646-01-01，油彩）,NO_MATCH_FOUND
A,135,ext·wikidata,A,Garrowby Hill（大卫·霍克尼，1998-01-01，油彩）,NO_MATCH_FOUND
A,136,ext·wikidata,A,Infanta Maria Theresa（http://www.wikidata.org/.well-known/genid/9591df26f6edf529d98a22520e,NO_MATCH_FOUND
A,150,ext·wikidata,A,Woman in a Park（喬治·皮埃尔·秀拉，油彩）,NO_MATCH_FOUND
A,151,ext·wikidata,A,Virgin and Child Enthroned with Four Saints（喬托·迪·邦多內）,NO_MATCH_FOUND
A,152,ext·wikidata,A,Portrait of a Man and a Boy (Count Alborghetti & Son)（乔瓦尼·巴蒂斯塔·莫罗尼，1550-01-01，油彩）,NO_MATCH_FOUND
A,154,ext·wikidata,A,Carmelina（亨利·马蒂斯，1903-01-01，油彩）,NO_MATCH_FOUND
A,170,ext·wikidata,A,L'Eminence Grise（让-莱昂·热罗姆，1873-01-01，油彩）,NO_MATCH_FOUND
A,171,ext·wikidata,A,River Landscape with the Baptism of Christ（若阿基姆·帕蒂尼尔）,NO_MATCH_FOUND
A,173,ext·wikidata,A,Fall of the Rhine at Schaffhausen（约瑟夫·马洛德·威廉·透纳，1805-01-01，油彩）,NO_MATCH_FOUND
A,174,ext·wikidata,A,Mandolin and Fruit Dish（胡安·格里斯，1925-01-01，油彩）,NO_MATCH_FOUND
A,177,ext·wikidata,A,Village Street（馬克·夏卡爾，油彩）,NO_MATCH_FOUND
A,181,ext·wikidata,A,Mass of Saint Gregory（Nicolás Francés）,NO_MATCH_FOUND
A,187,ext·wikidata,A,Autoportrait au béret (Self-Portrait with a Beret)（保罗·塞尚，1899-01-01，油彩）,NO_MATCH_FOUND
A,188,ext·wikidata,A,Women and a White Horse（保羅·高更，1903-01-01，油彩）,NO_MATCH_FOUND
A,209,ext·wikidata,A,Admiral Peter Rainier（http://www.wikidata.org/.well-known/genid/ac7e324fb33626eef2981bb47b,NO_MATCH_FOUND
A,210,ext·wikidata,A,Portrait of a Woman（http://www.wikidata.org/.well-known/genid/94eb6bf6138136a546c97f277955,TITLE_TOO_GENERIC
A,211,ext·wikidata,A,Portrait of a Young Woman with a Kerchief（http://www.wikidata.org/.well-known/genid/9fc6a4,NO_MATCH_FOUND
A,212,ext·wikidata,A,Sir William Butts（http://www.wikidata.org/.well-known/genid/d76f86b2c1cc1dcc7dc4de4b653f4e,NO_MATCH_FOUND
A,216,ext·wikidata,A,Christ in Majesty with Symbols of the Four Evangelists（http://www.wikidata.org/.well-known,NO_MATCH_FOUND
A,221,ext·wikidata,A,Alkahest of Paracelsus（阿道夫·戈特利布，1945-01-01）,NO_MATCH_FOUND
A,226,ext·wikidata,A,Ada Looking Over Shoulder（Alex Katz，1964-01-01）,NO_MATCH_FOUND
A,227,ext·wikidata,A,Linda Nochlin and Daisy（愛麗絲·尼爾，1973-01-01，油彩）,NO_MATCH_FOUND
A,229,ext·wikidata,A,Cocktails（Archibald Motley，1926-01-01，油彩）,NO_MATCH_FOUND
A,230,ext·wikidata,A,Good Hope Road（阿希尔·戈尔基，1945-01-01，油彩）,NO_MATCH_FOUND
A,234,ext·wikidata,A,Fugue（查爾斯·席勒，1940-01-01）,NO_MATCH_FOUND
A,239,ext·wikidata,A,Talkin' Loud Sayin' Nothing（克里斯多福·伍爾，1994-01-01）,NO_MATCH_FOUND
A,240,ext·wikidata,A,Paul IV（查克·克洛斯，2001-01-01，油彩）,NO_MATCH_FOUND
A,241,ext·wikidata,A,The Field Hospital（伊斯门·约翰逊，1867-01-01）,NO_MATCH_FOUND
A,244,ext·wikidata,A,Room in Brooklyn（愛德華·霍普，1932-01-01，油彩）,NO_MATCH_FOUND
A,245,ext·wikidata,A,Drug Store（愛德華·霍普，1927-01-01，油彩）,NO_MATCH_FOUND
A,246,ext·wikidata,A,Self Portrait（愛德華·霍普，1903-01-01，油彩）,TITLE_TOO_GENERIC
A,247,ext·wikidata,A,Workers in the Fields（Edward Mitchell Bannister，1890-01-01，油彩）,NO_MATCH_FOUND
A,249,ext·wikidata,A,Blue Green Yellow Orange Red（埃尔斯沃斯·凯利，1968-01-01，油彩）,NO_MATCH_FOUND
A,250,ext·wikidata,A,The Garden of Eden（Erastus Salisbury Field，1860-01-01，油彩）,NO_MATCH_FOUND
A,256,ext·wikidata,A,Lake Placid（Florine Stettheimer，1919-01-01，油彩）,NO_MATCH_FOUND
A,288,ext·wikidata,A,Untitled (James Baldwin)（格倫·利貢，1990-01-01，油彩）,NO_MATCH_FOUND
A,289,ext·wikidata,A,Composition No. IV（汉斯·霍夫曼，1953-01-01，油彩）,NO_MATCH_FOUND
A,292,ext·wikidata,A,Country Doctor (Night Call)（Horace Pippin，1936-01-01，油彩）,NO_MATCH_FOUND
A,293,ext·wikidata,A,"Number 10, 1949（杰克逊·波洛克，1949-01-01）",NO_MATCH_FOUND
A,294,ext·wikidata,A,Café Comedian（雅各布·勞倫斯，1957-01-01）,NO_MATCH_FOUND
A,295,ext·wikidata,A,"Nocturne in Blue and Silver: The Lagoon, Venice（詹姆斯·惠斯勒，1879-01-01，油彩）",NO_MATCH_FOUND
A,296,ext·wikidata,A,Chamonix（琼·米切尔，1962-01-01，油彩）,NO_MATCH_FOUND
A,305,ext·wikidata,A,Movement—Sea or Mountain as You Will（約翰·馬林，1947-01-01，油彩）,NO_MATCH_FOUND
A,369,ext·wikidata,A,Isabella and the Pot of Basil（尊·韋德·亞歷山大，1897-01-01，油彩）,NO_MATCH_FOUND
A,373,ext·wikidata,A,"John, 1st Baron Byron（凱德·威利，2013-01-01，油彩）",NO_MATCH_FOUND
A,375,ext·wikidata,A,Drift（肯尼思·诺兰，1972-01-01）,NO_MATCH_FOUND
A,376,ext·wikidata,A,Supermodel（凱瑞·詹姆斯·馬歇爾，1994-01-01）,NO_MATCH_FOUND
A,378,ext·wikidata,A,Untitled (brown and gray)（马克·罗斯科，1969-01-01）,NO_MATCH_FOUND
A,379,ext·wikidata,A,The Enunciation（Mark Tansey，1992-01-01，油彩）,NO_MATCH_FOUND
A,387,ext·wikidata,A,Caresse Maternelle（玛丽·卡萨特，1902-01-01，油彩）,NO_MATCH_FOUND
A,396,ext·wikidata,A,Every Atom Glows: Electrons in Luminous Vibration（诺曼·刘易斯，1951-01-01，油彩）,NO_MATCH_FOUND
A,397,ext·wikidata,A,Forms (Peinture)（Patrick Henry Bruce，1919-01-01，油彩）,NO_MATCH_FOUND
A,399,ext·wikidata,A,"Frank Stella, ""The Marriage of Reason and Squalor"" 1959（Q20825678，油彩）",NO_MATCH_FOUND
A,401,ext·wikidata,A,Marching to a Different Drummer（Robert Colescott，1989-01-01）,NO_MATCH_FOUND
A,402,ext·wikidata,A,Irish Girl (Mary O'Donnel)（罗伯特·亨利，1913-01-01，油彩）,NO_MATCH_FOUND
A,408,ext·wikidata,A,Still Life with Arum Lilies and Fruit（Stanton Macdonald-Wright，1923-01-01，油彩）,NO_MATCH_FOUND
A,415,ext·wikidata,A,A child of the Pierpont Family（http://www.wikidata.org/.well-known/genid/540923e60db818060,NO_MATCH_FOUND
A,416,ext·wikidata,A,Trompe L'Oeil Louvered Fireboard（http://www.wikidata.org/.well-known/genid/ebc531f94c4f39b,NO_MATCH_FOUND
A,417,ext·wikidata,A,Christ Rejected（http://www.wikidata.org/.well-known/genid/940c46062373812ea325683f55d96f16,NO_MATCH_FOUND
A,418,ext·wikidata,A,"Mrs. Samuel Browne, Jr. (Katharine Winthrop)（http://www.wikidata.org/.well-known/genid/143",NO_MATCH_FOUND
A,419,ext·wikidata,A,Reverend Otis Warren（http://www.wikidata.org/.well-known/genid/03e943a978d2a75801957920f80,NO_MATCH_FOUND
A,422,ext·wikidata,A,Head of a Woman（威廉·德·库宁，1968-01-01）,NO_MATCH_FOUND
A,423,ext·wikidata,A,"Italo-American Celebration, Washington Square（威廉·格拉肯斯，1912-01-01，油彩）",NO_MATCH_FOUND
A,425,ext·wikidata,A,Playing Old Soldier（温斯洛·霍默，1863-01-01，油彩）,NO_MATCH_FOUND
A,428,ext·wikidata,A,Driftwood（温斯洛·霍默，1909-01-01，油彩）,NO_MATCH_FOUND
A,431,ext·wikidata,A,Drinking and singing at the foot of a precipitous mountain（關仝）,NO_MATCH_FOUND
A,433,ext·wikidata,A,Spring blossoms（石鲁）,NO_MATCH_FOUND
A,435,ext·wikidata,A,Maiko（土田麥僊）,NO_MATCH_FOUND
A,436,ext·wikidata,A,Spring-Autumn（吳冠中）,NO_MATCH_FOUND
A,437,ext·wikidata,A,Dots Infinity NOWH（草間弥生，2004-01-01）,NO_MATCH_FOUND
A,438,ext·wikidata,A,Vimalakirti（張大千）,NO_MATCH_FOUND
A,441,ext·wikidata,A,The Blanket Signal（弗雷德里克·雷明顿，1909-01-01，油彩）,NO_MATCH_FOUND
A,444,ext·wikidata,A,Self-Portrait at Her Easel（Maria Schalcken，1670-01-01，油彩）,NO_MATCH_FOUND
A,448,ext·wikidata,A,贝宁青铜器（銅合金列表）,ARTIST_UNRESOLVED
A,453,ext·wikidata,A,Saint Luke Drawing the Virgin（罗希尔·范德魏登，1490-01-01，油彩）,NO_MATCH_FOUND
A,459,ext·wikidata,A,Scenes from the Nakamura Kabuki Theater（菱川師宣，1694-01-01）,NO_MATCH_FOUND
A,461,ext·wikidata,A,White Cockatoo on a Pine Branch（伊藤若冲，1750-01-01）,NO_MATCH_FOUND
A,462,ext·wikidata,A,Lohan manifesting himself as an eleven-headed Guanyin（周季常，1178-01-01）,NO_MATCH_FOUND
A,463,ext·wikidata,A,Tsuitate no Danjo（喜多川歌麿，1797-01-01）,NO_MATCH_FOUND
A,469,ext·wikidata,A,死去的基督与天使 (菲奥伦蒂诺)（羅索·菲奧倫蒂諾，1525-01-01，油彩）,NO_MATCH_FOUND
A,472,ext·wikidata,A,聖母入聖殿（Fra Carnevale，1443-01-01）,NO_MATCH_FOUND
A,475,ext·wikidata,A,Icebound Whaling Ship（William Bradford，1875-01-01，油彩）,NO_MATCH_FOUND
A,477,ext·wikidata,A,Still Life with Lemon Peel（Willem Kalf，1664-01-01，油彩）,NO_MATCH_FOUND
A,509,ext·wikidata,A,Onoe Matsusuke I as the lay priest Yuasa Magoroku（東州斎写楽）,NO_MATCH_FOUND
A,530,ext·wikidata,A,View of New York（查爾斯·席勒，1931-01-01，油彩）,NO_MATCH_FOUND
A,531,ext·wikidata,A,The Deluge（菲利普·加斯顿，1969-01-01，油彩）,NO_MATCH_FOUND
A,535,ext·wikidata,A,Parrot and insect among pear blossoms（黃居寀）,NO_MATCH_FOUND
A,536,ext·wikidata,A,Seated Buddha with Attendant Bodhisattvas（http://www.wikidata.org/.well-known/genid/f8b7b0,NO_MATCH_FOUND
A,537,ext·wikidata,A,Medicine Buddha-32.436（http://www.wikidata.org/.well-known/genid/fd19c4a8e54fdb351c804ad8d,NO_MATCH_FOUND
A,538,ext·wikidata,A,Group of Hetepheres II and Meresankh III-30.1456（http://www.wikidata.org/.well-known/genid,NO_MATCH_FOUND
A,539,ext·wikidata,A,Head of King Tutankhamen-11.1533（http://www.wikidata.org/.well-known/genid/a5e2f536ff3b7b0,NO_MATCH_FOUND
A,540,ext·wikidata,A,Tjenty in the pose of a scribe-31.776（http://www.wikidata.org/.well-known/genid/fc3716fb58,NO_MATCH_FOUND
A,541,ext·wikidata,A,Isis in mourning-72.4127（http://www.wikidata.org/.well-known/genid/358bea7b7f274fd433e8bdc,NO_MATCH_FOUND
A,542,ext·wikidata,A,Khenmet-setju and Nefu-31.777（http://www.wikidata.org/.well-known/genid/eca0a5e952e79eee9c,NO_MATCH_FOUND
A,543,ext·wikidata,A,Head of Seshem-nofer II-12.1487（http://www.wikidata.org/.well-known/genid/0506b774e5c592fb,NO_MATCH_FOUND
A,544,ext·wikidata,A,Statue of a seated man-39.832（http://www.wikidata.org/.well-known/genid/baeed1810a66ca11e1,NO_MATCH_FOUND
A,546,ext·wikidata,A,Face from a composite statue of king Den-60.1181（http://www.wikidata.org/.well-known/genid,NO_MATCH_FOUND
A,547,ext·wikidata,A,Head of a queen-2002.609（http://www.wikidata.org/.well-known/genid/5667d7c7f4f38c594a52e66,NO_MATCH_FOUND
A,550,ext·wikidata,A,Head of king Khasekhemwy-58.324（http://www.wikidata.org/.well-known/genid/389b530b6f40c00f,NO_MATCH_FOUND
A,552,ext·wikidata,A,Relief from a scene of Mehu fishing-39.833.1（http://www.wikidata.org/.well-known/genid/244,NO_MATCH_FOUND
A,553,ext·wikidata,A,Leopard of Thutmose IV-03.1137a-b（http://www.wikidata.org/.well-known/genid/5c5e31de2e3aa4,NO_MATCH_FOUND
A,554,ext·wikidata,A,Triad of Penmeru-12.1504（http://www.wikidata.org/.well-known/genid/c297e225b9271cc571b348f,NO_MATCH_FOUND
A,555,ext·wikidata,A,《历代帝王像》,NO_MATCH_FOUND
A,556,ext·wikidata,A,The Story of Saint Paul（彼得·庫克·范·阿爾斯特，1520-01-01）,NO_MATCH_FOUND
A,557,ext·wikidata,A,The Life of Saint Peter（1460-01-01，丝绸）,NO_MATCH_FOUND
A,559,ext·wikidata,A,Seated Sekhmet-75.7（http://www.wikidata.org/.well-known/genid/2a1698304841255b886b2cf0d322,NO_MATCH_FOUND
A,563,原清单,A,和服女子,NO_MATCH_FOUND
A,567,原清单,A,鹦鹉与金鱼缸,NO_MATCH_FOUND
A,569,原清单,A,图坦卡蒙头像,NO_MATCH_FOUND
A,575,原清单,A,黄色基督,NO_MATCH_FOUND
A,576,原清单,A,绿色基督,NO_MATCH_FOUND
A,581,原清单,A,托马斯·杰斐逊肖像,NO_MATCH_FOUND
A,582,原清单,A,悲剧缪斯,NO_MATCH_FOUND
A,585,原清单,A,圣雷米风景,NO_MATCH_FOUND
A,586,原清单,A,吉努夫人肖像,NO_MATCH_FOUND
A,588,原清单,A,圣维克多山,NO_MATCH_FOUND
A,592,原清单,A,钱选花鸟卷,NO_MATCH_FOUND
A,595,原清单,A,阿岩之幽灵,NO_MATCH_FOUND
A,597,原清单,A,桃山时代武士铠甲,NO_MATCH_FOUND
A,601,原清单,A,塞普蒂米乌斯·塞维鲁胸像,NO_MATCH_FOUND
A,610,原清单,A,塔斯金大键琴,NO_MATCH_FOUND
A,622,原清单,A,博尔迪盖拉别墅,NO_MATCH_FOUND
A,623,原清单,A,祖阿夫士兵,NO_MATCH_FOUND
A,632,原清单,A,蒂凡尼彩色玻璃窗：秋景,NO_MATCH_FOUND
A,633,原清单,A,塞缪尔·亚当斯船长肖像,NO_MATCH_FOUND
A,635,原清单,A,维克多·雨果胸像,NO_MATCH_FOUND
A,638,原清单,A,武士主题丧葬石碑,NO_MATCH_FOUND
B,5,ext·官网,B,阿迪雷·埃莱科 女性缠腰布 Woman's wrapper: Adire Eleko（尼日利亚，20 世纪中期，棉平纹、木薯糊防染）,NO_TRANSLATION
B,7,ext·官网,B,书桌带书柜 Desk and bookcase（18 世纪中期，镶嵌木材与刻绘骨、maque 漆、金与彩绘、金属配件）,NO_TRANSLATION
B,8,ext·官网,B,17 世纪美国银质糖盒 Sugar box（新英格兰，银）,NO_TRANSLATION
B,9,ext·官网,B,17 世纪秘鲁装饰柜 Peruvian cabinet,NO_TRANSLATION
B,11,ext·官网,B,沉睡的农牧神 Sleeping Faun（大理石）,NO_TRANSLATION
B,12,ext·官网,B,公鸡形铜风向标 Weathercock（铜）,NO_TRANSLATION
B,13,ext·官网,B,日本浮世绘版画（弹弦乐器的女子，馆藏精选代表图）,NO_TRANSLATION
B,14,ext·官网,B,伊斯兰半月形釉砖 Tile lunette,NO_TRANSLATION
B,15,ext·官网,B,印度细密画（South and Southeast Asian Highlights 专辑代表作）,NO_TRANSLATION
B,19,ext·官网,B,罗马式雕刻柱础（罗慕路斯与雷穆斯题材）,NO_TRANSLATION
B,21,ext·官网,B,带盖椰壳杯 Covered coconut cup,NO_TRANSLATION
B,22,ext·官网,B,近埃克塞基亚斯 双耳瓶 Amphora（希腊古风时期，约公元前 540–530，黑绘陶）,NO_TRANSLATION
B,23,ext·官网,B,银质圣杯 Chalice（早期拜占庭，6 世纪，银）,NO_TRANSLATION
B,24,ext·官网,B,带盖石棺／大骨灰瓮 Sarcophagus or large urn with cover（伊特鲁里亚，公元前 3 世纪末，石灰岩）,NO_TRANSLATION
B,25,ext·官网,B,有翼丘比特像 Winged Cupid（罗马，大理石）,NO_TRANSLATION
B,26,ext·官网,B,达雅克族 Hudoq 面具（印度尼西亚婆罗洲，木、彩绘）,NO_TRANSLATION
B,27,ext·官网,B,太平洋四大文化圈综合陈列（印尼周边岛屿、波利尼西亚、美拉尼西亚、密克罗尼西亚）,NO_TRANSLATION
B,28,ext·官网,B,Charles-Joseph Sax 全音调圆号 Omnitonic Horn（1833，铜管）,NO_TRANSLATION
B,31,ext·官网,B,Hendrik Richters 双簧管 Oboe,NO_TRANSLATION
B,32,ext·官网,B,诺森伯兰风笛 Northumbrian bagpipe（19 世纪中期）,NO_TRANSLATION
B,33,ext·官网,B,Jean-Henri Naderman 踏板竖琴 Pedal harp,NO_TRANSLATION
B,34,ext·官网,B,狮首小提琴 Violin with lion-head scroll,NO_TRANSLATION
B,35,ext·官网,B,Joseph Kirckman 大键琴 Harpsichord,NO_TRANSLATION
B,36,ext·官网,B,海达族容器式摇响器 Vessel rattle（19 世纪，或为海达族制作）,NO_TRANSLATION
B,37,ext·官网,B,瓜纳卡斯特-尼科亚文化 球形笛 Vessel flute,NO_TRANSLATION
B,38,ext·官网,B,甘达族碗形里拉琴 Bowl lyre (ndongo)（乌干达）,NO_TRANSLATION
B,39,ext·官网,B,Emmanuel Venios 乌德琴 Lute ('ūd),NO_TRANSLATION
B,40,ext·官网,B,藏族胫骨号 Tibetan trumpet (rkang-gling)（19 世纪末）,NO_TRANSLATION
B,41,ext·官网,B,中国月琴 Yueqin（19 世纪末）,NO_TRANSLATION
B,42,ext·官网,B,日本筝 Koto,NO_TRANSLATION
B,43,ext·官网,B,缅甸金属排琴 Pat-tala（20 世纪初）,NO_TRANSLATION
B,44,ext·官网,B,斐济海螺号 Shell trumpet (davui)（19 世纪）,NO_TRANSLATION
B,45,ext·官网,B,《罗汉头像》Head of a Luohan（中国，11–12 世纪，夹纻漆）,NO_MATCH_FOUND
B,47,ext·wikidata,B,From the Back Window - 291（阿爾佛雷德·斯蒂格利茲，1915-01-01）,NO_MATCH_FOUND
B,48,ext·wikidata,B,Band of dervishes preparing and drinking an intoxicating draft（1610-01-01，纸）,NO_MATCH_FOUND
B,51,ext·wikidata,B,John Garo（尤瑟夫·卡希，1936-01-01）,NO_MATCH_FOUND
B,52,ext·wikidata,B,"Crucified Christ, diocese of Salzburg, early 11th c.（1050-01-01，木材）",NO_MATCH_FOUND
B,53,ext·wikidata,B,"Whitney Museum of American Art, Marcel Breuer, New York City（伊薩·史托勒，1966-01-01）",NO_MATCH_FOUND
B,54,ext·wikidata,B,Portrait of Matthew Stewart Prichard（亨利·马蒂斯，1914-08-01）,NO_MATCH_FOUND
B,55,ext·wikidata,B,"Portrait of Jan Brueghel I (1568-1625) and his family, after 1615（http://www.wikidata.org/",NO_MATCH_FOUND
B,56,ext·wikidata,B,A Kaag and a Smak in a Calm（Jan van de Cappelle，1653-01-01，油彩）,NO_MATCH_FOUND
B,58,ext·wikidata,B,Ericofon（愛立信，1955-01-01）,NO_MATCH_FOUND
B,59,ext·wikidata,B,Double Planetoid（莫里茨·科內利斯·埃舍爾，1949-01-01）,NO_MATCH_FOUND
