seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,原表tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
25,Silver wine cup with imperial emblem of pseudo-orchid,伪满兰花御纹章银酒杯,,藏品·宫廷文物,object,伪满宫廷餐具,4,6,7,4,5,7,0,7,9,8,7.800,6.130,,B,变,Core 6.130 落在 5.5–7.19,high,体量虽小且视觉冲击有限，但带有兰花御纹章并与伪满赤十字社及婉容施赐相关，能具体说明伪满宫廷制度与社会组织。,组内代表性最高：兼具婉容下赐、赤十字社成立节点、银质材质及兰花御纹章与机构标识，独特性最强。,
26,Artificial Manchurian Imperial Emblem Alloy Ring,伪满兰花御纹章浆汁斗,,藏品·宫廷文物,object,伪满宫廷餐具,4,5,6,5,5,5,0,6,8,6,6.600,5.410,,C,变,Core 5.410 < 5.5,high,这是带兰花御纹章的宫廷西餐调味器，能体现伪满宫廷生活方式，但器物功能常规、历史事件关联较弱。,组内独特性次高：作为带兰花御纹章的西餐浆汁斗，器形和使用场景区别于其余小型饮具与瓷盅，但历史指向性略弱。,
27,Pictorial of the Greater East Asian War,《大东亚战争画报》,,藏品·画报,object,日本军国主义宣传画报,1,8,8,6,7,9,0,9,9,10,9.200,7.820,,A,变,Core 7.820 落在 7.2–8.49,high,38册画报构成日本军国主义宣传和伪满形象制造的重要原始资料，对理解侵略战争、殖民统治与宣传机制具有很高叙事价值。,组内唯一对象，作为成套保存的日本军国主义战争宣传画报，典范性强且为本馆侵略宣传与伪满粉饰叙事提供不可替代的视觉证据。,
28,Memorial Medallion for the Investigation of Puppet Manchukuo Situation,伪满国势调查纪念章,,藏品·纪念章,object,伪满制度宣传纪念章,1,6,6,3,4,7,0,8,9,9,8.500,5.650,,B,变,Core 5.650 落在 5.5–7.19,high,小型铜质纪念章本身工艺与观赏性有限，但集中呈现伪满国势调查、资源控制和国家象征体系。,组内唯一对象，作为伪满国势调查制度宣传与资源掌控意图的直接纪念物，代表性和叙事补位价值均高。,
29,,景仁宫御用地毯,,藏品·宫廷文物,object,宫廷织物与地毯,1,7,8,4,7,8,0,8.5,9.5,8.5,8.800,7.130,,B,变,Core 7.130 落在 5.5–7.19,high,虽已残破，仍兼具清宫景仁宫来源、溥仪珍藏与逃亡携带等连续历史线索，是连接清代皇权、伪满宫廷和遗物流散史的重要实物。,组内唯一的宫廷织物，以景仁宫御用、康熙出生地关联及随溥仪进入伪满宫廷的特殊流传经历，代表性与非重复性均居本组最高。,
30,Jiugu Colorful Flower and Bird Plate,,,藏品·瓷器,object,日本近现代彩绘瓷器,1,5,4,5,5,4,0,6,8,5,6.400,4.740,,C,变,Core 4.740 < 5.5,low,仅有题名和瓷器类目，缺乏年代、作者、来源及具体展陈信息，按具有一定装饰价值但与本馆核心叙事关联未明的普通彩绘瓷器保守评分。,组内唯一的日本近现代彩绘瓷器，具备该类代表性但因缺少具体作者、年代与历史地位信息，品质和叙事补位价值取中等。,
31,,伪满黄釉“万寿”团纹盅,怀远楼二楼清宴堂,藏品·御纹章展新增文物,object,伪满宫廷餐具,4,5,6,5,5,6,0,6,6,7,6.200,5.520,,B,变,Core 5.520 落在 5.5–7.19,high,1935年伪满黄釉盅带有“万寿”团纹和康德年款，能说明伪满宫廷礼制与政治象征，但尺寸小、器物类型较常规。,组内居中：黄釉“万寿”团纹与“康德二年”款能补充伪满宫廷礼仪和纪年叙事，但同类宫廷瓷器的重复性较明显。,
32,,伪满黄釉“宫”字盅,怀远楼二楼清宴堂,藏品·御纹章展新增文物,object,伪满宫廷餐具,4,5,5,4,4,5,0,5,4,5,4.700,4.670,,C,变,Core 4.670 < 5.5,high,器物保存了伪满时期的黄釉、宫字和宫廷用器信息，但装饰简约、体量小，单件的历史和观赏冲击有限。,组内代表性最低：虽有黄釉及“宫”字等宫廷识别元素，但缺少明确事件或纪年信息，与同组宫廷盅的功能和形制重复度最高。,
33,,日本七宝烧黄地凤纹香炉,怀远楼二楼清宴堂,藏品·御纹章展新增文物,object,日本七宝烧器物,3,6,6,7,6,6,0,7.0,4.5,6.0,6.050,6.155,,B,变,Core 6.155 落在 5.5–7.19,high,明黄色有线七宝烧香炉工艺精细、凤凰图案醒目，能体现日本近代工艺及其进入伪满宫廷的文化联系。,组内代表性最低：虽有1936年纪年和有线七宝烧工艺，但体量较小且凤纹主题与13号瓶重复，因而D明显下调。,
34,,日本七宝烧翠竹三鸡纹盘口瓶,怀远楼二楼清宴堂,藏品·御纹章展新增文物,object,日本七宝烧器物,3,6,6,8,8,6,0,8.0,7.0,7.0,7.500,6.750,,B,变,Core 6.750 落在 5.5–7.19,high,成对且高达41厘米，翠竹与三鸡纹样及渐变珐琅地带来较强现场视觉效果，同时体现日本近现代七宝工艺与宫廷陈设。,组内次位：体量最大且以翠竹、雌雄鸡与小鸡构成较完整的图像组合，独特性高于香炉但不及凤纹瓶的典范集中度。,
35,,从皇帝到公民,,基本陈列·常设展览,node,伪满皇宫常设历史展览,1,8,9,7,8,9,7,9.5,10,10,9.750,8.275,,A,变,Core 8.275 落在 7.2–8.49,high,以溥仪五个人生阶段串联清末、伪满、战犯改造和公民经历，680平方米展厅、421张照片与260余件文物构成理解本馆核心历史的完整叙事节点。,组内唯一对象，作为全馆核心基本陈列，全面串联溥仪五个人生阶段并补足伪满宫廷与东北沦陷史的主线叙事，代表性和不可替代性最高。,
36,,同德殿,同德殿,原状陈列·常设展览,node,伪满皇宫建筑原状陈列,1,8,10,9,9,9,10,9,9,9,9.000,9.150,,S,变,Core 9.150，峰值 10.0，S-ness 3/3,high,同德殿是伪满宫廷遗址中保存的重要原状建筑，集中呈现日式、中国宫殿式与西方折中主义，并以“一德一心”直接揭示日本操纵伪满的政治象征。,组内唯一对象，同德殿是伪满宫廷原状建筑的代表性核心，兼具中日西折中建筑特征并补足傀儡政权宫廷生活叙事。,同德殿是伪满宫廷核心建筑，兼具原状空间、傀儡政权象征及独特建筑语汇；两小时内仍应安排，错过会明显可惜，消失会明显削弱本馆的宫廷遗址身份。
37,,勤民楼,勤民楼,原状陈列·常设展览,node,伪满皇宫核心宫殿建筑,3,8.5,9.5,8,8.5,9,9,9.2,8.7,9.2,9.050,8.805,,S,变,Core 8.805，峰值 9.5，S-ness 3/3,high,勤民楼是伪满时期处理政务、举行典礼和接待来宾的核心场所，建筑原址和原状陈列直接承载傀儡政权运作史。,组内综合代表性居首，与缉熙楼并列核心，但其政务与典礼功能使其在伪满政权运作叙事中最具代表性。,勤民楼直接对应伪满政权的政务、典礼与统治功能，是宫廷遗址的政治核心之一；两小时内仍应安排，错过会明显可惜，消失会明显损害本馆作为伪满宫廷旧址的身份。
38,,缉熙楼,缉熙楼,原状陈列·常设展览,node,伪满皇宫核心宫殿建筑,3,8.5,9.5,8,9,8.5,9,9.4,9.4,9.3,9.380,8.838,,S,变,Core 8.838，峰值 9.5，S-ness 3/3,high,缉熙楼是溥仪及后妃寝宫，生活空间保存使伪满宫廷的私人权力与日常生活具有强烈现场感。,组内独特性与综合代表性居首，作为溥仪及后妃寝宫，最集中呈现伪满宫廷的私人生活与宫廷空间。,缉熙楼是溥仪及后妃的寝宫，提供不可替代的宫廷生活与人物空间证据；两小时内仍应安排，错过会明显可惜，消失会使本馆失去重要的宫廷居住遗址特征。
39,,伪满政权官吏展,,基本陈列·常设展览,node,伪满洲国统治叙事展览,1,8,8.5,5.5,7,9.5,7,8.8,9.5,9.2,9.090,7.809,,A,变,Core 7.809 落在 7.2–8.49,high,展览集中解释伪满官僚体系、汉奸群体和日本控制机制，是理解傀儡政权本质的重要叙事节点，但视觉冲击主要依赖展陈内容。,组内唯一对象，直接呈现伪满官吏群体及日本控制下的傀儡统治机制，在伪满政权叙事中具有不可替代的代表性。,
40,,“东御花园”,“东御花园”,原状陈列·常设展览,node,伪满皇宫庭园景观,2,7,7.5,8,8,7,8,8.5,8.5,8.5,8.500,7.650,,A,变,Core 7.650 落在 7.2–8.49,high,东御花园是伪满皇宫最大的园林，保留日本造园影响及宫廷休闲空间特征，现场尺度、景观和殖民文化信息较突出。,组内代表性更强：东御花园规模最大且有仿长白山假山、人工瀑布等独特景观，是庭园类的首要代表。,
41,,“御用防空洞”,“御用防空洞”,原状陈列·常设展览,node,伪满皇宫战争与防护遗迹,1,7.5,8.5,8,8.5,8.5,9,9,10,9,9.300,8.405,,A,变,Core 8.405 落在 7.2–8.49,high,御用防空洞保存宫廷专用防护设施，具体呈现战争威胁、统治者特权和伪满末期历史情境，现场体验鲜明。,组内唯一对象，作为伪满宫廷战争防护遗迹的典型原状陈列，独特性与叙事补位价值均居首位。,
42,,“御用游泳池”,“御用游泳池”,原状陈列·常设展览,node,伪满皇宫特殊功能空间,1,6.5,7,6.5,7.5,8,8,8.5,9.5,9.5,9.000,7.375,,A,变,Core 7.375 落在 7.2–8.49,high,御用游泳池体现宫廷生活的现代化与特殊待遇，同时关联逃亡前焚毁档案和影像的关键事件，叙事价值高于其形制本身。,组内唯一的特殊功能空间，兼具宫廷生活展示与溥仪逃亡前焚毁档案的关键历史现场，代表性和叙事补位价值均居组内首位。,
43,,“建国神庙”,“建国神庙”,原状陈列·常设展览,node,伪满洲国国家神道遗存,2,8.5,9.5,6.5,8,9.5,9,9,8.8,8.5,8.840,8.559,,S,变,Core 8.559，峰值 9.5，S-ness 3/3,high,建国神庙遗址直接揭示日本以天照大神构造伪满国家神道和思想统治，虽仅存基石，但在本馆历史叙事中不可替代。,组内核心代表，建国神庙是国家神道遗存的主体与意识形态象征，独特性和叙事补位价值均高于防空洞。,“建国神庙”遗址是伪满国家神道化与日本殖民统治的独特实物见证，虽仅存基石仍应纳入两小时核心线路；错过会明显可惜，消失会明显削弱本馆对伪满意识形态统治的独特指示性。
44,,“天照大神”防空洞,“天照大神”防空洞,原状陈列·常设展览,node,伪满洲国国家神道遗存,2,7.5,8,6.5,7,8.5,8,7.5,5.5,6.5,6.700,7.495,,A,变,Core 7.495 落在 7.2–8.49,high,该防空洞兼具战争防护与神道祭祀功能，具体呈现伪满意识形态如何进入宫廷仪式空间，遗存稀有但视觉规模有限。,组内次位，是建国神庙祭祀体系的配套遗存，虽具防空与神道结合的特色，但相对主体神庙重复度较高。,
45,,书画楼,书画楼,原状陈列·常设展览,node,伪满皇宫附属宫廷建筑,2,7,7.5,6.5,6.5,7.5,7,8,8.5,7.5,8.050,7.130,,B,变,Core 7.130 落在 5.5–7.19,high,书画楼是溥仪收藏清宫古籍书画的专门空间，具有清宫文物流散和伪满宫廷收藏史价值，但原藏国宝已散失。,组内代表性首位，兼具清宫珍藏旧址与国宝散失的独特历史叙事，对宫廷文化与文物流散主题补位明显。,
46,,怀远楼,怀远楼,原状陈列·常设展览,node,伪满皇宫核心宫殿建筑,3,7.5,8.5,7,7,8,8,8.1,7.1,8.8,7.940,7.719,,A,变,Core 7.719 落在 7.2–8.49,high,怀远楼兼具祖先祭祀和政务辅助功能，内部空间反映伪满宫廷制度与清朝遗民意识，是核心建筑群的重要补充。,组内综合代表性居后，虽以祭祖空间补足皇权礼制叙事，但相较勤民楼、缉熙楼的核心政务与生活功能重复性更高。,
47,,“西御花园”,“西御花园”,原状陈列·常设展览,node,伪满皇宫庭园景观,2,6.5,6.5,7.5,7.5,6.5,7,7.5,6.5,7.5,7.200,6.920,,B,变,Core 6.920 落在 5.5–7.19,high,西御花园保存伪满初期宫廷休闲园林格局，景观体验较好，但规模和历史叙事强度均低于东御花园。,组内次于东御花园：西御花园保留早期宫廷游憩空间及亭、山、水相映的园林格局，但规模与独特景观层次较弱。,
48,,植秀轩,植秀轩,原状陈列·常设展览,node,伪满皇宫附属宫廷建筑,2,6,6,6,6.5,6.5,6.5,6.5,5.5,5.5,6.000,6.200,,B,变,Core 6.200 落在 5.5–7.19,high,植秀轩集中反映宫廷家庭、内廷教育和日常生活变迁，具有补充性现场价值，但在整体宫殿叙事中的代表性和冲击力有限。,组内代表性次位，主要体现内廷日常生活与家庭空间功能，虽有居住和储藏记忆，但与其他宫廷生活场景的叙事重复度较高。,
49,,畅春轩,畅春轩,原状陈列·常设展览,node,伪满皇宫原状陈列空间,5,7.5,8.5,7,7.5,8,8.5,8,8.5,8.5,8.250,7.875,,A,变,Core 7.875 落在 7.2–8.49,high,原状保留的宫廷居所兼具载沣来访、谭玉龄居住及停灵等具体历史叙事，是理解伪满宫廷私人生活的重要空间。,组内第二：畅春轩以载沣来访、谭玉龄居住及停灵等宫廷家庭与人物史事，代表性仅次于宫内府且与其互补。,
50,,宫内府,宫内府,原状陈列·常设展览,node,伪满皇宫原状陈列空间,5,8,8.5,7.5,7,9,8.5,8.5,9,9,8.750,8.150,,A,变,Core 8.150 落在 7.2–8.49,high,宫内府是伪满宫廷核心行政机构所在地，建筑兼具中式院落与日式风格，能具体解释傀儡政权的宫廷运作和日本控制。,组内首位：宫内府兼具伪满宫廷核心行政机构与中日混合建筑特色，承担制度叙事中的独特一环。,
51,,兰徽幻影——溥仪“御纹章”文物展,怀远楼二楼清宴堂,专题陈列·馆内专题展（文章）,node,伪满宫廷器物专题陈列,1,7.5,8,7.5,7.5,8.5,6.5,8.5,9.5,9,8.900,7.790,,A,变,Core 7.790 落在 7.2–8.49,high,展览以兰花御纹章、明黄色器物和日常用品呈现伪满皇权符号及傀儡生活，主题与本馆身份高度贴合，但属于专题陈列而非遗址原状空间。,组内唯一对象，直接聚焦溥仪“兰花御纹章”及其宫廷日常器物，代表性与不可替代性最高，并补足伪满宫廷权力象征和傀儡生活叙事。,
52,,西厢房,西厢房,原状陈列·2023 年馆方导览,node,伪满皇宫原状陈列空间,5,6.5,7,6.5,6.5,6.5,7,6.5,4.5,5.5,5.700,6.570,,B,变,Core 6.570 落在 5.5–7.19,medium,西厢房是宫廷旧址参观路线中的原状空间，具有遗址真实性和整体宫廷格局价值，但现有资料未显示其承载特别突出的独立事件。,组内第四：西厢房属于厢房类常规游览节点，与南厢房高度同质，组内非首要代表。,
53,,南厢房,南厢房,原状陈列·2023 年馆方导览,node,伪满皇宫原状陈列空间,5,6.5,7,6.5,6.5,6.5,7,6.5,3.5,5,5.300,6.530,,B,变,Core 6.530 落在 5.5–7.19,medium,南厢房属于宫廷旧址原状陈列序列，能补充理解宫苑空间组织，但官方导览未提供足够的独立历史功能或事件信息。,组内末位：南厢房与西厢房功能和导览定位近似，缺少可单独突出的代表性，重复度最高。,
54,,嘉乐殿,嘉乐殿,原状陈列·2023 年馆方导览,node,伪满皇宫原状陈列空间,5,7,7.5,7,7,7,7.5,7.5,6.5,6.5,7.000,7.150,,B,变,Core 7.150 落在 5.5–7.19,medium,嘉乐殿是宫廷旧址中的原状空间，具有较好的建筑现场感和路线代表性，但现有简介对其具体历史功能说明有限。,组内第三：嘉乐殿具有一定宫廷空间代表性，但相较宫内府和畅春轩的制度、人物史事，独特叙事辨识度较弱。,
55,,卤簿车库,卤簿车库,展区·2023 年馆方导览,node,伪满皇宫外围配套展区,4,5.5,5.5,6.5,6.5,5.5,6,6.5,7,7,6.750,5.975,,B,变,Core 5.975 落在 5.5–7.19,medium,卤簿车库属于宫廷外围配套展区，可能补充交通与仪仗生活信息，现场吸引力尚可，但不是宫廷遗址核心节点。,组内居第二，卤簿车库直接关联宫廷仪仗与出行，宫廷语境突出但与其他配套设施仍有一定重复。,
56,,百年机车馆,百年机车馆,展区·2023 年馆方导览,node,伪满皇宫外围配套展区,4,6,5.5,7,7,6,6,7,8.5,7,7.450,6.345,,B,变,Core 6.345 落在 5.5–7.19,medium,百年机车馆具备较强的实物尺度和视觉吸引力，可拓展近现代交通史叙事，但与伪满宫廷核心身份的直接关联较弱。,组内综合代表性最高，机车馆以交通工业与东北近现代历史的独特线索明显区别于其他宫廷配套展区。,
57,,御用跑马场,御用跑马场,展区·2023 年馆方导览,node,伪满皇宫外围配套展区,4,5.5,5.5,7,6.5,5.5,6.5,6,5.5,6.5,5.950,6.020,,B,变,Core 6.020 落在 5.5–7.19,medium,御用跑马场提供开阔的宫廷生活场景和空间体验，但现有资料缺少具体事件与遗产价值说明，主要优势在现场感。,组内居第三，御用跑马场补充宫廷休闲生活叙事，但相较车库和机车馆的历史信息独特性较弱。,
