seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,原表tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
11,,黄金葬仪面具 Funerary Mask（巴拿马，公元 700–1520 年，金合金）,"Level LG, Gallery LG33 — Pre-Columbian Gold and Andean Civilizations 前哥伦布黄金与安第斯文明",,object,巴拿马前哥伦布黄金器,1,7.5,6.5,8.5,8,7.5,0,7.5,8,6.5,7.450,7.470,S,A,变,Core 7.470 落在 7.2–8.49,medium,巴拿马前哥伦布黄金葬仪面具具有鲜明的仪式与死亡文化含义，金质视觉吸引力很强，但在MFA整体身份中的不可替代性低于日本、埃及和美国艺术藏品。,组内唯一的巴拿马前哥伦布黄金葬仪面具，作为单件代表填补前哥伦布黄金与葬仪文化叙事，但在MFA整体百科收藏中仍属相对边缘板块。,
12,,Henri Hemsch 大键琴 Harpsichord（约 1736，杨木）,"Level 1, Gallery 103 — Musical Instruments 乐器展厅",,object,法国十八世纪大键琴,1,7.5,6.5,7,6.5,7.5,0,8,8.5,5.5,7.650,7.040,S,B,变,Core 7.040 落在 5.5–7.19,medium,这件十八世纪法国大键琴能说明欧洲宫廷音乐、工艺与乐器技术史，并依托MFA较强的乐器收藏展出，但并非全馆最具标志性的对象。,组内唯一对象，作为约1736年的法国大键琴代表，品质与历史典范性较高，且在本组中无重复项；但对MFA核心日本、埃及及美国艺术叙事的补位作用相对有限。,
13,,Georgia O'Keeffe《Deer Skull with Pedernal》带佩德纳尔山的鹿头骨（布面油画）,"Level 3, Gallery 327 — 20 世纪美国艺术（曾为 Women Take the Floor 展区）",,object,美国现代主义油画,12,8.5,8.0,8.0,8.0,7.5,0,9.2,9.5,9.5,9.350,8.160,S,A,变,Core 8.160 落在 7.2–8.49,high,奥基夫是美国现代主义的核心艺术家，此作以鹿头骨与佩德纳尔山构成其标志性主题，并受益于使MFA现代主义收藏跻身全美前列的Lane捐赠。,组内代表性首位：奥基夫是美国现代主义与MFA美国艺术叙事的核心艺术家，此作的个人风格和馆藏身份均最突出。,
14,,阿迪雷·埃莱科 女性缠腰布 Woman's wrapper: Adire Eleko（尼日利亚，20 世纪中期，棉平纹、木薯糊防染）,"Level 1, Gallery 171 — African Art 非洲艺术",,object,西非约鲁巴防染纺织品,1,6.5,3.5,7.0,6.5,7.5,0,7.5,8.0,5.5,7.250,6.050,S,B,变,Core 6.050 落在 5.5–7.19,medium,阿迪雷埃莱科代表约鲁巴女性工匠的木薯糊防染传统，图案和工艺具有视觉吸引力及较强教育价值，但在MFA非洲收藏中并非决定性镇馆品。,组内唯一的约鲁巴阿迪雷·埃莱科纺织品，因无同类重复而具较高代表性，但在MFA整体叙事中仅补充西非女性工艺与防染传统。,
15,,Gerrit Dou《Dog at Rest》憩息的狗（1650，板上油画）,"Level 2, Gallery 242 — Art of the Netherlands in the 17th Century 17 世纪荷兰艺术",,object,17世纪荷兰绘画,7,7.0,4.5,6.0,6.5,6.5,0,8,8,7.5,7.900,6.165,S,B,变,Core 6.165 落在 5.5–7.19,high,杜的精细画技和17世纪荷兰艺术史地位可靠，但《憩息的狗》属于题材较小的动物画，在MFA新近扩充的荷兰绘画收藏中更像优质代表作而非核心名作。,组内综合代表性最高之一，以杜氏精细画风及少见的动物题材区别于其余荷兰绘画，并能强化MFA的17世纪荷兰艺术叙事。,
16,,John Singleton Copley《Paul Revere》保罗·里维尔像（1768，布面油画）,Art of the Americas Wing 美洲艺术翼（Level 1）,,object,美国殖民地肖像油画,1,8.5,9.0,7.5,8.5,9.0,0,9.5,10,9.5,9.650,8.665,S,S,,Core 8.665，峰值 9.0，S-ness 3/3,high,这是科普利最著名的殖民地肖像之一，将保罗·里维尔的工匠身份、个人形象与美国革命前社会语境集中呈现，也是MFA美国艺术身份的关键作品。,组内唯一对象，且为美国殖民地肖像油画的典范性名作，在MFA美国艺术叙事中具有不可替代的代表位置。,S：保罗·里维尔像是美国殖民地肖像与MFA美国艺术身份的标志性作品；两小时应看，错过明显可惜，失去它会直接削弱美国艺术馆藏的代表性。
17,,奥尔梅克肖像面具 Portrait mask（中期形成期，公元前 900–600 年，含黑色包裹体的硬玉）,Art of the Americas Wing 美洲艺术翼（Level LG，Ancient Americas）,,object,奥尔梅克玉石雕刻,1,8.5,6.0,8.5,8.0,8.5,0,8.5,9,7.5,8.450,7.795,S,A,变,Core 7.795 落在 7.2–8.49,medium,中期形成期奥尔梅克硬玉面具体现古代美洲高度成熟的肖像性雕刻与玉石文化，沉静写实的面容具有现场冲击力，但古代美洲并非MFA最具不可替代性的核心板块。,组内唯一的奥尔梅克玉石雕刻，且以中期形成期肖像面具和写实沉静的面部刻画代表古代美洲文明叙事，因而独特性与补位价值较高。,
18,,书桌带书柜 Desk and bookcase（18 世纪中期，镶嵌木材与刻绘骨、maque 漆、金与彩绘、金属配件）,Art of the Americas Wing 美洲艺术翼（Colonial Latin American Art）,,object,殖民地拉丁美洲家具,2,7.0,4.5,7.5,7.0,7.5,0,8.0,8.5,7.5,8.050,6.630,S,B,变,Core 6.630 落在 5.5–7.19,high,这件书桌带书柜以墨西哥maque漆、骨刻、金和彩绘融合欧洲形制与拉美工艺，装饰效果突出且能解释殖民文化交流，但不属于MFA身份的首要收藏。,组内代表性首位：兼具拉丁美洲 maque 漆、骨雕镶嵌与欧洲书桌柜形制，装饰与工艺组合较秘鲁柜更独特。,
19,,Frida Kahlo《Dos Mujeres (Salvadora y Herminia)》两个女人（1928，布面油画）,Art of the Americas Wing 美洲艺术翼（Level 3，20 世纪美洲艺术）,,object,墨西哥现代主义油画,1,8.5,8.0,7.5,8.5,8.5,0,8.5,9.5,8.5,8.800,8.255,S,A,变,Core 8.255 落在 7.2–8.49,high,作为卡罗现存最早的正式作品之一，此画同时涉及原住民女性、家庭社会结构与墨西哥现代主义，并是MFA美国公立博物馆首件卡罗油画的标志性收藏。,组内唯一对象，且作为卡罗现存最早的正式作品之一及MFA首幅卡罗油画，在墨西哥现代主义叙事中具有最高的代表性与不可重复性。,
20,,John Singer Sargent《The Daughters of Edward Darley Boit》博伊特家的女儿们（1882，布面油画）,Art of the Americas Wing 美洲艺术翼（Level 2）,,object,美国19世纪肖像油画,6,9.5,10.0,10.0,10.0,9.0,0,10,10,9.5,9.900,9.740,S,S,,Core 9.740，峰值 10.0，S-ness 3/3,high,《博伊特家的女儿们》是萨金特最具国际知名度的作品之一，幽深室内构图和四姐妹形象构成MFA最具辨识度的镇馆体验之一。,组内代表性绝对第一：萨金特名作，也是MFA美国艺术叙事中不可替代的19世纪肖像核心。,S：这是MFA最具辨识度的萨金特作品之一，也是美国艺术翼的核心图像；两小时必应安排，错过和失去都会明显损害本馆身份。
21,,Mary Cassatt《In the Loge》包厢里（1878，布面油画）,Art of the Americas Wing 美洲艺术翼（Paintings of the Americas）,,object,美国印象派油画,6,8.5,7.5,8.0,8.0,8.5,0,9.2,9.5,8.8,9.210,8.171,S,A,变,Core 8.171 落在 7.2–8.49,high,卡萨特以包厢观看场景处理性别、凝视与现代都市生活，是美国印象派的重要作品；其主题易于理解，也契合MFA强势的印象派与美国艺术叙事。,组内首位：卡萨特是美国印象派中最具国际地位的女性艺术家之一，此作兼具典范性与“观看”主题的鲜明独特性。,
22,,17 世纪美国银质糖盒 Sugar box（新英格兰，银）,Art of the Americas Wing 美洲艺术翼（Decorative Arts of the Americas）,,object,殖民地美国银器,1,7.0,5.5,6.5,6.0,7.5,0,8,9,7,8.100,6.585,S,B,变,Core 6.585 落在 5.5–7.19,medium,17世纪新英格兰带锁糖盒以精致银工和昂贵进口糖的储藏用途说明殖民社会的财富与消费制度，但单件视觉规模和全馆稀缺性有限。,组内唯一对象，作为17世纪新英格兰精致银器与殖民地奢侈消费文化的代表，暂无同组重复项可分散其独特性。,
23,,玛雅筒形彩绘陶瓶 Maya cylinder vase,Level LG — Ancient Americas 古代美洲展厅,,object,玛雅彩绘陶器,1,8.0,5.5,7.5,7.5,8.5,0,8.5,8.5,6.5,8.100,7.310,S,A,变,Core 7.310 落在 7.2–8.49,medium,玛雅贵族可可礼器将宫廷场景、象形文字与仪式消费结合，具有很强的文明解释力和图像吸引力，但在MFA百科全书式古代美洲展厅中仍属一类重要代表。,组内唯一的玛雅彩绘陶器，以贵族饮用可可、宫廷场景及象形文字兼具器物与叙事代表性，重复性最低；同时补足MFA古代美洲文明叙事中的玛雅环节。,
24,,17 世纪秘鲁装饰柜 Peruvian cabinet,Art of the Americas Wing — Colonial Latin American Art 殖民地拉美艺术,,object,殖民地拉丁美洲家具,2,6.5,4.5,8.0,7.0,7.5,0,7.5,6.5,7.5,7.200,6.520,S,B,变,Core 6.520 落在 5.5–7.19,medium,秘鲁装饰柜的繁复镶嵌具有显著视觉效果，并能说明西班牙家具形制与安第斯工艺的融合，但现有信息不足以支持其为该领域的顶尖孤例。,组内代表性次位：秘鲁西班牙形制与安第斯镶嵌工艺具有地域价值，但与殖民地拉美装饰柜的同类特征重复度较高。,
25,,Maria Montoya Martinez（Poveka）与 Julian Martinez 黑陶碗 Bowl,Level LG — Native North American Art 北美原住民艺术展厅,,object,普韦布洛黑陶,1,8,6.5,7,7.5,8,0,8.5,9,7.5,8.450,7.445,S,A,变,Core 7.445 落在 7.2–8.49,medium,圣伊尔德丰索夫妇以“黑上黑”工艺复兴普韦布洛制陶传统，具有国家级原住民艺术与文化教育意义，但单件对MFA全馆身份的不可替代性有限。,组内唯一对象，且代表圣伊尔德丰索普韦布洛“黑上黑”陶艺复兴的经典传统，在本馆普韦布洛黑陶叙事中具有最高的独特性与代表性。,
26,,Loïs Mailou Jones《Hudson》肖像,Art of the Americas Wing — Artists of African Descent 非裔艺术家专题,,object,非裔美国人现代绘画,1,6.5,5.5,5.5,5.5,7,0,7.5,8.0,7.5,7.650,6.140,S,B,变,Core 6.140 落在 5.5–7.19,medium,琼斯作为哈莱姆文艺复兴相关画家和非裔美国人艺术教育者具有历史价值，但现有资料缺少该幅《Hudson》的年代、风格和作品地位信息。,组内唯一的非裔美国人现代绘画对象，作为哈莱姆文艺复兴画家琼斯的作品具有较高代表性，并补足MFA非裔艺术家专题中的现代绘画叙事。,
27,,Childe Hassam《Boston Common at Twilight》黄昏的波士顿公园（1885–86，布面油画）,Art of the Americas Wing — Boston Artists 波士顿画家专题,,object,美国印象派油画,6,8,8,8,8.5,7.5,0,8.8,8.2,9.0,8.660,8.066,S,A,变,Core 8.066 落在 7.2–8.49,high,这是哈萨姆早期代表作，以雪后黄昏的波士顿公共空间连接美国印象派、本地城市史与MFA的美国艺术身份，且具有很强的现场观赏吸引力。,组内第二：哈萨姆是美国印象派的重要代表，且本作同时承担波士顿地方艺术史与MFA美国艺术叙事的核心补位。,
28,,沉睡的农牧神 Sleeping Faun（大理石）,Art of the Americas Wing — Sculpture of the Americas 美洲雕塑专题,,object,美国新古典主义雕塑,1,6,5,7,6.5,6,0,7,8.5,6,7.250,6.100,S,B,变,Core 6.100 落在 5.5–7.19,medium,大理石农牧神题材体现19世纪美国新古典主义与古典传统的转译，形体展示力较强，但在MFA美国艺术整体中属于重要的常规精品而非身份核心。,组内唯一的美国新古典主义雕塑，题材承接古罗马经典并体现美国19世纪雕塑实践，因本馆同类无可替代对象而获高D。,
29,,公鸡形铜风向标 Weathercock（铜）,Art of the Americas Wing — Folk Art of the Americas 美洲民间艺术专题,,object,新英格兰民间风向标,1,6,5.5,7,6.5,6.5,0,7,8.5,7,7.450,6.320,S,B,变,Core 6.320 落在 5.5–7.19,medium,公鸡形风向标兼具实用功能、建筑标志性和新英格兰民间金工特征，具有良好的地方文化叙事与视觉辨识度，但单件稀缺性有限。,组内唯一对象，作为新英格兰民间金工与建筑身份标志的代表器型，具有较高的类别独特性，并补足美国民间艺术叙事中的实用工艺一环。,
30,,橡树山卧室 Oak Hill Bedroom（时期房间，含带帐幔的四柱床）,"Level 1, Gallery 121 — Period Rooms 时期房间（Oak Hill 等）",,node,美国联邦时期完整时期房间,1,7,7,8.5,8,8.5,8.5,8.5,9,8,8.550,7.905,S,A,变,Core 7.905 落在 7.2–8.49,high,整套从塞勒姆Oak Hill宅移建的联邦式卧室及其家具构成完整空间样本，能够沉浸式呈现19世纪初新英格兰上层居住方式。,组内唯一对象，作为整体移建且保留完整居住语境的联邦时期卧室，在本馆同类中具有明显的代表性与非重复性。,
31,,葛饰北斋《凯风快晴（赤富士）》Red Fuji（约 1830–31，《富岳三十六景》之一，多色木版画）,Art of Asia 亚洲艺术（Level 1–2 各亚洲展厅）,,object,日本浮世绘版画,2,9.5,9.5,8.5,9.5,8.5,0,10,10,9,9.800,9.230,S,S,,Core 9.230，峰值 9.5，S-ness 3/3,high,《赤富士》是浮世绘最具全球传播力的图像之一，既是北斋的代表作，也高度契合MFA世界顶尖日本艺术与版画收藏的身份。,组内首位：北斋《赤富士》是浮世绘最具典范性且全球辨识度最高的图像之一，在MFA日本艺术叙事中具有核心代表性。,S：赤富士是浮世绘最具普及度的图像之一，并依托MFA无可替代的日本艺术收藏；两小时应看，错过明显可惜，失去它会削弱日本馆藏的象征性。
32,,（传）宋徽宗《捣练图》Court ladies preparing newly woven silk（北宋，12 世纪初，绢本设色泥金）,Art of Asia 亚洲艺术（中国绘画）,,object,中国古代人物画（唐宋传统）,1,8.5,9.5,7.5,7,9,0,9.2,9.5,9.0,9.250,8.525,S,S,,Core 8.525，峰值 9.5，S-ness 3/3,high,这件传为宋徽宗摹唐张萱原作的北宋人物画名卷，是MFA中国绘画收藏的镇馆作品，能够集中解释唐宋宫廷绘画传统及其传摹史。,组内唯一对象，作为传宋徽宗摹唐张萱的唐宋人物画名卷，在MFA中国绘画叙事中具有最高的典范性与不可替代性。,S：这是MFA中国古代人物画收藏的镇馆级作品，兼具稀有性、历史分量和馆藏代表性；三项均为真。
33,,高丽鎏银执壶 Ewer（朝鲜，高丽王朝，12 世纪，局部鎏金银器、镌刻装饰）,Art of Asia 亚洲艺术（Arts of Korea 韩国艺术展厅）,,object,高丽金属工艺器,1,8.5,7.5,7.5,7,8.5,0,8.5,9,7.5,8.450,7.870,S,A,变,Core 7.870 落在 7.2–8.49,high,12世纪高丽鎏银执壶体现朝鲜王朝早期高水平金属工艺，兼具精细装饰、宫廷器物史和MFA重要韩国收藏脉络的价值。,组内唯一的高丽金属工艺器，兼具12世纪高丽鎏银金工的代表性与本馆同类藏品的稀缺性，因此D取高；其补足韩国艺术及东亚金工叙事，但在MFA整体核心板块中的补位价值略低于日本、埃及或美国艺术。,
34,,《Maharana Sangram Singh Enjoys the Monsoon》桑格拉姆·辛格享受季风（印度拉贾斯坦，约 1720–25，纸本不透明水彩）,Art of Asia 亚洲艺术（南亚绘画）,,object,印度拉贾斯坦细密画,2,8,7.5,7.5,7.5,8,0,8,6.5,7.5,7.450,7.670,S,A,变,Core 7.670 落在 7.2–8.49,high,梅瓦尔王室细密画以季风中的君主生活呈现拉贾斯坦宫廷文化，艺术完成度和叙事性较强，并连接MFA重要的Ross-Coomaraswamy拉杰普特绘画收藏。,组内品质较高但相较尼哈尔·昌德的克里希纳—拉妲经典题材，其梅瓦尔宫廷雨季场景的代表性与不可重复性略居次位。,
35,,《古兰经》残叶 Leaf of a Qur'an（9–10 世纪，犊皮纸上墨、金与颜料）,"Art of Asia 亚洲艺术（Level 1, Gallery 175 伊斯兰艺术）",,object,早期伊斯兰古兰经抄本,1,8.5,7.5,7,6.5,8.5,0,8.5,8.2,6.5,8.010,7.676,S,A,变,Core 7.676 落在 7.2–8.49,high,9至10世纪库法体《古兰经》残叶具有早期伊斯兰书写、宗教传播和抄本工艺的重要性，但残片形态使其视觉冲击和普通游客的即时吸引力较为有限。,组内唯一的早期库法体《古兰经》残叶，兼具9—10世纪年代与犊皮纸、金彩工艺的代表性，但在MFA整体叙事中属于重要而非最核心的伊斯兰板块。,
36,,日本浮世绘版画（弹弦乐器的女子，馆藏精选代表图）,Art of Asia 亚洲艺术（日本版画）,,object,日本浮世绘版画,2,6.5,6.5,6.5,6.5,6.5,0,6.5,3,5,5.150,6.365,B,B,,Core 6.365 落在 5.5–7.19,low,现有信息仅能确认其为MFA日本版画精选中的代表性浮世绘，缺少作者、年代和具体作品地位，因此按日本版画馆藏中的常规精品评估。,组内次位：作为日本版画常规题材的馆藏代表可补充浮世绘类型叙事，但与同类版画重复度较高，独特性明显低于《赤富士》。,
37,,日本艺术馆藏精选代表作（Japanese Collection Highlights 专辑封面作品）,Art of Asia 亚洲艺术（日本艺术精选）,,object,日本艺术精选代表图像（未指明单件）,1,2,1,2,2,3,0,8.5,9,9.5,8.850,2.585,B,C,变,Core 2.585 < 5.5,low,条目明确是精选专辑封面而非可核对的单件实物，不能把MFA日本收藏整体的重要性转嫁给这张图。,组内唯一对象，作为MFA日本艺术精选的总括性代表图像，在本馆日本艺术叙事中具有最高的类别代表性与补位价值。,
38,,中国书画册页（Chinese Collection Highlights 专辑代表作）,Art of Asia 亚洲艺术（中国书画）,,object,中国书画精选代表图像（未指明单件）,1,2.5,1.5,2,2.5,3.5,0,7.5,8,8.5,7.850,2.860,B,C,变,Core 2.860 < 5.5,low,这是中国收藏精选专辑的代表图像而非身份、年代和作者明确的单件展品，现场体验与艺术史价值均无法按某件名作计。,组内唯一对象，作为MFA中国书画精选的代表性入口具有较高独特性与叙事补位价值，但因未指明具体单件作品，典范性略低于可明确核定的馆藏名作。,
39,,翁万戈收藏 明清书画四条屏（Wan-go H. C. Weng Collection 代表作）,Art of Asia 亚洲艺术（翁万戈收藏）,,object,明清中国书画,1,7,7,7,6.5,8,0,8.8,9.3,9.2,9.030,7.278,S,A,变,Core 7.278 落在 7.2–8.49,medium,翁万戈捐赠在MFA中国书画史上极其重要，四条屏又能呈现明清书画的装裱与连续构图，但未提供具体作者和作品信息。,组内唯一对象，代表翁万戈收藏这一MFA中国书画核心板块，因无同组重复项而具最高独特性与叙事补位价值。,
40,,高丽青瓷镶嵌竹鹤纹梅瓶（13 世纪初）,Art of Asia 亚洲艺术（Arts of Korea 韩国艺术展厅）,,object,高丽象嵌青瓷,1,8,5.5,8,8,8,0,9,9,8,8.800,7.455,S,A,变,Core 7.455 落在 7.2–8.49,high,13世纪初高丽象嵌青瓷是东亚陶瓷史的重要高峰，竹鹤纹、白黑镶嵌和梅瓶器形兼具工艺辨识度与观赏性，但韩国艺术并非MFA最核心的身份板块。,组内唯一对象，且为高丽象嵌青瓷代表器型与馆方韩国艺术重点图像，品质和类别代表性均居首位，能补足东亚陶瓷及韩国艺术叙事。,
41,,伊斯兰半月形釉砖 Tile lunette,"Art of Asia 亚洲艺术（Level 1, Gallery 175 伊斯兰艺术）",,object,伊斯兰建筑釉砖,1,6.5,4.5,7.5,6.5,7,0,6.5,8.5,5.5,6.900,6.265,S,B,变,Core 6.265 落在 5.5–7.19,medium,半月形建筑釉砖能清楚展示伊斯兰装饰艺术中的几何、书法与建筑语境，视觉效果较强，但单件的时代、产地和特殊性资料不足。,组内唯一的伊斯兰建筑釉砖，具有较高的类别代表性与非重复性，但在MFA整体叙事中仅补充伊斯兰建筑装饰这一环节。,
42,,印度细密画（South and Southeast Asian Highlights 专辑代表作）,Art of Asia 亚洲艺术（南亚与东南亚）,,object,印度细密画,2,7,5,7,6.5,7.5,0,7,3.5,6.5,5.850,6.385,A,B,变,Core 6.385 落在 5.5–7.19,medium,印度细密画是南亚艺术史的重要媒介，适合解释宫廷、宗教与叙事图像传统，但该条目未给出具体画家、王朝或作品题名。,组内为印度细密画板块的概括性代表，品质与叙事补位尚可，但与具体印度细密画作品重复度较高，D居后。,
43,,Claude Monet《Water Lilies》睡莲,"Art of Europe 欧洲艺术（Level 2, Gallery 252 Monet Gallery）",,object,法国印象派绘画,10,8.5,8.5,8.5,8.5,7.5,0,9.5,9.5,9.5,9.500,8.450,S,A,变,Core 8.450 落在 7.2–8.49,medium,MFA拥有法国境外规模最大的莫奈收藏之一并设置专门展厅，睡莲系列兼具高度艺术史知名度、沉浸式色彩体验和强烈的博物馆识别度。,组内首位：莫奈《睡莲》最能代表MFA的莫奈收藏优势，也是法国境外莫奈收藏叙事的核心作品。,
44,,Paul Gauguin《Where Do We Come From? What Are We? Where Are We Going?》我们从何处来？我们是谁？我们向何处去？（1897–98）,Art of Europe 欧洲艺术（19 世纪法国绘画展厅）,,object,法国后印象派绘画,6,9.5,9.5,9,9.5,9.5,0,10,10,9.5,9.900,9.465,S,S,,Core 9.465，峰值 9.5，S-ness 3/3,high,这幅巨幅塔希提哲思画是高更公认的毕生代表作，也是MFA最著名的藏品之一，能够同时承载后印象派、殖民语境与现代人的存在主义叙事。,组内排名第1；高更的巨幅哲思代表作是后印象派及MFA法国绘画叙事中最具标志性的作品。,S：高更的巨幅哲思画是MFA最著名的欧洲绘画之一；两小时仍应安排，错过会是明显遗憾，失去它会显著削弱本馆的名作谱系。
