seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,V3旧tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
11,La Japonaise,和服女子,252 Impressionism,Oil Painting,object,印象派与后印象派油画,4,8.8,8.5,9.4,9.4,9.2,0,9,9.1,9.7,9.170,9.002,S,A,变,Core 9.002 达标但 S-ness 仅 1/3 通过，降 A,high,莫奈以真人尺度的和服人物、强烈红色和日本扇面背景制造高度吸睛的画面，也是讲解十九世纪法国日本主义及文化挪用问题的重要案例。,组内综合第三而独特性居第二，其日本主义主题能在莫奈收藏与MFA核心日本艺术板块之间形成罕见桥梁。,作品醒目，并能连接莫奈与日本主义，适合列入紧凑路线；但在MFA丰富的莫奈与日本艺术收藏中并非不可替代，错过它也未达到明显遗憾的程度。仅一项为真，降A。
12,Postman Joseph Roulin,邮差约瑟夫·鲁林,255 Impressionism,Oil Painting,object,印象派与后印象派油画,4,8.9,8.1,8.8,9.2,8.7,0,9.1,7.4,9,8.570,8.667,A,A,,Core 8.667 达标但 S-ness 仅 0/3 通过，降 A,high,梵高以高纯度色彩和有力笔触赋予普通邮差鲜明人格，虽属多幅鲁林肖像之一，仍是MFA最具大众吸引力的后印象派肖像名作。,组内综合第四，作品品质甚高且可补足梵高的阿尔勒人物叙事，但作为鲁林系列肖像之一，其非重复性在本组最低。,这是优秀的梵高肖像，但鲁林肖像存在多个版本，且MFA并不以单件梵高作品建立馆藏身份；在两小时路线中会被更具本馆特异性的作品取代，降A。
13,"Lullaby, Madame Augustine Roulin Rocking a Cradle",摇摇篮的鲁林夫人,255 Impressionism,Oil Painting,object,欧洲后印象派油画,1,8.8,7.6,8.2,8.5,8.4,0,9.2,8.8,9.0,9.040,8.329,A,A,,Core 8.329 落在 7.2–8.49,high,此作是梵高鲁林家族肖像及《摇篮曲》构想的重要版本，色彩与人物塑造鲜明，但在MFA的整体身份中不及成体系的莫奈收藏或核心美术板块不可替代。,组内唯一的欧洲后印象派油画，作为梵高鲁林家族系列的名作，品质居核心级且能承接印象派、补上通往表现主义现代艺术的一环，但因《摇篮曲》存在多个版本而略减独特性。,
14,Water Lilies,睡莲,252 Impressionism,Oil Painting,object,法国印象派油画,5,8.5,8,8.6,8.8,8.2,0,9.1,8.2,9.2,8.850,8.425,A,A,,Core 8.425 落在 7.2–8.49,medium,“睡莲”集中体现莫奈对水面、光线与反射的晚期探索，并依托MFA规模突出的莫奈收藏获得较强馆内身份价值，但同题作品存世较多，单件独占性有限。,组内综合第二且D第二，以晚期沉浸式水景区别于其余早中期作品，补足莫奈艺术演变的终章。,
15,Little Dancer of Fourteen Years,十四岁的小舞者,249 European Sculpture,Bronze Sculpture,object,19世纪欧洲雕塑,2,8.1,6.8,7.8,8.5,8.2,0,9.3,8.9,8.6,9.040,7.899,A,A,,Core 7.899 落在 7.2–8.49,high,《十四岁的小舞者》的写实人物、舞台劳动主题和真实织物运用极具辨识度，但青铜版属于多馆可见的身后铸造体系，在MFA并非不可替代的身份支柱。,组内稳居首位，其现代题材、非常规材质观念与德加雕塑史地位均比传统神话大理石雕更具代表性，并能连接MFA的法国艺术叙事。,
16,Copy of Zhang Xuan’s Court Ladies Preparing Newly‑Woven Silk,捣练图（宋徽宗摹本）,2nd Floor Chinese Art,Silk Handscroll,object,中国古代绘画手卷,2,9.8,9.7,8.4,8.2,9.7,0,9.9,9.5,9.8,9.760,9.306,S,S,,Core 9.306，峰值 9.8，S-ness 2/3,high,该宋代宫廷摹本保存了张萱唐代仕女画的关键图式，是研究宫廷生活、人物画传统和古画传承的一流名迹，也是MFA中国绘画收藏的标志性重器。,组内品质与历史地位几乎并列最高，以宋代宫廷摹本保存唐代仕女画典范，叙事补位强，但相较《九龙图卷》的原创笔墨与题材独特性，D略居第二。,两小时综合路线未必会同时安排多件中国手卷，但此卷是理解唐代人物画传统的关键传世载体，也是MFA中国绘画声望的重要支柱；q2、q3为真，保留S。
17,Dragon Scroll by Chen Rong,九龙图卷,2nd Floor Chinese Art,Silk Handscroll,object,中国古代绘画手卷,2,9.8,9.8,9.3,9.1,9.5,0,10,9.9,9.7,9.910,9.586,S,S,,Core 9.586，峰值 9.8，S-ness 3/3,high,陈容《九龙图卷》以高度自由的水墨、云气与巨龙形象构成南宋绘画顶级杰作，兼具全球罕见性、强烈视觉节奏与MFA中国收藏的核心身份价值。,组内综合代表性居首，南宋名家龙题材水墨长卷兼具巅峰品质与鲜明原创性，较《捣练图》更具不可重复的作者笔墨和视觉形态。,《九龙图卷》是南宋绘画、龙图像传统与MFA中国绘画收藏共同的顶级代表，馆内没有同等级替代品；三项均为真，保留S。
18,Ramses II Colossal Statue,拉美西斯二世花岗岩巨像,LG Egyptian Galleries,Granite Sculpture,object,古埃及王室雕塑,2,8.8,8.8,9.2,9,9.1,0,9.2,9.1,9.3,9.190,8.974,A,A,,Core 8.974 达标但 S-ness 仅 0/3 通过，降 A,medium,拉美西斯二世王像兼有新王国王权象征、花岗岩巨像的尺度震撼及哈佛—MFA联合考古语境，与本馆最具身份性的埃及考古收藏高度契合。,组内排名第一，巨像尺度、王权典范性与哈佛—MFA联合考古背景使其成为两件中王室雕塑及本馆埃及收藏叙事的首要代表。,巨像及其考古来源具有价值，但在MFA埃及收藏内部，安克哈夫头像和吉萨核心出土群更具不可替代性；它不足以成为两小时必看或全馆身份锚点，降A。
19,Apollo of Mantiklos,曼提克洛斯阿波罗,211 Classical Art,Bronze Sculpture,object,古希腊青铜雕塑,1,8.9,7.8,5.7,6.5,9.2,0,9.4,9.8,9.1,9.460,7.886,A,A,,Core 7.886 落在 7.2–8.49,high,曼提克洛斯阿波罗以早期人体样式和著名奉献铭文见证几何时代向古风时代的转折，学术地位突出，但体量很小且造型简朴，现场冲击力明显受限。,组内唯一对象，曼提克洛斯阿波罗以罕见的铭文奉献语境及几何风格向古风雕塑过渡的典范地位居于绝对首位，并补足希腊青铜雕塑早期发展的关键一环。,
20,Parakeets and Gold Fish Bowl,鹦鹉与金鱼缸,112 American Decorative Arts,Stained‑Glass,object,美国彩色玻璃,1,8.2,7.9,9,9,8.2,0,9.2,9.4,8.8,9.180,8.463,A,A,,Core 8.463 落在 7.2–8.49,medium,鹦鹉、鱼缸与透光玻璃共同形成色彩华丽且极易吸引游客的画面，代表蒂芙尼及美国唯美主义彩色玻璃的高峰，并能强化MFA的美国装饰艺术叙事。,组内唯一且属蒂芙尼彩色玻璃的典范之作，独占最高相对位置，并为MFA的美国艺术叙事补上美学运动与装饰艺术的重要一环。,
21,Portrait of Paul Revere,保罗·里维尔肖像,136 Colonial America,Oil Painting,object,美国殖民时期肖像画,3,9.3,9.6,8.2,8.6,9.6,0,9.8,9.7,9.6,9.730,9.193,S,S,,Core 9.193，峰值 9.6，S-ness 3/3,high,科普利将波士顿革命时代名人保罗·里维尔塑造成正在工作的银匠，使殖民地肖像、地方历史和手工艺文化融为一体，是MFA美国艺术身份的代表作。,组内稳居第一，科普利将里维尔塑造成劳动中的银匠，使其兼具艺术典范性、革命时代象征性与远高于两幅礼仪肖像的独特叙事。,这是科普利、保罗·里维尔和波士顿殖民史三者交汇的标志性作品，也是MFA美国绘画身份的关键图像；三项均为真，保留S。
22,Haystack at Sunset,干草堆·日落,252 Impressionism,Oil Painting,object,法国印象派油画,5,8.8,8.5,8.9,9,8.8,0,9.5,9.3,9.5,9.440,8.834,A,A,,Core 8.834 达标但 S-ness 仅 0/3 通过，降 A,high,此作以夕照下干草堆的强烈色彩呈现莫奈系列绘画对瞬时光线的系统实验，是其艺术转型的经典例证，并在MFA的重要莫奈群藏中占据突出位置。,组内综合居首且D第一，系列性光色研究最能典范化呈现印象派方法，并承担莫奈叙事的核心节点。,干草堆系列具有里程碑意义，但这一单幅在系列内部及MFA众多莫奈作品中可被其他实例替代；不必占用两小时路线的独立席位，消失也不会明显改变馆藏身份，降A。
23,Psyche,普赛克,249 European Sculpture,Marble Sculpture,object,19世纪欧洲雕塑,2,7.5,6.3,7.8,7.7,7.2,0,8.1,6.7,7.2,7.500,7.230,B,A,变,Core 7.230 落在 7.2–8.49,medium,罗丹以柔和的大理石肌理表现丘比特与普赛克的亲密神话瞬间，具有良好审美吸引力，但并非其最具艺术史标志性的题材，在MFA同样不是身份核心。,组内位居第二，罗丹的造型水准与神话主题具有分量，但相较《十四岁的小舞者》更接近19世纪大理石雕塑的常见谱系，独特性与补位性稍弱。,
24,Head of Tutankhamun,图坦卡蒙头像,LG Egyptian Galleries,Sandstone Sculpture,object,古埃及王室雕塑,2,8.5,7.7,7.8,8.6,8.7,0,8.7,7.4,8.2,8.210,8.211,A,A,,Core 8.211 落在 7.2–8.49,medium,这件精雕砂岩王室头像兼具第十八王朝肖像艺术价值与图坦卡蒙的公众吸引力，但尺度和本馆专属考古关联弱于MFA最具代表性的吉萨出土王像。,组内排名第二，细腻的青年法老头像以肖像性和砂岩材质补充巨像，但同属新王国王室雕塑，代表性与叙事不可替代度低于拉美西斯二世巨像。,
25,"Aphrodite, “Boston Aphrodite”",波士顿阿芙洛狄忒,212 Classical Art,Marble Sculpture,object,古典地中海大理石雕塑,1,8.1,6.8,8.3,8.2,8.2,0,8.2,8.1,7.4,8.010,7.826,A,A,,Core 7.826 落在 7.2–8.49,high,保存完整的罗马阿芙洛狄忒雕像兼具复原失传希腊原作与解释古典复制传统的价值，但古典地中海收藏并非MFA最具不可替代性的板块。,组内唯一，保存良好且作为失传希腊原作的罗马摹本具有较强典范性，D因无同组重复而偏高，但此类古典摹本在百科全书式大馆中并非绝对罕见。,
26,Five‑Coloured Parrot Scroll,五色鹦鹉图卷,2nd Floor Chinese Art,Silk Handscroll,object,中国古代绘画,1,9.7,9.7,8.1,8.3,9.6,0,9.8,9.8,9.7,9.780,9.243,S,S,,Core 9.243，峰值 9.7，S-ness 2/3,high,宋徽宗款《五色鹦鹉图卷》是宋代院体花鸟、诗书画结合及帝王艺术实践的世界级范例，也是MFA核心中国绘画收藏的标志。,组内唯一对象，且以宋徽宗宫廷花鸟画的写实、诗书画结合与帝王艺术身份占据最高代表位，独特性高并关键补足MFA中国绘画的北宋叙事。,两小时路线中它可能让位于《九龙图卷》等视觉上更直接的手卷，但其罕见的宋代宫廷绘画地位使遗漏明显可惜；失去它也会实质削弱MFA中国古画收藏的顶尖层级。两项为真，保留S。
27,Boys in a Pasture,牧场少年,221 American Art,Oil Painting,object,19世纪美国油画,3,8.5,8.4,7.9,8.1,8.4,0,8.6,6.4,7.9,7.800,8.240,A,A,,Core 8.240 落在 7.2–8.49,high,这件1874年的霍默牧野题材作品代表其战后美国生活观察与明亮写实风格，在MFA优势美国艺术板块中具有较高地位。,组内第三，虽是霍默乡村现实主义的重要作品并补充战后美国田园生活，但因同组已有更具标志性的霍默作品而相对重复。,
28,Madame Monet and Her Son,莫奈夫人与她的儿子,252 Impressionism,Oil Painting,object,法国印象派油画,5,8.3,8.2,8.1,8.4,8.3,0,8.5,7.4,8.4,8.150,8.245,A,A,,Core 8.245 落在 7.2–8.49,medium,莫奈以亲密家庭人物展示早期印象派的户外光色实验，题材亲切且在MFA以风景为主的深厚莫奈收藏中形成重要补充。,组内综合第三且D第三，作为本组唯一的家庭人物题材拓宽了叙事，但典范程度不及两件系列性风景。,
29,Cupid and Psyche,丘比特与普赛克,143 European Decorative Arts,Ceramic,object,意大利文艺复兴马约利卡陶器,1,8.4,7.4,8.1,8.3,8.8,0,9.0,9.2,8.2,8.900,8.200,A,A,,Core 8.200 落在 7.2–8.49,medium,以连续陶瓷画面完整讲述丘比特与普赛克神话，集中体现文艺复兴马约利卡的绘画性、人文主义趣味和宴饮文化，但该板块并非MFA身份核心。,作为本组唯一且居首的对象，其完整神话叙事与高水准文艺复兴马约利卡表现使其兼具典范性和非重复性，并补足欧洲装饰艺术中的意大利釉陶一环。,
30,Appeal to the Great Spirit,向伟大之灵祈祷,MFA Outside Courtyard,Bronze Sculpture,object,美国纪念性青铜雕塑,1,8.4,9.2,9.1,8.8,8.7,0,9.1,9.6,9.2,9.270,8.897,S,S,,Core 8.897，峰值 9.2，S-ness 2/3,high,达林这件大型骑马青铜既是美国公共雕塑名作，也是长期占据MFA入口并形成鲜明到馆记忆的视觉象征，同时可用于讨论原住民形象建构。,作为组内唯一的美国纪念性青铜雕塑，它以高度辨识的骑马祈祷形象和入口地标地位居于本组首位，并补足了MFA美国艺术叙事中的户外公共纪念雕塑一环。,作品位于入口空间，纳入两小时参观几乎没有额外时间成本；它作为MFA外部形象和场所记忆的长期标志，若消失会明显改变博物馆身份。q1、q3为真，保留S。
31,The Seine at Argenteuil,阿让特伊的塞纳河,252 Impressionism,Oil Painting,object,法国印象派油画,5,8.1,7.7,8.1,8.2,8.1,0,8.3,4.4,7.5,6.970,7.902,A,A,,Core 7.902 落在 7.2–8.49,medium,阿让特伊河景典型呈现莫奈对水面反光、郊区休闲和瞬时光线的研究，但在MFA数量众多且质量极高的莫奈作品中并非最不可替代的一件。,组内综合与D均居末，其光色品质仍佳，但与《阿让特伊大桥》在地点、时期和河景功能上重复度最高。,
32,The Bridge at Argenteuil,阿让特伊大桥,252 Impressionism,Oil Painting,object,法国印象派油画,5,8.8,8.4,8.5,8.6,8.8,0,8.9,6.0,8.7,7.990,8.544,A,A,,Core 8.544 达标但无维度 ≥9（最高 8.8），降 A,medium,阿让特伊大桥题材是莫奈早期印象主义成熟阶段的经典母题，将现代交通、郊区景观和光色实验结合，在MFA莫奈群中仍属重点。,组内综合第四且D第四，是两件阿让特伊题材中更具代表性的一件，并以桥梁强化现代交通与郊区景观主题。,
33,The Yellow Christ,黄色基督,248 Post‑Impressionism,Oil Painting,object,后印象派油画,2,9.6,9,9,8.8,9.6,0,9.8,9.3,9.4,9.570,9.237,A,A,,Core 9.237 达标但 S-ness 仅 0/3 通过，降 A,low,通行馆藏记录将高更《黄色基督》置于布法罗AKG而非MFA，本分值按题述身份暂估；该作本身是综合主义、象征色彩与布列塔尼宗教想象的世界级图像。,组内排名第一，以更典范的平面化色彩与象征主义宗教意象代表高更的布列塔尼时期，故在两件相近题材中取得最高独特性与叙事价值。,馆藏归属不成立：该题名所指的高更名作并非MFA馆藏，不能列入MFA馆内路线，也不构成MFA身份。三项均否，降A。
34,The Green Christ,绿色基督,248 Post‑Impressionism,Oil Painting,object,后印象派油画,2,9,8.4,8.6,8.4,9.1,0,9,6.7,7.8,8.070,8.622,A,A,,Core 8.622 达标但 S-ness 仅 0/3 通过，降 A,low,通行馆藏记录将高更《绿色基督》置于布鲁塞尔比利时皇家美术馆而非MFA，本分值按题述身份暂估；其民间宗教、地方风俗和象征性色彩具有重要叙事价值。,组内排名第二，虽是高质量的布列塔尼宗教寓言，但与《黄色基督》在作者、地域和神圣叙事上高度重叠，主要作为民俗维度的补充。,馆藏归属不成立：该题名所指的高更名作并非MFA馆藏，因而不能作为本馆两小时必看项目或身份资产。三项均否，降A。
35,Mademoiselle Victorine Meurent,维克托里娜·默朗小姐,253 19th‑Century French,Oil Painting,object,19世纪法国现代主义油画,2,8.5,7.8,7.9,8,8.7,0,8.5,6.7,7.8,7.820,8.122,A,A,,Core 8.122 落在 7.2–8.49,medium,马奈对维克托里娜·默朗不加理想化的直接描绘关联其多件现代主义关键作品，适合解释模特身份、凝视方式与学院传统的转变。,组内居次，虽以不理想化的肖像处理呈现马奈的现代性，但与同模特、叙事更完整的《街头歌女》相比代表性与非重复性稍弱。,
36,The Street Singer,街头歌女,253 19th‑Century French,Oil Painting,object,19世纪法国现代主义油画,2,8.9,8.3,8.2,8.4,8.9,0,9.0,8.8,8.6,8.860,8.566,A,A,,Core 8.566 达标但无维度 ≥9（最高 8.9），降 A,high,《街头歌女》是马奈早期现代生活绘画的重要作品，以维克托里娜的正面形象连接都市娱乐、写实主义和表演性，在MFA法国绘画中地位突出。,组内居首，其将现实主义人物观察与都市类型场景结合，比单纯肖像更完整地代表马奈通向现代主义的关键位置。,
37,The Death of Sardanapalus Sketch,萨达纳帕拉之死（习作）,333 Romantic European,Oil Painting,object,法国浪漫主义油画,2,7.4,5.4,6.9,6.9,7.6,0,8.8,8.5,8.2,8.590,6.899,B,B,,Core 6.899 落在 5.5–7.19,medium,它是德拉克洛瓦卢浮宫名作的 preparatory 油画习作，能展示浪漫主义构图过程，但小尺幅习作在MFA庞大的欧洲馆藏中并非身份支柱。,组内两件均为德拉克洛瓦历史题材习作，但本作对应其最具标志性的浪漫主义构图，典范性与路线代表性均列第一。,
38,The Entry of the Crusaders into Constantinople,十字军进入君士坦丁堡 习作,333 Romantic European,Oil Painting,object,法国浪漫主义油画,2,7.3,5.3,6.8,6.8,7.8,0,8.2,5.8,6.6,7.160,6.711,B,B,,Core 6.711 落在 5.5–7.19,medium,作为德拉克洛瓦第四次十字军题材大画的习作，它兼具浪漫主义笔触和重要历史叙事，但相较卢浮宫完成作及MFA核心板块仍属辅助性精品。,本作品质虽高且补充十字军题材，但与组内另一件德拉克洛瓦历史画习作在作者、媒材和叙事功能上高度重叠，故列第二并下调独特性。,
39,Self‑Portrait at Age 28,28岁自画像,327 Old Master European,Oil Painting,object,荷兰黄金时代肖像画,5,8.6,1.5,7.6,8.1,8.4,0,9.4,9.5,8.4,9.230,6.633,A,B,变,Core 6.633 落在 5.5–7.19,low,伦勃朗青年自画像在艺术史和心理肖像研究中价值极高，但“28岁自画像”通常对应乌菲齐藏品而非MFA，故无法支持本馆不可替代性。,组内毫无争议居首，伦勃朗自画像在品质、心理深度与艺术家自我塑造叙事上远胜其余常规委托肖像。,
40,Portrait of a Woman with a Fan,持扇女子肖像,327 Old Master European,Oil Painting,object,荷兰黄金时代肖像画,5,6.0,4.8,6.1,5.9,6.2,0,6.5,5.1,5.0,5.780,5.708,B,B,,Core 5.708 落在 5.5–7.19,medium,作品若仅归于伦勃朗圈子而非确认亲笔，其明暗法和人物刻画仍属合格的荷兰黄金时代肖像，但在MFA同类藏品中较可替代。,组内居中，扇子与较丰富的明暗表现提供一定辨识度，但作为伦勃朗圈女性肖像仍明显受首件压制。,
41,The Rape of Europa,欧罗巴被劫,326 Venetian Art,Oil Painting,object,威尼斯文艺复兴油画,1,7.7,5.4,7.7,7.5,7.4,0,7.8,8.4,7.2,7.860,7.066,A,B,变,Core 7.066 落在 5.5–7.19,low,若确为丁托列托亲笔，神话题材、迅疾运动和威尼斯色彩足以构成强劲现场体验，但现有资料不足以确认具体版本及其在MFA馆藏中的地位。,组内唯一的威尼斯文艺复兴油画，以丁托列托式动态构图与明亮色彩独占该类别代表位，虽非全馆核心板块仍能补足威尼斯神话画叙事。,
42,Virgin and Child with Saints,圣母子与诸圣,324 Early Italian,Oil on Panel,object,意大利巴洛克宗教画,2,7.2,5.2,7.3,6.6,7.3,0,7.7,6.3,7.4,7.220,6.642,A,B,变,Core 6.642 落在 5.5–7.19,low,编号关联资料将其归于彼得罗·达·科尔托纳且为画布油画，与简介所称贝利尼木板祭坛画直接冲突，因此按一件较强的意大利巴洛克宗教画保守判断。,组内居次，虽能以科尔托纳式祭坛画补充意大利巴洛克宗教图像，但相较阿尔泰米西娅之作典范性与不可替代性较弱。,
43,Judith with the Head of Holofernes,朱迪斯与霍洛芬斯的头颅,325 Baroque European,Oil Painting,object,意大利巴洛克宗教画,2,8.2,6.3,8.0,8.1,8.8,0,9.2,9.0,9.0,9.100,7.860,A,A,,Core 7.860 落在 7.2–8.49,medium,朱迪斯是阿尔泰米西娅最具代表性的题材之一，兼具强烈戏剧性以及女性艺术家、权力和巴洛克叙事等丰富解释空间，但具体版本尚未得到权威编目支持。,组内第一，以阿尔泰米西娅极具力度的女性英雄叙事代表巴洛克戏剧性，并补上女性艺术家与卡拉瓦乔主义的重要一环。,
44,Saint Sebastian,圣塞巴斯蒂安,328 Spanish Baroque,Oil Painting,object,西班牙黄金时代油画,2,7.4,5.2,7.4,7.0,7.5,0,7.8,6.3,7.2,7.230,6.788,B,B,,Core 6.788 落在 5.5–7.19,medium,里贝拉以严峻写实手法表现殉道圣徒，是西班牙—那不勒斯巴洛克的优质范例，但MFA的西班牙绘画并非全美顶尖板块。,组内排名第二，里贝拉式写实殉道者具有典型性，但相较埃尔·格列柯罕见而鲜明的城市景观更接近可替代的西班牙巴洛克宗教画。,
45,View of Toledo,托莱多风景,328 Spanish Baroque,Oil Painting,object,西班牙黄金时代油画,2,9.2,1.0,9.0,8.8,8.7,0,9.3,9.2,8.8,9.170,6.982,C,B,变,Core 6.982 落在 5.5–7.19,low,埃尔·格列柯《托莱多风景》是西方风景画史上的国家级名作，但公认原作藏于纽约大都会艺术博物馆，未有证据表明MFA拥有同等版本。,组内排名第一，其表现主义式城市景观在题材与视觉语言上均显著区别于宗教人物画，并为西班牙黄金时代叙事补入关键的埃尔·格列柯一环。,
