seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,V3旧tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
11,"Josh Simpson, Mega‑Megaplanet Glass Sphere",乔希·辛普森：巨型星球艺术玻璃球,Art & Nature Center,Art Glass,object,美国当代艺术玻璃,1,6,7,9,9,4,0,8,8.5,4,7.350,6.985,A,B,变,Core 6.985 落在 5.5–7.19,medium,巨型玻璃球是PEM当代板块的醒目标志，灯光下即时吸引力很强，但艺术史与时代制度叙事相对有限。,组内唯一对象，作为PEM美国当代艺术玻璃的标志性大型作品代表性最高；D因本馆同类组内无可替代对象而偏高，但其星球母题仍有持续复制性，独特性主要来自巨型尺度。,
12,Korean Joseon Governor Welcoming Banquet Screen,朝鲜朝鲜时代 平壤道牧使欢迎宴会屏风,Korean Art Gallery,Screen Painting,object,朝鲜官署纪事屏风画,1,8,8,8,8,9,0,9.2,9.5,9.3,9.310,8.281,A,A,,Core 8.281 落在 7.2–8.49,medium,大幅朝鲜官署宴会屏风以高信息密度呈现地方治理、官阶制度与礼仪，是韩国馆代表性较强的叙事型精品。,组内唯一对象，作为朝鲜官署纪事大幅屏风的代表性例证，兼具稀缺性与对官僚制度、地方礼仪叙事的强补位价值。,
13,Maori War Treasure Jade Mere,毛利玉质战争权杖,Mixed Oceanic Gallery,Nephrite Jade Weapon,object,大洋洲玉石武器,1,8,8,6,7,8,0,9,9,9,9.000,7.650,A,A,,Core 7.650 落在 7.2–8.49,medium,前接触期高阶毛利软玉 mere 兼具酋长威权、玉料圣性与传家宝制度意义，是 PEM 大洋洲核心收藏中具有代表性的器物；但手持尺度限制现场冲击力，早期采集来源尚未充分核实。,组内唯一对象，作为高阶前接触期毛利软玉 mere，兼具玉石工艺典范性、毛利 mana 文化代表性及与 PEM 早期航海收藏史的连接，故在本组中无可替代。,
14,"Childe Hassam, New England Autumn Landscape",柴尔德·哈萨姆：新英格兰秋景,American Art Gallery,Oil Painting,object,美国油画,4,7,4,7,7,6,0,7.8,6.5,6.5,7.150,6.115,A,B,变,Core 6.115 落在 5.5–7.19,medium,哈萨姆成熟期的高质量美国印象派作品，画面季节感和地方性较强，但并非其顶尖代表作，在 PEM 身份体系中也不如海事、亚洲外销与大洋洲藏品不可替代。,组内品质与代表性居第二，作为成熟期哈萨姆的新英格兰风景代表，独特性高于同组另一件自然风景画。,
15,"Robert Feke, Portrait of Judge Richard Saltonstall",罗伯特·费克：理查德·索尔顿斯托尔法官肖像,American Art Gallery,Oil Painting,object,美国油画,4,8,5,7,7,8,0,8.8,9.0,8.5,8.800,7.030,A,B,变,Core 7.030 落在 5.5–7.19,high,费克约1750年的殖民地美国正式肖像属于其存世佳作，能具体呈现殖民时期精英肖像制度与社会身份，但单件作品并非 PEM 最不可替代的馆藏核心。,组内综合代表性第一，是费克最出色的存世肖像之一，并以殖民地美国肖像补足PEM的早期美国叙事。,
16,"Fidelia Bridges, Pastures by the Sea",菲德莉娅·布里奇斯：海边牧场,American Art Gallery,Oil Painting,object,美国油画,4,6,5,6,6,7,0,6.8,5.5,6.5,6.350,5.935,A,B,变,Core 5.935 落在 5.5–7.19,medium,布里奇斯的海滨自然画面精致，兼具19世纪美国自然观与女性艺术家创作史价值，但视觉尺度和艺术史地位均属优质常规品。,组内综合代表性第三，虽品质与典范性较弱，但女性艺术家、鸟花主题及海边景观使其区别于两件男性名家肖像。,
17,"Samuel McIntire, carved fireplace surround",塞缪尔·麦金太尔雕刻壁炉围板,Gardner‑Pingree House,Wood Architectural Carving,object,塞勒姆联邦时期建筑木雕,1,7,8,7,7,8,0,8,8,6,7.600,7.460,A,A,,Core 7.460 落在 7.2–8.49,medium,麦金太尔工作坊的联邦时期新古典主义壁炉雕刻体现塞勒姆地方工艺传统，并与 Gardner-Pingree House 的历史空间直接相连，因此本馆语境中的不可替代性和叙事价值较高。,组内唯一对象，作为麦金太尔工坊的塞勒姆联邦时期建筑木雕代表，典范性与本馆地方建筑史叙事补位价值较高。,
18,"John Singer Sargent, Portrait of Sarah Lawrence Brooks",萨金特：萨拉·劳伦斯·布鲁克斯肖像,American Art Gallery,Oil Painting,object,美国油画,4,8,5,8,8,6,0,8.5,5.0,4.5,6.650,6.815,A,B,变,Core 6.815 落在 5.5–7.19,medium,萨金特晚期肖像以大尺幅和出色笔触具有强烈观赏性，作者本身属国际一流，但这件社交肖像相较其绝对杰作次一级，社会史解释力也较有限。,组内品质居第二、知名度突出，但作为晚期萨金特社会肖像且与费克同属肖像类型，组内非重复性和PEM补位价值相对较低。,
19,"Josh Simpson, smaller planet glass orb",乔希·辛普森 中小型星球玻璃球,Art & Nature Center,Art Glass,object,当代艺术玻璃,2,6,5,7,7,5,0,8,7,4,6.900,5.990,B,B,,Core 5.990 落在 5.5–7.19,medium,辛普森的星球玻璃球色彩和内部微观景观具有直接吸引力，但本件尺寸较小，艺术史与 PEM 身份关联主要属于当代艺术玻璃收藏的补充。,组内代表性最高，规模与观赏性均明显优于同作者的小型弹珠，更能代表当代艺术玻璃的完整作品形态。,
20,Chinese Export porcelain dinner service partial set,中国外销瓷餐具套件残套,Asian Export Art Gallery,Porcelain,object,亚洲外销瓷,2,7,8,7,7,8,0,8.5,7,9,8.150,7.515,A,A,,Core 7.515 落在 7.2–8.49,medium,大尺幅广彩中国外销瓷餐具能清楚说明广州贸易、美国市场与跨文化消费，契合 PEM 亚洲外销艺术核心身份；但残套状态削弱了完整性和单件展示力度。,组内排序第1：虽为残套，但美国市场广式外销餐具直接对应PEM远洋贸易与亚洲外销核心叙事，品质与补位价值最高；相较另一件有田盘，独特性略低。,
21,Japanese Arita blue‑and‑white charger plate,日本有田烧青花大盘,Asian Export Art Gallery,Porcelain,object,亚洲外销瓷,2,7,7,8,8,7,0,7.5,8.5,8,7.900,7.390,A,A,,Core 7.390 落在 7.2–8.49,medium,大型有田青花外销盘以尺度、繁密人物纹饰和欧洲贸易背景形成较强现场吸引力，是 PEM 亚洲外销艺术语境中的重要日本案例，但类别代表性不及最顶尖孤品。,组内排序第2：有田烧青花大盘以巨型尺度和日本对欧贸易背景形成组内最强单件辨识度，D高于中式餐具，但对PEM核心远洋贸易叙事的补位略次。,
22,Japanese netsuke rabbit by Naito Toyomasa,内藤丰正 兔子根付,Japanese Art Gallery,Carved Ivory,object,日本根付,1,8,7,6,8,7,0,9,9,8,8.800,7.380,A,A,,Core 7.380 落在 7.2–8.49,high,内藤丰正署名兔根付属于江户晚期至19世纪初的名家精品，微型雕刻技巧和兔题材带来很强亲和力；其尺寸限制远观冲击，但对 PEM 日本艺术收藏具有明确代表性。,组内唯一对象，且为署名的江户晚期象牙根付名作，在日本根付类别中兼具典范性与本馆东亚收藏叙事的独特补位价值。,
23,Edo period medicine‑shop kanban signboard,江户药铺漆绘看板,Japanese Art Gallery,Painted Wood Sign,object,江户商业招牌,1,7,7,8,8,8,0,8,9,8,8.300,7.580,A,A,,Core 7.580 落在 7.2–8.49,high,江户药铺漆绘招牌色彩醒目且存世稀少，能同时讲解商业广告、民众医疗和城市日常生活，是日本艺术展中叙事效率很高的非典型器物。,组内唯一对象，且作为罕见留存的江户商业广告实物，代表性与非重复性最高。,
24,"Katsumata Chieko, Pumpkin ceramic sculpture",胜田千惠子：南瓜陶塑,Japanese Art Gallery,Stoneware Ceramic,object,当代日本陶瓷雕塑,1,7,6,7,7,6,0,7.5,9,8,8.050,6.705,A,B,变,Core 6.705 落在 5.5–7.19,high,胜田千惠子的有机形陶塑体现当代日本陶艺的材料与形态探索，南瓜题材易于产生视觉和情感联系，但其馆藏身份与历史叙事权重低于江户及外销艺术。,组内唯一对象，作为国际展出的当代日本有机形陶塑，承担本馆日本陶瓷雕塑门类的代表性与叙事补位。,
25,Joseon folding screen landscape painting,朝鲜时代山水六曲屏风,Korean Art Gallery,Screen Painting,object,朝鲜山水屏风画,1,7,5.5,7,6.5,6.5,0,7,8,7,7.300,6.505,A,B,变,Core 6.505 落在 5.5–7.19,medium,朝鲜时代高质量地方官营作坊屏风，画面与空间效果较好，但在PEM身份中不如海事、亚洲外销和大洋洲收藏核心。,组内唯一对象，承担馆内朝鲜山水屏风画的代表性位置；虽为高质量地方官营作坊作品，典范性略逊于宫廷名作，但非重复性较高并能补足东亚艺术叙事。,
26,"Hank Willis Thomas, Rich Black Specimen #460",汉克·威利斯·托马斯：黑色标本#460,American Contemporary Gallery,Metal Cut‑out Sculpture,object,美国当代观念雕塑,1,8,6.5,8,7.5,8,0,8.5,9.5,7.5,8.600,7.610,A,A,,Core 7.610 落在 7.2–8.49,medium,重要当代艺术家关于种族历史的剪影雕塑，兼具强烈轮廓视觉和社会叙事价值，但美国当代艺术并非PEM最不可替代的领域。,组内唯一对象，作为重要当代美国观念雕塑代表性较强；其种族历史主题为PEM的美国当代艺术与社会叙事补入独特一环。,
27,Salem ship portrait: “Friendship of Salem”,塞勒姆商船《友谊号》船舶肖像,Maritime Gallery,Oil Painting,object,塞勒姆海事船舶肖像画,2,7,9,7,7.5,8.5,0,8.5,9,8.5,8.650,7.965,A,A,,Core 7.965 落在 7.2–8.49,medium,记录著名塞勒姆贸易船及地方航海史，艺术等级并非顶尖，但与PEM海事起源和地方身份高度不可替代。,组内代表性首位：《友谊号》作为著名塞勒姆贸易船，兼具地方航海史文献价值与海事叙事核心地位。,
28,Brass Pakistani Astrolabe,巴基斯坦黄铜星盘,Maritime Gallery,Engraved Brass Scientific Instrument,object,伊斯兰科学与航海仪器,1,8,7,7,7.5,8.5,0,8.5,8.5,9,8.600,7.660,A,A,,Core 7.660 落在 7.2–8.49,medium,精细刻纹的伊斯兰星盘连接天文、航海与塞勒姆远洋贸易，历史教育价值强，但具体器物的顶级地位未有充分证据。,组内唯一对象，兼具伊斯兰科学仪器与海事航海功能，在本馆海事贸易叙事中具有较高的类别代表性与补位价值。,
29,"Valerie Hagerty, Shipwrecked Armoire with Barnacles",瓦莱丽·哈格蒂：附藤壶沉船主题立柜,Maritime Gallery,Mixed‑Media Furniture‑Sculpture,object,海事主题当代家具雕塑,1,7.5,8.5,9,8.5,7.5,0,8.5,9.5,8.5,8.800,8.255,A,A,,Core 8.255 落在 7.2–8.49,medium,以藤壶、沉船和立柜构成鲜明的海事遗墟意象，是PEM具有辨识度的当代作品，现场冲击和记忆点很强。,组内唯一的海事主题当代家具雕塑，兼具标志性综合材质语言与沉船意象，在本组中代表性和非重复性最高，并补充PEM海事叙事的当代维度。,
30,1803 ship‑wreck calendar stick,1803海难记事刻木杖,Maritime Gallery,Carved Wood Folk Object,object,美国海事民俗器物,1,7.5,8,5.5,7.5,8.5,0,8.5,9.5,9.5,9.000,7.625,A,A,,Core 7.625 落在 7.2–8.49,medium,1803年海难幸存者以刻痕记录时间的独特器物，视觉朴素但地方海事史和叙事教育价值突出。,组内唯一对象，作为记录1803年海难幸存经历的美国海事民俗木刻器物，代表性与非重复性最高，并强力补足PEM以远洋贸易为核心的海事叙事。,
31,Tahitian carved war club,塔希提雕花战棒,Oceanic Gallery,Carved Wood Weapon,object,大洋洲木雕武器,1,7.5,7.5,7.5,7,7.5,0,7.5,8.5,8,7.900,7.465,B,A,变,Core 7.465 落在 7.2–8.49,medium,保存良好的塔希提雕花战棒体现波利尼西亚武器与工艺传统，并有塞勒姆时代航海来源，但并非王室顶级范例。,组内唯一对象，作为塔希提木雕战棒代表性较高，但因非顶级王室实例，品质与典范程度略有限。,
32,Fiji carved spirit figure,斐济祖先神灵木雕,Oceanic Gallery,Carved Wood Sculpture,object,大洋洲祖灵木雕,1,8,8,8.5,8,8.5,0,8.5,9,8.5,8.650,8.215,A,A,,Core 8.215 落在 7.2–8.49,medium,具有力量感的斐济祖灵雕像兼具早期新英格兰航海采集史、宗教意义和显著现场视觉效果。,组内唯一的大洋洲祖灵木雕，兼具斐济文化代表性与早期航海收藏背景，在本馆同类中无可替代。,
33,New Zealand Māori carved treasure box (waka huia),毛利雕花珍宝木盒waka huia,Oceanic Gallery,Carved Wood Container,object,毛利雕刻珍宝盒,1,8.5,8,8.5,8.5,8.5,0,8.5,9.5,8.5,8.800,8.405,A,A,,Core 8.405 落在 7.2–8.49,medium,经典waka huia珍宝盒以精细旋涡式雕刻呈现毛利礼制、身份与珍藏文化，是大洋洲馆中兼具美感和解释力的代表。,组内唯一的毛利雕刻珍宝盒，waka huia形制与精细旋涡纹雕刻具有鲜明代表性，并为大洋洲文明叙事提供不可替代的一环。,
34,Chinese export gouache painting set of trades,中国外销水粉百工图组画,Asian Export Art Gallery,Gouache on Paper,object,中国外销水粉画,1,7.5,8.5,7.5,8,8.5,0,7.5,8,8.5,7.850,8.010,A,A,,Core 8.010 落在 7.2–8.49,medium,百工图组画直接展示中国工艺劳动与面向西方市场的视觉生产，契合PEM亚洲外销艺术核心并具有较强叙事性。,组内唯一的中国外销水粉百工图，虽属常见出口题材，但在本馆外销艺术与中国贸易叙事中具有明确的代表性和补位价值。,
35,Canton painted fan for western lady,广州外销西洋女士彩绘折扇,Asian Export Art Gallery,Ivory‑Paper Fan,object,中国外销折扇,1,6.5,6.5,7,7,7.5,0,7.5,8.5,7.5,7.800,6.930,A,B,变,Core 6.930 落在 5.5–7.19,medium,广州为西方女性顾客制作的彩绘折扇能说明跨文化消费与外销工艺，精美易懂但同类器物可替代性较高。,组内唯一对象，作为广州外销折扇代表具有较高独特性；其精细象牙纸扇与面向西洋女性消费者的外销语境，补充了PEM海上贸易与亚洲外销艺术叙事。,
36,Spilum portrait of Chinese merchant,斯波伦绘制中国商人肖像,Asian Export Art Gallery,Oil on Canvas,object,中国外销肖像油画,2,7.5,8,7.5,7,8.5,0,8.5,6.5,8,7.800,7.730,A,A,,Core 7.730 落在 7.2–8.49,medium,罕见的广州商人肖像以西式油画呈现中西交流、商业身份与外销语境，在PEM亚洲外销收藏中具有代表性。,组内次位：题材为中国商人且较少见，但作为史贝霖单件外销肖像，在成对完整性、人物对应性和海贸叙事覆盖上重复并弱于惠特兰夫妇肖像。,
37,Mughal painted manuscript leaf,莫卧儿细密画册页,Asian Export Art Gallery,Opaque Watercolor on Paper,object,南亚宫廷绘画与外销艺术,1,8,6.5,6.5,6.5,7.5,0,8,8.5,7.5,8.050,7.105,A,B,变,Core 7.105 落在 5.5–7.19,medium,莫卧儿宫廷细密画本身具有较高艺术与文明史价值，但单页尺度有限，且在PEM身份体系中不如东亚和海事核心藏品不可替代。,组内唯一对象，作为南亚宫廷绘画及塞勒姆贸易关联的代表性藏品，独特性高；虽非荫余堂或东亚海贸核心，但能补足馆内南亚宫廷艺术叙事。,
38,"Sinhalese ivory combs, export set",斯里兰卡外销象牙梳子套件,Asian Export Art Gallery,Carved Ivory,object,南亚外销工艺品,1,6.5,6.5,6.5,6,7,0,7.5,8.5,7.5,7.800,6.630,A,B,变,Core 6.630 落在 5.5–7.19,medium,斯里兰卡象牙梳子兼具精细工艺与面向欧美市场的贸易叙事，符合PEM外销艺术特色，但类别代表性和视觉冲击有限。,组内唯一对象，作为斯里兰卡南亚外销象牙雕的代表，兼具地域与材质工艺的独特性，并补充PEM亚洲外销艺术叙事。,
39,Edo period noblewoman palanquin (onna norimono),江户贵族女子轿舆,Japanese Art Gallery,Lacquered Wood Transport Object,object,日本江户时代贵族生活与漆器器物,1,8,8.5,8.5,8.5,8.5,0,8.8,9.2,8.6,8.880,8.438,A,A,,Core 8.438 落在 7.2–8.49,high,保存良好的江户高等级女性漆轿体量、装饰和社会等级信息突出，是日本艺术展厅中少见且能强烈说明贵族生活的器物。,组内唯一对象，作为保存良好的江户高阶贵族女子漆轿，兼具典范品质与本馆日本贵族生活及漆器叙事的唯一代表性。,
40,18‑century Japanese dragonfly‑design kabuto helmet,18世纪蜻蜓纹饰武士兜头盔,Japanese Art Gallery,Metal Helmet Armor,object,日本武家甲胄与武具,1,7.5,7.5,8,7.5,7.5,0,7.5,8.5,7.5,7.800,7.605,A,A,,Core 7.605 落在 7.2–8.49,high,晚江户至近代早期的精工蜻蜓纹兜兼具武家制度、工艺技术和鲜明造型价值，在日本馆中具有较强吸引力。,组内唯一对象，作为日本武家甲胄与武具的单件代表，凭18世纪蜻蜓纹金属兜及精细工艺具有较高品质与补位价值。,
41,Japanese ukiyo‑e complete Hokusai print set partial,葛饰北斋浮世绘组画残套,Japanese Art Gallery,Woodblock Print,object,日本江户时代浮世绘版画,2,8.5,6.5,6.5,7.5,7.5,0,8.8,7.2,6.5,7.860,7.336,A,A,,Core 7.336 落在 7.2–8.49,medium,北斋及其浮世绘艺术具有国际一流地位，良好印刷质量提升观赏性，但组画残套削弱了完整叙事和本馆不可替代性。,组内代表性较高：北斋名家组画虽为残套，仍以鲜明个人风格提供日本江户版画的重要代表。,
42,Hiroshige Tokaido set partial,歌川广重东海道五十三次部分版画,Japanese Art Gallery,Woodblock Print,object,日本江户时代浮世绘版画,2,8.5,6.5,7,7.5,8,0,8.7,6.1,6.8,7.540,7.454,A,A,,Core 7.454 落在 7.2–8.49,medium,《东海道五十三次》是江户旅行文化与浮世绘史的重要系列，部分版画仍具较高观看和教育价值，但不完整限制其优先级。,组内次于北斋：广重《东海道五十三次》题材经典，但仅为部分版画，与北斋组画共同构成江户浮世绘叙事，重复性略高。,
43,Joseon dynasty brass ritual incense burner,朝鲜王朝黄铜礼式香炉,Korean Art Gallery,Brass Inlaid Metalwork,object,朝鲜王朝礼仪金工器,1,7,7,7,6.5,8,0,7.5,8.5,7,7.700,7.145,B,B,,Core 7.145 落在 5.5–7.19,medium,朝鲜王朝礼式香炉以错嵌银饰体现仪式制度和金工技术，叙事价值较强，但普通游客的即时吸引力中等。,组内唯一对象，作为朝鲜王朝礼仪金工的代表性器物独特性高，但在全馆海事与亚洲外销叙事中属补充环节。,
44,Nam June Paik small video‑art sculpture,白南准小型影像雕塑,Korean Contemporary Gallery,Mixed‑Media Video Sculpture,object,韩国现代媒体艺术,1,8,7,6.5,7.5,8.5,0,9,10,9,9.300,7.655,A,A,,Core 7.655 落在 7.2–8.49,medium,白南准是影像艺术史上的关键先驱，小型作品的现场冲击虽有限，却能有效连接韩国身份、跨媒介创新与全球当代艺术史。,组内唯一对象，白南准作为影像艺术先驱具有最高典范性与不可替代性，并为馆内东亚叙事补足韩国现代媒体艺术一环。,
45,American Federal mahogany sideboard,美国联邦时代桃花心木餐边柜,American Decorative Arts,Wood Furniture,object,塞勒姆与新英格兰联邦时期家具,2,7,7.5,7,6.5,7.5,0,7,5.5,4.5,6.050,7.030,B,B,,Core 7.030 落在 5.5–7.19,medium,塞勒姆地区联邦式桃花心木餐边柜将地方贸易社会与高水平木作联系起来，但美国联邦家具在全国范围并非PEM独占强项。,组内相对而言排名第二；虽为比例优良的塞勒姆联邦式餐边柜，但与另一件地方家具在美国装饰艺术叙事上有一定重复，独特性较弱。,
46,Chippendale‑style Salem high‑boy chest,齐本德尔风格塞勒姆高斗柜,American Decorative Arts,Wood Furniture,object,塞勒姆与新英格兰联邦时期家具,2,7,7.5,7.5,7,7.5,0,7.5,7.5,5,7.000,7.275,A,A,,Core 7.275 落在 7.2–8.49,medium,塞勒姆本地制作、齐本德尔风格和丰富洛可可雕刻强化了地方工艺与社会史价值，视觉表现也高于一般家具。,组内排名第一；塞勒姆本地制作且带有丰富洛可可雕饰，在两件新英格兰家具中辨识度和代表性更突出，可补充地方工匠与风格演变叙事。,
47,"Paint‑decorated grandfather clock, New England folk",新英格兰民间彩绘落地大钟,American Decorative Arts,Painted Wood Furniture,object,新英格兰民间装饰艺术家具,1,7,7,8,7.5,7.5,0,7.5,8.5,6.5,7.600,7.360,A,A,,Core 7.360 落在 7.2–8.49,medium,彩绘落地钟具有醒目的体量和色彩，并能说明新英格兰民间审美与日常生活，是较易被普通游客记住的地方艺术品。,组内唯一对象，在新英格兰民间装饰艺术家具中无可替代；其彩绘落地大钟具有鲜明地域与民俗代表性，但对PEM核心海事及亚洲外销叙事的补位作用有限。,
48,Paul Revere silver creamer sugar bowl pair,保罗·里维尔银奶壶糖碗成对,American Decorative Arts,Silver Metalwork,object,美国殖民与联邦时期银器,1,8,7,6.5,7.5,7.5,0,8,8,5.5,7.500,7.325,A,A,,Core 7.325 落在 7.2–8.49,medium,保罗·里维尔署名使这对银器具有国家级工艺史和革命时代人物关联，但体量较小且低于其代表性大型杰作。,组内唯一对象，作为有保罗·里维尔签名的殖民时期银器具有较高典范性与本馆此类唯一性，但在全馆核心的海事及亚洲外销叙事中补位价值中等。,
49,Samuel McIntire carved sheaf‑of‑wheat motif fragment,麦金太尔雕刻麦穗装饰构件残件,Gardner‑Pingree House,Wood Fragment,object,塞勒姆联邦时期建筑雕刻构件,1,7,7.5,5,5.5,6.5,0,8,9,7,8.100,6.635,B,B,,Core 6.635 落在 5.5–7.19,medium,麦金太尔是塞勒姆联邦时期的重要建筑雕刻家，但此件为残件，视觉完整性和独立观赏吸引力有限；其在Gardner-Pingree House语境中仍能体现地方工艺与繁荣象征。,组内唯一对象，作为塞勒姆联邦时期麦金太尔代表性雕刻残件，独特性最高并补足地方建筑艺术叙事。,
50,Winslow Homer small watercolor coastal study,温斯洛·霍默小幅海岸水彩习作,American Art Gallery,Watercolor on Paper,object,美国画家海岸题材水彩,1,8,4.5,5.5,6,5.5,0,8.5,8.5,5.5,7.900,6.065,B,B,,Core 6.065 落在 5.5–7.19,medium,霍默在美国艺术史上地位很高，海岸题材也与新英格兰经验相关，但这是一件小幅习作，且欧洲与美国主流艺术并非PEM最不可替代的身份核心。,组内唯一对象；霍默海岸水彩本身具代表性，但在PEM以海事与亚洲外销艺术为核心的叙事中补位价值中等。,
